This paper tackles the important problem of bridging the gap between the efficiency of neuromorphic hardware and the training efficacy of backpropagation. The authors propose a learning rule and network topology that allows training with continuous-valued representations, while ensuring a direct mapping to spiking, low-precision synapses and constrained connectivity found in neuromorphic systems like TrueNorth. They demonstrate impressive results on MNIST, achieving state-of-the-art accuracy for spiking networks and showcasing significantly improved power efficiency on TrueNorth compared to existing approaches.

The core idea of "constrain-then-train" is compelling and well-motivated. The probabilistic interpretation of neuron activations and synaptic weights provides a natural bridge between the continuous training domain and the discrete deployment domain. The network topology, with progressive mixing of inputs, is a sensible approach to leverage the constrained connectivity of neuromorphic hardware. The experimental results are convincing, particularly the power efficiency figures on TrueNorth. The inclusion of a detailed explanation of network initialization, aimed at optimizing for hardware constraints, is a notable strength. The extensive related work section demonstrates a good understanding of the field.

However, several aspects could be improved. While the paper achieves impressive results, the justification for specific architectural choices beyond the core “constrain-then-train” principle feels somewhat lacking. For instance, the choice of R=16, F=1 and S=12 (and subsequent values) in the network architecture is presented but not thoroughly justified in terms of information flow or hardware constraints. A more detailed ablation study investigating the sensitivity of performance to these parameters would be valuable. 

The approximation made in Equation (4) during backpropagation – dropping the second term for computational efficiency – should be more rigorously justified. While the authors state the conditions under which this approximation is valid, a more quantitative analysis demonstrating the impact of this simplification on the gradient accuracy would strengthen the paper. It’s unclear how much information is lost by this simplification. 

The explanation of how the ensemble of networks improves performance could be expanded. How do the random samplings of the training network contribute to better generalization? What is the statistical benefit of averaging predictions across ensemble members?

The claim of “best published power efficiency” requires careful scrutiny. The comparison to the 6mJ/classification result from [16] should include details about the hardware used, the task specifics, and any potential differences in evaluation methodology. A more standardized comparison would be more persuasive.  

Finally, while the authors mention potential extensions to convolutional networks, a brief discussion of the challenges associated with adapting this approach to more complex architectures would be beneficial.  How will the constraints on connectivity and synapse precision impact the performance of deeper, more complex networks?



**Arguments for acceptance:**

*   Novel approach bridging backpropagation and neuromorphic hardware constraints.
*   State-of-the-art accuracy on MNIST for spiking networks.
*   Significant improvement in power efficiency on TrueNorth.
*   Well-written and clearly explained methodology.
*   Thorough related work section.

**Arguments against acceptance:**

*   Limited justification for specific architectural choices.
*   Approximation in backpropagation requires more rigorous justification.
*   Ensemble method explanation could be expanded.
*   Power efficiency comparison needs more detail and standardization.
*   Limited discussion of scalability to more complex networks.



**Overall Assessment:**

This is a strong paper that addresses a critical challenge in neuromorphic computing. The authors present a novel and effective approach to training spiking neural networks with hardware-inspired constraints. While some aspects could be strengthened with further analysis and justification, the significant results and clear presentation make this a valuable contribution to the field. I recommend acceptance, contingent on addressing the weaknesses outlined above. Specifically, more justification for the architectural parameters, a more thorough analysis of the gradient approximation, and a more detailed comparison of power efficiency are crucial.
