## Review of "Backpropagation for Energy-Efficient Neuromorphic Computing"

This paper addresses the crucial challenge of bridging the gap between the algorithmic success of backpropagation and the energy efficiency of neuromorphic computing. The authors propose a method to train networks with continuous-valued weights and neurons, but constrained to the [0,1] range, allowing for a direct mapping to spiking neuromorphic hardware like the TrueNorth chip. The core idea of treating spikes and synapses as probabilities and using standard backpropagation is a compelling approach. The paper demonstrates this by training a network for MNIST, achieving impressive accuracy (99.42% with an ensemble of 64) and reporting competitive energy efficiency (108 μJ per image).

The strengths of this work lie in its novelty and practical demonstration. To the best of my knowledge, this is the first work to successfully train a network using backpropagation with the specific constraints necessary for direct deployment on neuromorphic hardware, while simultaneously achieving state-of-the-art MNIST performance within this constrained domain. The experimental results on the TrueNorth chip are particularly valuable, providing concrete evidence of the approach's feasibility and energy benefits. The network topology, designed to respect TrueNorth’s connectivity limitations, is well-motivated and explained. 

However, the paper could benefit from a more in-depth discussion of the limitations and potential drawbacks of the probabilistic approximation. While justified, the simplification in the backpropagation gradient calculation (dropping a term based on assumptions about neuron statistics) should be rigorously analyzed for its impact on training convergence and performance, perhaps with ablation studies. Further exploration of hyperparameter sensitivity (learning rate, dropout, batch size) and their impact on the energy-accuracy trade-off would strengthen the results. The paper also lacks a comparison to other potential mapping strategies from continuous to spiking domains, beyond a brief mention of existing work.  More details on the specific configurations and optimizations performed on the TrueNorth hardware would also be useful for reproducibility.

**Arguments for Acceptance:**

*   Novel and effective approach to bridging backpropagation and neuromorphic computing.
*   Strong experimental validation on a real neuromorphic chip (TrueNorth).
*   State-of-the-art MNIST performance within the constrained domain.
*   Clear and well-motivated network topology.

**Arguments Against Acceptance:**

*   Simplifications in the gradient calculation require further justification.
*   Limited exploration of hyperparameter sensitivity.
*   Lack of comprehensive comparison to alternative mapping strategies.
*   Reproducibility could be improved with more hardware details.

**Overall:**

Despite some minor shortcomings, this paper represents a significant contribution to the field. The proposed approach is promising and offers a viable path towards deploying powerful deep learning models on energy-efficient neuromorphic hardware. I recommend acceptance with minor revisions to address the points mentioned above. The authors should be encouraged to expand upon this work and explore its applicability to more complex datasets and neuromorphic architectures.
