This paper proposes a method of moments (MoM) based algorithm for learning Mixture of Hidden Markov Models (MHMMs). The core idea is to exploit the block-diagonal structure of the global transition matrix of an MHMM to leverage existing MoM algorithms for HMMs. A subsequent spectral decomposition step aims to “de-permute” the estimated parameters to recover individual HMM parameters and estimate the number of clusters. 

The paper is clearly written and the motivation – computational efficiency compared to EM for large datasets – is well-defined. The authors correctly identify the connection between MHMMs and HMMs with block-diagonal transition matrices, and the proposed approach is logically presented. The inclusion of a Lemma and a Conjecture demonstrates an attempt towards theoretical grounding, although the Conjecture feels rather hand-wavy and lacks sufficient justification. The experimental setup is reasonable, and the comparison to EM is valuable. 

However, despite a clear presentation, I have significant concerns regarding the originality and overall significance of this work. While applying MoM to MHMMs is a natural extension, the paper doesn’t convincingly demonstrate that this approach offers substantial advantages over existing methods, or addresses limitations beyond computational efficiency. The method relies heavily on existing MoM algorithms and spectral techniques; the novelty lies primarily in the combination of these, which, in itself, doesn’t automatically qualify as a significant contribution.

The reliance on spectral properties for de-permutation is a critical weakness. The conjecture regarding noise levels and the spectral gap condition feels overly optimistic and lacks thorough analysis. The experimental results, while showing comparable accuracy to EM, do not demonstrate a clear win – particularly considering the assumptions needed for the spectral de-permutation to work well. The real data experiment is encouraging as an initialization scheme, but hardly justifies acceptance on its own.  The transformation applied to the UCI dataset (cubic polynomial feature expansion) to satisfy the MoM dimensionality requirements feels like a workaround, masking the practical applicability of the method. The authors acknowledge limitations, but fail to convincingly address them.

Furthermore, the paper lacks a detailed comparison to other clustering algorithms designed for sequential data, such as dynamic time warping-based approaches, or more recent deep learning-based sequence models. It’s unclear how the proposed method performs relative to these alternatives, particularly in terms of accuracy and robustness. The references to related work, while present, feel somewhat superficial.  Specifically, citing [9] as simply a related MoM initialization scheme doesn’t acknowledge the broader landscape of MHMM parameter estimation techniques.

**Arguments for acceptance:**

*   Clear presentation and motivation.
*   Logical connection between MHMMs and block-diagonal HMMs.
*   Potential for computational speedup compared to EM.
*   Demonstrated utility as an initialization scheme for EM.

**Arguments against acceptance:**

*   Limited originality - primarily a combination of existing techniques.
*   Unsubstantiated claims regarding spectral properties and noise tolerance.
*   Lack of a comprehensive comparison to alternative clustering methods.
*   The cubic polynomial feature transformation needed for the UCI dataset raises concerns about practical applicability.
*   The experimental results do not demonstrate a clear advantage over EM.
*   The Conjecture lacks sufficient theoretical justification.



**Overall Assessment:** Reject. 

This paper presents a reasonable idea, but ultimately lacks the novelty, rigorous analysis, and compelling experimental results necessary for acceptance at NIPS. The reliance on strong assumptions regarding noise levels and spectral properties, coupled with the lack of a thorough comparison to existing methods, raise significant concerns. While the authors demonstrate a potential speedup and a use as an initialization scheme, these benefits are not substantial enough to warrant acceptance given the paper’s limitations. I recommend the authors significantly strengthen the theoretical analysis, conduct more comprehensive experiments, and address the concerns raised above before resubmitting.
