## Review of “Inferring neural population dynamics from multiple partial recordings of the same neural circuit”

This paper presents a novel statistical method for inferring the dynamics of large neural populations by “stitching” together sequentially imaged subsets of neurons. The motivation is strong: experimental limitations often preclude simultaneous recording from the thousands of neurons comprising a cortical circuit, yet understanding circuit-level computation requires analyzing the collective activity of a substantial population. The authors frame this as a latent dynamical system with missing observations and demonstrate the method’s effectiveness on both simulated and real calcium imaging data from mouse somatosensory cortex, successfully predicting noise correlations between neurons recorded in different sessions.

The core idea—leveraging sequential recordings to build a more complete picture of circuit dynamics—is compelling and addresses a significant challenge in the field. The authors employ a linear Gaussian dynamical system for tractability, clearly outlining the model’s components (coupling matrix, stimulus receptive fields, noise covariance) and detailing the Expectation-Maximization (EM) algorithm used for parameter estimation. The application to both simulated and experimental data provides valuable validation, and the observation that the method can predict noise correlations is particularly noteworthy. This work builds upon previous efforts in inferring functional connectivity [6, 7, 8, 9, 10, 11] by explicitly addressing the challenge of non-simultaneous recordings, a limitation of prior studies.  The method represents a valuable contribution towards reconstructing activity patterns from large neural circuits.

**Quality:** The paper is technically sound. The mathematical formulation is clear, and the EM algorithm is a standard approach for parameter estimation in latent dynamical systems. The results on simulated data are convincing, demonstrating the method’s ability to recover underlying parameters and predict activity. However, the reliance on a linear Gaussian model is a simplification; the authors acknowledge this limitation but a discussion on how the method might be extended to more complex, non-linear dynamics would strengthen the work. The finding that overlap between imaging sessions is critical for performance in real data, but not in the simulation, warrants further investigation. The authors briefly mention this, but a deeper explanation—perhaps relating to the different noise characteristics or the structure of correlations in the real versus simulated data—would be beneficial. The disparity in correlation values observed in Fig. 2c (simulation) and Fig. 3b (real data) is also a point requiring further clarification. While the authors note this, a more detailed discussion of potential contributing factors would be valuable.

**Clarity:** The paper is generally well-written and logically organized. However, the figure legends could be more descriptive, providing more context and detail. The text relating to the figures would also benefit from more elaboration; currently, some figures are presented without sufficient explanation of their key findings or implications. For instance, a more detailed explanation of what features of the coupling matrices in Fig. 3a are being highlighted would be useful. 

**Originality:** The approach of “stitching” together sequential recordings using a latent dynamical system is novel. While related work exists on inferring connectivity [6, 7, 8, 9, 10, 11] and handling partial observations [12, 13, 14, 15], the authors clearly differentiate their contribution by focusing specifically on inferring connections *between* non-simultaneously recorded neurons, a problem not addressed by previous methods. The application to a biologically relevant system (mouse somatosensory cortex) further enhances the originality.

**Significance:** The results have the potential to be impactful.  Expanding the size of neural populations that can be analyzed is crucial for understanding circuit-level computation. The ability to predict noise correlations between non-simultaneously recorded neurons is a significant achievement and could provide insights into the mechanisms underlying neural variability. This method could be particularly valuable in systems where simultaneous recording of large populations is technically challenging, such as deep brain structures. The work addresses a difficult problem and advances the state of the art by providing a practical tool for analyzing incomplete neural recordings.



**Arguments for Acceptance:**

*   Addresses a significant problem in neural data analysis: limited simultaneous recordings.
*   Presents a novel and technically sound method for inferring dynamics from partial observations.
*   Demonstrates effectiveness on both simulated and real data.
*   Predicts biologically relevant quantities (noise correlations).
*   Clear and generally well-written presentation.

**Arguments Against Acceptance:**

*   Relies on a simplifying linear Gaussian model.
*   The difference in performance between simulated and real data, and the requirement for overlap in real data, require further explanation.
*   Figure legends and accompanying text could be more descriptive.



**Overall Recommendation:**

I recommend **acceptance** of this paper. While the method relies on simplifying assumptions and some aspects of the results warrant further investigation, the core contribution is significant and the work is of high quality. The authors have clearly identified a challenging problem and proposed a promising solution with demonstrated practical value. Addressing the minor concerns outlined above would further strengthen the manuscript.
