This paper introduces Population Matching Discrepancy (PMD) as an estimator for the Wasserstein distance between two probability distributions, defined as the minimum weight matching of samples from each distribution. The authors demonstrate its application to domain adaptation and generative modeling, claiming advantages over Maximum Mean Discrepancy (MMD) in terms of hyperparameter sensitivity, gradient behavior, and mini-batch size requirements.

The core idea of PMD is compelling: leveraging optimal transport to define a sample-based distance metric. The theoretical connection to the Wasserstein metric is clearly established, and the proposition demonstrating strong consistency is valuable. The paper is well-structured, presenting the method, theoretical analysis, and experimental results in a logical flow. The experimental setup appears reasonable, comparing PMD against MMD on standard benchmarks. The observation that PMD avoids the bandwidth tuning issue of MMD is a definite strength. 

However, the paper has several weaknesses. While the authors acknowledge the computational cost of the matching problem, the practical implications for very high-dimensional data or large sample sizes aren't fully explored. The claim of “stronger gradients” is somewhat hand-wavy and needs more rigorous justification. Figure 2(b) provides some support, but a more detailed analysis of gradient magnitude and variance would be beneficial. Furthermore, the discussion of the limitations of PMD when N is small is important, but doesn't fully address the potential for PMD to converge to suboptimal distributions (e.g., lower entropy). The observation of limited diversity in the generated SVHN samples (digit 8 appearing frequently) is concerning and suggests potential issues with the learning process.

The rebuttal addresses some concerns but doesn’t fully resolve them. The point about MMD being trainable with small mini-batches using an unbiased estimator is valid and weakens the claim of PMD's advantage in this regard.  The lack of an unbiased estimator for the PMD gradient remains a potential drawback. Clarifying the limitations of both PMD and MMD, particularly concerning convergence guarantees and sensitivity to sample size, would strengthen the paper. 

**Arguments for acceptance:**

*   Novel approach to estimating the Wasserstein distance using optimal transport.
*   Theoretical guarantees (strong consistency).
*   Demonstrated improvements over MMD on domain adaptation and generative modeling tasks.
*   Avoidance of bandwidth tuning required by MMD.

**Arguments against acceptance:**

*   Computational cost of the matching problem for large datasets.
*   Limited analysis of gradient behavior and potential for convergence to suboptimal solutions.
*   Concerns regarding sample diversity in generated images.
*   The rebuttal weakens the claim of PMD’s advantage in mini-batch size requirements compared to MMD.



**Overall Assessment:**

The paper presents a novel and theoretically sound method for estimating distributional distance. While the experimental results are promising, some concerns regarding computational cost, gradient behavior, and sample diversity remain. The rebuttal partially addressed the reviewer's concerns.  I would lean towards **weak accept** pending minor revisions addressing the remaining concerns and providing a more thorough discussion of the method’s limitations. Specifically, the authors should elaborate on strategies for scaling PMD to larger datasets and address potential issues with convergence to suboptimal distributions.



**Minor Issues:**

*   Line 141: “usally” should be “usually”.



