## Review of "Invariance and Stability of Deep Convolutional Representations"

This paper presents a compelling theoretical framework for understanding Deep Convolutional Neural Networks (DCNNs) by casting them within the Reproducing Kernel Hilbert Space (RKHS) context. The authors demonstrate that DCNN functional spaces can be described as multilayer kernels, exhibiting approximate group invariance and stability to diffeomorphisms. The work builds on previous efforts in convolutional kernel networks (CKNs) and scattering transforms, extending their theoretical guarantees to a broader class of CNN architectures. 

The core contribution, in my view, lies in this reformulation of CNNs in the RKHS setting. However, the paper would benefit from a more explicit discussion of *why* this reformulation is valuable. While the introduction mentions potential implications for regularization and sample complexity, these connections remain somewhat abstract. Elaborating on how this framework could lead to improved generalization bounds or computational/approximation advantages would strengthen the paper significantly. 

The authors appropriately acknowledge the related work of Mairal et al. on CKNs, but a clearer delineation of novelty beyond simply extending the RKHS formulation would be helpful. What specific advantages does this generalized approach offer over CKNs, and are there cases where the CKN approximation is insufficient?

I also question the strong emphasis on “not losing signal information.” While preserving information is generally desirable, many real-world tasks only require task-relevant features. Is maintaining full signal information truly necessary, and could discarding irrelevant details improve robustness or efficiency? 

Furthermore, it would be interesting to explore the connection to earlier work on invariant kernels, such as that of Hans Burkhardt.  There's a rich history of building invariance directly into kernel design, and acknowledging this lineage would provide useful context.

Finally, the authors briefly touch upon operator commutativity and equivariance. It raises a compelling question: does any operator that commutes with all group elements guarantee DCNN equivariance? A deeper characterization of such operators would be a valuable theoretical contribution.

**Overall:** This is a technically sound and well-written paper with a significant contribution to our theoretical understanding of DCNNs. The arguments for acceptance are strong. 

**Arguments for Acceptance:**

*   Rigorous mathematical treatment and clear proofs.
*   Novel reformulation of DCNNs in the RKHS framework.
*   Demonstration of group invariance and stability properties.
*   Well-connected to relevant prior work (scattering transforms, CKNs).

**Arguments for Revision (but not rejection):**

*   Need to better articulate the practical benefits of the RKHS reformulation.
*   Clarify the novelty relative to CKNs.
*   Address the question of signal information preservation versus task relevance.
*   Explore connections to prior work on invariant kernels.



