## Review of “Learning From Weakly Supervised Data by The Expectation Loss SVM (e-SVM) algorithm”

This paper presents expectation-loss SVM (e-SVM), a novel learning algorithm designed for scenarios with continuous “positiveness” values instead of binary labels, particularly focusing on weakly-supervised visual segmentation. The method extends SVM by weighting labels with these continuous values, and demonstrates applicability to both observed and latent positiveness settings. The authors validate e-SVM on semantic segmentation and object detection tasks, achieving promising results, including state-of-the-art object detection on PASCAL VOC 2007.

The work addresses a significant problem in visual learning, namely reducing the reliance on expensive, fully-annotated datasets. The motivation is clearly articulated – the cost of pixel-level annotations is prohibitive for large datasets, and learning from weaker forms of supervision (like bounding boxes) is crucial. The paper positions itself well within existing literature, relating to Multiple Instance Learning (MIL) and weighted SVMs, and clearly distinguishes its approach from previous work using standard SVC and SVR methods. The introduction of TAPC and NDCG as evaluation metrics specifically for segment proposal classification is a valuable contribution.

A key strength of the paper is its technical soundness. The extension of the standard SVM formulation to accommodate continuous positiveness is logically presented and theoretically justifiable. The introduction of a latent variable extension for weakly supervised learning and the associated optimization algorithm are well-defined.  The experiments are extensive and well-executed, demonstrating improvements over baseline methods in various settings. The clear presentation and organization of the paper also contribute to its readability.

However, while the paper demonstrates strong empirical results, the improvements over existing methods (particularly SVR) aren't always substantial, and a deeper ablation study exploring the contribution of different components (e.g., the regularization term in the latent e-SVM) would be beneficial.  The discussion of related work could be further expanded – while MIL is mentioned, exploring more recent advances in weakly-supervised learning beyond those cited would strengthen the context. While the authors mention the general applicability of their method, the focus remains heavily on CPMC segment proposals; exploring alternative proposal generation methods could broaden the impact.

**Arguments for Acceptance:**

*   Addresses an important problem in weakly-supervised learning.
*   Technically sound and logically presented.
*   Empirically validated with promising results, including state-of-the-art on a benchmark dataset.
*   Clear writing and well-organized.

**Arguments Against Acceptance:**

*   Improvements over strong baselines are sometimes modest.
*   Ablation study could be more thorough.
*   Related work discussion could be expanded.



**Overall Assessment:** This is a solid contribution to the field, particularly relevant to the NIPS audience interested in weakly-supervised learning and scalable computer vision. Despite some minor shortcomings, the technical novelty, clear presentation, and promising experimental results make it a worthy candidate for acceptance. I recommend accepting this paper.
