## Review of "Scaling Memory-Augmented Neural Networks with Sparse Reads and Writes"

This paper addresses a critical bottleneck in the development of memory-augmented neural networks (MANNs): their poor scalability due to the computational and memory demands of accessing large external memories. The authors propose Sparse Access Memory (SAM), a novel approach that leverages sparse read and write operations to significantly reduce both physical memory usage and computational cost while maintaining comparable performance to state-of-the-art MANNs like the Neural Turing Machine (NTM). 

The work builds upon the established foundation of MANNs like NTMs and Memory Networks, acknowledging their potential for learning algorithmic solutions but highlighting their practical limitations. SAM’s core innovation lies in restricting memory access to a sparse subset of locations, coupled with efficient data structures for content-based reads. The authors convincingly demonstrate that this approach achieves asymptotic lower bounds in space and time complexity, resulting in substantial speedups (1000x) and memory savings (3000x) compared to dense models.  Experimental results on synthetic tasks (copy, associative recall, priority sort) and the one-shot Omniglot character recognition task show that SAM performs competitively with existing methods, even scaling to tasks requiring tens of thousands of time steps. The extension to a Sparse Differentiable Neural Computer (SDNC) and its strong performance on the Babi tasks further highlights the generality of the proposed approach.

The paper is exceptionally well-structured and clearly written, making it easy to follow the authors’ reasoning and understand the technical details. The inclusion of supplementary material detailing implementation specifics and additional experiments is a significant strength. 

However, while the results are compelling, the comparison in Figure 4 warrants further scrutiny. Matching physical memory sizes is a valid choice, but comparing performance using the *same logical memory size* (rather than just physical memory) across models would provide a more informative assessment of the efficiency gains achieved by SAM.  Additionally, while the paper briefly mentions related work, a slightly more comprehensive background on the broader landscape of memory-augmented neural networks, particularly recent advancements in addressing scalability, would enhance its self-containedness. 

**Arguments for acceptance:**

*   Addresses a significant bottleneck in MANN research.
*   Proposes a novel and theoretically sound solution (SAM).
*   Demonstrates substantial improvements in scalability and efficiency.
*   Achieves competitive performance on a range of tasks.
*   Well-written and clearly presented.

**Arguments against acceptance:**

*   Comparison in Figure 4 could be more nuanced.
*   Background on related work could be slightly expanded.



**Overall:** This is a strong paper that makes a valuable contribution to the field of memory-augmented neural networks. The proposed SAM architecture offers a promising path towards building more scalable and practical MANNs, and the results presented are both theoretically grounded and empirically validated. I recommend acceptance.
