This paper proposes Signal Aggregate Constraints (SACs) as a method to incorporate domain knowledge into blind source separation problems, specifically within the context of additive factorial Hidden Markov Models (AFHMMs) applied to energy disaggregation. The core idea is to encourage the total signal for each unknown source to be close to a specified value, leveraging prior knowledge about expected aggregate consumption. The authors formulate a convex quadratic program for approximate inference and demonstrate significant performance improvements on a real-world energy disaggregation dataset compared to the original AFHMM and a recent state-of-the-art approach.

The paper addresses a well-motivated problem – the inherent identifiability issues in blind source separation – and proposes a sensible approach to incorporating prior knowledge. The application to energy disaggregation is practical and relevant, given the growing interest in non-intrusive appliance load monitoring. The connection to related work, including posterior regularization and other constraints on AFHMMs, is reasonably well-covered, citing key papers in the field [8, 12, 4]. The experimental results on the HES dataset are compelling, demonstrating a substantial improvement in disaggregation accuracy with SACs.

A key strength of the paper lies in its practical focus and demonstration on a challenging real-world dataset. The use of the HES data, particularly the low-frequency readings, represents a significant contribution, as many studies rely on higher-frequency data. The authors also clearly articulate the contributions of the paper: introducing SACs, developing a convex quadratic program for inference, and evaluating the approach on a real-world problem. The clarity of the mathematical formulation and the explanation of the CQP derivation are also commendable.

However, the paper does have some weaknesses. While the idea of SACs is intuitive, the paper doesn't fully explore the theoretical underpinnings of *why* these constraints lead to improved performance beyond simply observing the empirical results. A more detailed discussion of the interplay between the SACs and the Markov structure of the AFHMM would be beneficial. The reviewer correctly points out a potential conflation of models and algorithms, specifically the comparison between AFHMM and AFAMAP. The paper should clarify that AFAMAP is an inference *algorithm* for the AFHMM and that a more precise comparison would involve applying SACs to different inference methods (like AFAMAP) rather than framing it as a comparison of distinct models. 

The suggestion to explore combining SACs with AFAMAP is excellent and worth pursuing.  Furthermore, the paper would benefit from a discussion of the sensitivity of the results to the choice of the tuning parameter δ (or equivalently, λ). A sensitivity analysis would demonstrate the robustness of the method and provide guidance for practitioners. While the authors mention the choice of λ=1, justification for this value would strengthen the work. The relationship to existing work on aggregate constraints in probabilistic databases [20] could also be more fully explored, perhaps acknowledging the differences in model complexity.

**Arguments for acceptance:**

*   Addresses a relevant and challenging problem in blind source separation.
*   Proposes a novel and intuitive approach (SACs) to incorporate domain knowledge.
*   Provides a mathematically sound and efficiently solvable optimization formulation (CQP).
*   Demonstrates significant performance improvements on a real-world dataset.
*   Clear presentation and well-defined contributions.

**Arguments against acceptance:**

*   Lacks deeper theoretical justification for the effectiveness of SACs.
*   Potential conflation of models and inference algorithms.
*   Limited discussion of sensitivity to hyperparameter choices.
*   Could benefit from exploring combinations with other inference techniques (e.g., SACs + AFAMAP).



**Overall Assessment:**

This is a solid contribution that addresses a practical problem with a well-motivated and effective approach. While there are areas for improvement, the strong experimental results and clear presentation make this paper worthy of acceptance. I recommend **accepting** the paper, with the caveat that the authors address the reviewer’s concerns regarding theoretical justification, clarification of model vs. algorithm comparisons, and sensitivity analysis in the camera-ready version. The potential to combine SACs with AFAMAP should also be acknowledged and ideally explored in future work.
