## Review of "Low-rank matrix reconstruction and clustering via approximate message passing"

This paper proposes an approximate message passing (AMP) algorithm for Bayesian low-rank matrix reconstruction, extending previous work to handle more general cases and applying it to the clustering problem. The authors formulate clustering as a low-rank reconstruction problem with a specific structural constraint, achieving a novel clustering algorithm. 

The paper is well-motivated, building on the strengths of Bayesian approaches and AMP algorithms for their flexibility and computational efficiency, respectively.  The core idea of leveraging AMP for low-rank reconstruction with structural priors is a logical progression from existing research in compressed sensing and matrix factorization (e.g., [6, 8]).  The application to clustering, framing it as a constrained low-rank problem, is a neat connection, distinguishing their work from other low-rank clustering approaches [10, 11]. The mathematical derivation of the AMP algorithm appears sound, and the proposition guaranteeing optimality under certain conditions (Proposition 1) is a valuable contribution. 

The strengths of the paper lie in its theoretical development and its clear presentation of the algorithm. The numerical experiments, however, feel somewhat limited. While the synthetic data results demonstrate improved performance over Lloyd’s K-means and other methods, the experiments lack a thorough comparison with more recent clustering algorithms or a sensitivity analysis to the noise parameter τ. The ORL face database experiment, although showing improvement, doesn’t provide detailed quantitative analysis beyond the K-means loss and accuracy.  A more rigorous empirical validation, including comparisons with state-of-the-art clustering algorithms on diverse datasets, would significantly strengthen the claims.

A potential weakness is the limited discussion of the computational complexity and scalability of the proposed algorithm for very high-dimensional datasets.  Furthermore, the paper acknowledges similarities to recent work on AMP for dictionary learning and matrix reconstruction [13, 14] but provides only a brief comparative analysis.  A more detailed discussion of the differences and potential overlaps would be beneficial. 

**Arguments for Acceptance:**

*   Novel application of AMP to low-rank matrix reconstruction with structural priors.
*   Effective formulation of clustering as a constrained low-rank problem.
*   Sound theoretical derivation and a proposition guaranteeing algorithm optimality.
*   Demonstrated improvement over Lloyd’s K-means in numerical experiments.

**Arguments Against Acceptance:**

*   Limited empirical validation and lack of comparison with state-of-the-art algorithms.
*   Insufficient discussion of computational complexity and scalability.
*   Brief comparative analysis with related work on AMP.

**Overall:** This paper presents a promising contribution to the field. While the empirical validation could be more comprehensive, the theoretical insights and the novel application of AMP to clustering are noteworthy.  I recommend **acceptance with minor revisions**, primarily focusing on expanding the experimental evaluation and providing a more detailed discussion of the algorithm's scalability and comparison to related work.
