## Review of NIPS 2016 Submission: [Paper Title - *Please replace with actual title*]

This paper proposes a novel and effective method for training an ensemble of Deep Neural Networks (DNNs) – and, more broadly, any gradient-based model – by leveraging an oracle that identifies the optimal network within the ensemble for each individual training instance. Backpropagation is then applied solely to this selected network, effectively directing learning based on instance-specific performance. This approach fosters specialization among the networks, leading to an ensemble capable of covering a wider range of possible outputs and potentially improving overall performance. 

The authors demonstrate strong results across a variety of domains, suggesting the efficacy of their method. I find this to be a well-written and conceptually interesting paper. The core idea of oracle-guided backpropagation to induce specialization in an ensemble is compelling, and the experimental results support the claim that this specialization leads to improved classification performance. The presentation is clear and concise, and the experiments are comprehensive, spanning several benchmark datasets. Overall, this is a strong contribution that warrants publication.

However, while the paper effectively demonstrates *how* to train an ensemble using this approach, it lacks a thorough exploration of *how* to best utilize the resulting ensemble in practice. The current work focuses on the oracle-guided training process, with only limited discussion of inference strategies beyond the suggestion that the ensemble provides a diverse pool of outputs and its alignment with top-k metrics, exemplified by applications like ImageNet.  Developing and analyzing strategies for effectively combining the predictions of these specialized networks – perhaps through weighted averaging, stacking, or other ensemble techniques – would significantly strengthen the paper and enhance its practical relevance. This missing component, while potentially problem-specific in its optimal implementation, represents an important gap in the current work. 

Specifically, investigating how the specialization impacts ensemble diversity and robustness, and providing guidance on how to leverage this diversity during inference, would be valuable. Further analysis could explore scenarios where the specialized networks demonstrate complementary strengths, allowing the ensemble to outperform any single member.

Finally, a minor point regarding presentation: Figure 2 presents pseudo-code as raster images embedded within the paper. This significantly reduces readability and prevents easy copy-pasting.  I recommend either rendering the pseudo-code directly within the paper text (using a monospace font) or embedding it as a vector graphic to ensure scalability and clarity.

**Strengths:**

*   Novel and insightful approach to ensemble training.
*   Clear and well-structured presentation.
*   Strong experimental results across diverse datasets.
*   Demonstrated ability to induce specialization among network members.

**Weaknesses:**

*   Limited discussion of inference strategies for the trained ensemble.
*   Lack of analysis regarding how to effectively leverage the specialization during prediction.
*   Poor quality of pseudo-code presentation in Figure 2.

**Overall Score:** 8/10 (Strong Accept – potentially Outstanding with further development of ensemble utilization)



