This paper introduces a novel framework for nonparametric neural networks, aiming to automatically determine optimal network size during training. The core idea is to dynamically expand and contract the network by adding zero-valued units and employing sparsity-inducing regularization (L2) to prune redundant connections. This tackles a significant challenge in deep learning – efficient model selection – and demonstrates promising initial results.

**Decision: Reject**

While the proposed approach is intriguing and addresses an important problem, the paper lacks sufficient justification for its computational complexity and demonstrates inconsistent performance across datasets, specifically underperforming parametric networks on the convex dataset without clear explanation.

**Supporting Arguments:**

1. **Computational Complexity:** The proposed “Adaptive Radial-Angular Gradient Descent” (AdaRad) algorithm introduces potentially significant overhead. Decomposing weight vectors into parallel and orthogonal components, and the subsequent radial-angular coordinate transformation, likely incur substantial computational costs. The paper does not adequately analyze or quantify this overhead, nor provide empirical evidence (e.g., running time comparisons) to demonstrate its practicality. A clear comparison of computational cost against standard parametric training is crucial.

2. **Inconsistent Performance & Lack of Insight:** The results presented show compelling performance gains on MNIST and rectangles images, but a clear *regression* in performance on the convex dataset. The authors acknowledge this, but offer insufficient insight into why the nonparametric approach fails in this scenario. A deeper analysis of the convex dataset’s characteristics and their impact on the algorithm's behavior is needed. Is the convex dataset particularly sensitive to the dynamic size adjustments? Does it require a different regularization scheme?  Without addressing this, the applicability of the method remains questionable.

**Additional Feedback (for improvement):**

*   **Clarify AdaRad’s Advantages:** While the motivation for separating radial and angular updates is explained, a more concrete explanation of *why* this approach accelerates learning compared to standard gradient descent or other adaptive methods (e.g., RMSprop, Adam) would be beneficial.
*   **Experiment with Hyperparameter Tuning:** The paper mentions a grid search for the parametric networks but lacks detail on the tuning process for the nonparametric network hyperparameters (λ, αr, αφ). A more systematic hyperparameter search for the nonparametric network, potentially using automated methods like Bayesian optimization, could reveal better performance.
*   **Ablation Studies:** Conduct ablation studies to assess the contribution of individual components of the framework, such as the CapNorm normalization or the specific choice of L2 regularization.
*   **Theoretical Analysis:** Expand upon the theoretical guarantees presented in Section 7.1. Can the conditions for achieving a global minimum be relaxed or better characterized?
*   **Explain Unit Initialization:** The strategy for initializing newly added units (random fan-in, zero fan-out) seems somewhat arbitrary. Justify this choice, or explore alternative initialization schemes.
*   **Visualization:** Include visualizations of the network structure during training. This could provide valuable insight into how the network grows and prunes units, and potentially explain the observed behavior on different datasets.

**Questions for the Authors:**

*   Can you provide a detailed analysis of the computational complexity of AdaRad compared to standard backpropagation with batch normalization and a chosen optimizer (e.g., Adam)? Please include empirical running time measurements.
*   What characteristics of the convex dataset might explain the observed performance degradation of the nonparametric network? Have you experimented with different regularization parameters or network architectures specifically for this dataset?
*   How sensitive is the performance to the choices of αr and αφ? Did you perform a hyperparameter search for these values, and if so, what were the results?
*   Could you elaborate on the rationale behind initializing new units with a random fan-in and a zero fan-out? What alternative initialization strategies have you considered?



