This paper introduces the Parallel Direction Method of Multipliers (PDMM), a novel algorithm for minimizing block-separable convex functions subject to linear constraints. The core idea is to extend the well-studied Alternating Direction Method of Multipliers (ADMM) to handle multiple blocks in a parallel and randomized fashion. Unlike existing multi-block ADMM variants, PDMM randomly selects *K* blocks at each iteration for simultaneous update, combined with a carefully designed backward step on the dual update to ensure convergence. This approach aims to leverage the benefits of parallel computation while addressing the challenges of instability often encountered when extending ADMM to more than two blocks.

The authors position their work within the existing literature on multi-block ADMM, categorizing previous approaches into Gauss-Seidel methods (like BSUMM) and Jacobian variants (like sADMM and PJADMM). They highlight that PDMM offers a unifying framework, demonstrating that sADMM and PJADMM can be seen as special cases. This connection provides valuable insights into the role of the dual backward step and the interplay between different algorithmic choices.  The paper also addresses overlapping block coordinate descent, a challenging problem for traditional methods, and shows how PDMM can be applied in this context.  Strong theoretical results are presented, establishing global convergence and providing an iteration complexity bound of O(J/(T K)), where J is the total number of blocks and T is the number of iterations.

The strengths of this work are numerous. First, the introduction of the randomized block selection and the backward dual step appear to be a significant contribution, addressing a known instability issue in multi-block ADMM. The theoretical analysis is rigorous and provides a solid foundation for understanding the algorithm's behavior. The paper is well-written and clearly explains the motivation, methodology, and theoretical results. Furthermore, the empirical evaluation on robust PCA and overlapping group lasso demonstrates the practical effectiveness of PDMM, showing performance improvements over existing methods.  The analysis connecting PDMM to existing techniques like sADMM and PJADMM provides a deeper understanding of the landscape of multi-block ADMM algorithms.  The ability to apply PDMM to problems with overlapping blocks is a notable advantage, extending the applicability of the method.

However, there are also some weaknesses to consider. While the authors claim improved parallelizability, the paper lacks experimental results demonstrating actual speedups achieved through parallel implementation. It is crucial to verify whether the theoretical parallelization translates into real-world performance gains. Additionally, PDMM introduces three parameters (K, τi, νi) that require tuning, potentially increasing the complexity for users compared to simpler ADMM implementations. The choice of the Bregman divergence, while theoretically sound, might require some expertise for practical application.  The experimental section, while demonstrating improved performance, doesn't compare PDMM against highly optimized, problem-specific solvers that might exist for robust PCA and overlapping group lasso.

**Arguments for acceptance:**

*   Novel and theoretically sound approach to multi-block ADMM, addressing a known instability issue.
*   Rigorous theoretical guarantees (global convergence and iteration complexity).
*   Empirically demonstrates improved performance over existing methods in two relevant applications.
*   Provides a unifying framework for understanding different multi-block ADMM variants.
*   Offers a solution for optimization problems with overlapping blocks.

**Arguments against acceptance:**

*   Lack of experimental validation of parallel performance.
*   Increased parameter tuning complexity compared to standard ADMM.
*   Limited comparison to highly optimized, problem-specific solvers.



Overall, this is a strong contribution to the field of optimization. The proposed PDMM algorithm offers a promising approach to solving multi-block separable convex optimization problems, particularly in scenarios where parallelization is desired. Despite the minor weaknesses, the theoretical rigor, clear presentation, and positive empirical results make this paper a valuable addition to the NIPS conference. I recommend acceptance with minor revisions, specifically requesting the authors to include results demonstrating parallel speedups and a more detailed discussion of the practical considerations for parameter tuning.
