This paper proposes to treat a number of sentence pair scoring tasks—including Answer Sentence Selection, Recognizing Textual Entailment, and Paraphrase Identification—as instances of a more general task of understanding semantic relations between two sentences. The authors then investigate the potential of learning generally-applicable neural network models for this family of tasks. I find this to be an exciting proposal that is worthy of presentation at CoNLL and merits further investigation by the community.

However, the main weakness of the paper in its current form is that it feels unfinished. I would recommend acceptance only on the condition that the authors make substantial updates for the camera-ready version. The key areas requiring attention are:

1.  The first results table is incomplete and must be filled in.
2.  Given the large number of individual results, the accompanying written discussion is far too brief. A much more thorough interpretation and analysis of these results is needed to help the reader understand their implications.
3.  The abstract promises the presentation of a new, more challenging dataset, but this dataset does not appear to be included or described in the main body of the paper. This discrepancy must be resolved.
4.  Model performance varies significantly across the different tasks. The paper would be greatly strengthened by an analysis of *why* this is the case. Why do the models succeed on some tasks but fail on others? Even a preliminary error analysis or discussion of the authors' hypotheses would be valuable. Is this performance variation a matter of modeling, or does it suggest that some of these tasks are too dissimilar to be grouped into a unified framework?
5.  To give readers a better intuition for the tasks, the paper should include example instances from the various datasets used. Illustrating both prototypical sentence pairs and pairs that pose classification challenges for the models would be particularly helpful.
6.  The authors recommend the Ubu. RNN transfer learning model for new tasks. It is unclear whether this recommendation is based on the general nature of the Ubuntu dataset or simply its large size. The authors should elaborate on this point and discuss how one might disentangle these two factors.

Despite these significant issues, the paper's core approach is compelling and could generate interesting discussion. I would be happy to see it published, but only in a more finished form. I recognize that this view may not be shared by other reviewers.

**Minor Points on Language:**

*   The words "weigh" and "weighed" are consistently used in contexts that require "weight" and "weighted."
*   There are several misspellings of "sentence" as "sentene."
*   The term "interpunction" is unclear; perhaps "punctuation" is intended.
*   There is at least one instance of "world overlap" that should be "word overlap."
