## Review of "Population Matching Discrepancy and Applications in Deep Learning"

This paper introduces Population Matching Discrepancy (PMD) as an estimator for the Wasserstein distance between two distributions, offering an alternative to Maximum Mean Discrepancy (MMD). The core idea is to formulate the distance as a minimum weight matching problem between samples from the two distributions. The authors provide theoretical justification for PMD as a consistent estimator of the Wasserstein metric and demonstrate its application to domain adaptation and generative modeling, showcasing improved performance and convergence speed compared to MMD.

The paper tackles a significant problem in deep learning – estimating the distance between distributions, particularly when only samples are available. The motivation is well-articulated, highlighting the limitations of MMD, namely its sensitivity to kernel bandwidth selection, potential for vanishing gradients, and requirement for large mini-batch sizes. The connection to the Wasserstein metric, a theoretically sound and increasingly popular choice, is clearly established. The proposed PMD offers a compelling approach by directly minimizing the cost of matching samples, bypassing the kernel-based approach of MMD. The theoretical analysis demonstrating strong consistency is a valuable contribution, bolstering the validity of the method.

The strengths of this work are severalfold. First, the proposed PMD offers a potentially advantageous alternative to MMD, particularly in scenarios where gradient stability and mini-batch size are critical concerns. The empirical results on domain adaptation and generative modeling provide evidence supporting this claim, showing faster convergence and improved performance. The authors also thoughtfully compare PMD with MMD, explicitly outlining the benefits of the former. Furthermore, the inclusion of a discussion on computational complexity and the implementation details of the matching algorithms are valuable for reproducibility and practical application. The exploration of both exact and approximate matching algorithms demonstrates an awareness of the trade-offs between accuracy and efficiency.

However, the paper also has several weaknesses that need to be addressed. While the empirical results are promising, the limitations of PMD are not fully explored. Specifically, the paper doesn’t delve into scenarios where PMD might struggle. As noted in the key points, the performance on more complex distributions, such as mixtures of Gaussians (especially when learning variances), could be a challenge. A discussion of potential failure modes would significantly strengthen the work. The claim of PMD being advantageous with smaller mini-batches requires further scrutiny. While a smaller batch *can* be used, the quality of the approximation may suffer with very small batches, especially for distributions with high dimensionality or complex structures, potentially leading to optimization in a suboptimal region. The paper acknowledges the blurry images generated on SVHN and LFW, but lacks a detailed analysis of why this occurs beyond noting the limitation of L1 distance.

A significant point raised in the key points relates to the gradient estimation. MMD benefits from known unbiased gradient estimators, allowing it to be efficiently trained with stochastic gradient descent even with small mini-batches.  The paper doesn’t explicitly address whether PMD has a similarly convenient unbiased estimator, which is crucial for practical application. The lack of such an estimator potentially limits the scalability and robustness of PMD compared to MMD. Moreover, the comparison to Wasserstein GAN (WGAN) feels somewhat incomplete. While PMD avoids the need for a separate critic network, WGAN’s use of weight clipping or gradient penalty to enforce the 1-Lipschitz constraint is a crucial aspect of its success and should be discussed in more detail.

**Arguments for acceptance:**

*   Novel approach to estimating Wasserstein distance with potential advantages over MMD.
*   Theoretical guarantees regarding consistency.
*   Empirical results demonstrating improved performance on two relevant tasks.
*   Clear presentation and well-structured paper.

**Arguments against acceptance:**

*   Limited discussion of potential failure modes and limitations of PMD.
*   Lack of analysis regarding gradient estimation and unbiasedness.
*   Insufficient comparison to related work, particularly WGAN.
*   Potential issues with approximation quality for small mini-batch sizes and complex distributions.

**Overall Assessment:**

This paper presents an interesting and potentially valuable contribution to the field of distribution estimation. The proposed PMD offers a promising alternative to MMD, and the initial results are encouraging. However, the paper needs to address the weaknesses outlined above, particularly concerning gradient estimation, limitations, and a more comprehensive comparison to related work, before it can be considered a strong contribution. I recommend a **weak reject** with encouragement for the authors to address the reviewer concerns and resubmit. Addressing the limitations and providing a more thorough analysis would significantly strengthen the paper and increase its potential impact.



