## Review of “f-GANs in an Information Geometric Nutshell”

This paper investigates the theoretical underpinnings of Generative Adversarial Networks (GANs), specifically focusing on the connection between GAN solutions, parameter convergence, and generator design within the framework of f-divergences as introduced by Nowozin et al. (2017). The authors leverage deformed exponential distributions to derive theoretical results, establishing a variational generalization linking f-divergences to Bregman divergences and demonstrating that deep generators can effectively factorize these distributions under a reversibility assumption. They also offer insights into choosing appropriate activation functions for both the generator and discriminator.

The work presents a compelling and mathematically rigorous exploration of GANs from an information-geometric perspective. The derivation of the connection between f-divergences and Bregman divergences (Corollary 8) is a significant contribution, potentially offering a novel pathway to analyze and optimize GAN training. The theoretical results regarding generator factorization (Theorem 9) are intriguing and provide a foundation for understanding why deep architectures are well-suited for GANs. The suggestion to carefully select generator and discriminator activations based on these theoretical findings also holds promise. The brief exploration of an alternative GAN interpretation via expected utility theory is a nice addition. 

However, the practical relevance of these findings is questionable in their current form. A major concern is the heavy reliance on the assumption that data and the model lie within the deformed exponential family. The paper lacks a thorough justification for this assumption and fails to address the extent to which the results generalize beyond this restrictive condition. Furthermore, the parameter-space f-GAN identity (Eq. 7) requires substantial clarification. What are the concrete practical benefits of optimizing in parameter space versus the more conventional distribution-based optimization? A direct experimental comparison is crucial. 

The authors underutilize the right-hand side of Eq. 7, failing to adequately explain why convergence in divergence doesn’t necessarily imply parameter convergence—a realistic example would be beneficial. While the practical implication regarding the discriminator output activation (gf) is interesting, it lacks comparison to existing heuristics (e.g., [34]). The experiments are inconclusive; the finding that μ-ReLU performs worse than ReLU is perplexing and demands a detailed explanation, alongside a discussion of the reversibility assumption in the context of DCGAN and comparison to WGAN. The results in Table 2 appear within error bars, providing insufficient empirical support for the theoretical claims.

Minor points include a need for more accessible intuition regarding deformations, signatures, and escorts for readers unfamiliar with deformed exponential densities.  A comparison of the upper bounds for J(Q) in Theorem 8 and a clear explanation of why decreasing this bound with escort normalization is beneficial would also be helpful.



**Overall:**  The paper presents interesting theoretical insights but currently lacks the practical substance and convincing evidence needed to significantly impact GAN practitioners. While the mathematical rigor is commendable, the assumptions, lack of compelling experimental validation, and limited discussion of practical implications weaken the overall contribution.



**Arguments for Acceptance:**

*   Novel theoretical framework for analyzing GANs.
*   Clear mathematical derivations and results.
*   Potential for future work in activation function design.

**Arguments against Acceptance:**

*   Strong and potentially unrealistic assumption of deformed exponential family.
*   Lack of practical demonstration and limited experimental support.
*   Unclear practical benefits of parameter-space optimization.
*   Inconclusive and unconvincing experimental results.



**Score:** Weak Reject.
