## Review of "Inverse Density as an Inverse Problem: the Fredholm Equation Approach"

This paper presents a novel approach to density ratio estimation by framing it as a Fredholm integral equation and leveraging tools from regularization theory, specifically through the use of Reproducing Kernel Hilbert Spaces (RKHS). The authors propose two algorithms, Type I and Type II, based on L2 regularization and demonstrate theoretical convergence results alongside experimental validation. The key contribution lies in the ability to perform effective cross-validation (CV) for parameter selection in an unsupervised setting, a feature highlighted as a distinct advantage over existing methods like Kernel Mean Matching (KMM). 

The paper effectively connects density ratio estimation with the well-established field of inverse problems, offering a principled framework for algorithm design and analysis. The theoretical results, including convergence rates for Gaussian kernels, are a significant accomplishment. The authors rightly point out the limitations of using RKHS objective values for kernel selection via CV, arguing they lack comparability due to kernel dependence.  This critique is well-reasoned and strengthens the justification for their CV-based approach. 

However, the theoretical analysis reveals a potential weakness. The convergence rate in Theorem 1 suffers from a slow (-t/log λ) factor. The authors are astute to acknowledge this and the reviewer agrees that exploring stronger assumptions – such as those outlined by Caponnetto & De Vito (2007) regarding spectral properties or tighter bounds on q/p – could lead to improved polynomial convergence rates. The strong assumption that q/p lies within a smooth function class (e.g., Sobolev) also warrants further discussion, considering its potential impact on the behavior of p/q. 

The experimental results are encouraging, but more detailed comparisons with established methods beyond just KMM and LSIF would be beneficial. The claim of improved computational efficiency should be substantiated with more rigorous benchmarking. Critically, the supplementary material is riddled with typos and errors (Lemma 5, lines 675, 686, 1147 – as correctly identified by the supervisor). This significantly hinders verification of the theoretical claims and must be addressed.  Specifically, ensuring the correct equations and bounds are present is paramount.

**Overall:** This paper presents a novel and promising approach to density ratio estimation with a significant advantage in unsupervised parameter selection via CV. While the convergence rate is a concern, the authors acknowledge it and provide direction for future work. Addressing the issues in the supplementary material is crucial. 

**Arguments for Acceptance:**

*   Novel framing of density ratio estimation as an inverse problem.
*   Principled approach leveraging RKHS and regularization.
*   Effective CV-based parameter selection – a key contribution.
*   Theoretical guarantees (albeit with a slow convergence rate).

**Arguments Against Acceptance:**

*   Slow convergence rate in Theorem 1.
*   Strong assumption on the smoothness of q/p.
*   Numerous errors in the supplementary material.



