## Review of Top-k Multiclass SVM

This paper proposes a novel approach to multiclass SVM optimization directly targeting top-k accuracy, addressing the class ambiguity often encountered in large-scale image classification. The core idea is to formulate a convex upper bound on the top-k error and develop an efficient optimization scheme leveraging a projection onto the top-k simplex. The authors clearly articulate the motivation, building upon Crammer and Singer’s multiclass SVM and addressing its limitations in scenarios where allowing k predictions is beneficial. 

The paper's strength lies in its technical contributions: the formulation of the top-k hinge loss, the definition of the top-k simplex, and the efficient projection algorithm. The derivation of the primal-conjugate pair for the top-k hinge loss is well-explained, and the connection to existing ranking-based losses is appropriately drawn.  The authors demonstrate awareness of related work, referencing key papers in multiclass SVMs, ranking, and optimization. The experimental evaluation across five datasets, including large-scale datasets like Places 205 and ImageNet, provides compelling evidence of the proposed method's effectiveness and scalability. The consistent improvements in top-k accuracy, compared to baselines including standard SVMs and ranking methods, are encouraging.

However, the paper could benefit from a more in-depth discussion of the practical implications of choosing 'k'. A guideline or sensitivity analysis regarding how 'k' should be selected based on dataset characteristics or application requirements would be valuable. Furthermore, while the projection onto the top-k simplex is presented as efficient, a more detailed comparative analysis of its runtime performance against standard simplex projection algorithms would strengthen the claim. The discussion surrounding the connection to Usunier et al.’s work feels slightly cursory; a more thorough comparison of the two approaches would be beneficial. 

**Arguments for Acceptance:**

*   Novel formulation of top-k multiclass SVM with a convex upper bound on top-k error.
*   Technical contributions: top-k hinge loss, top-k simplex, efficient projection algorithm.
*   Strong experimental results demonstrating consistent improvements in top-k accuracy.
*   Scalability demonstrated on large datasets.

**Arguments for Rejection:**

*   Limited discussion of practical guidelines for selecting the 'k' parameter.
*   Lack of detailed comparative runtime analysis of the proposed projection algorithm.
*   Superficial comparison to related ranking-based approaches.



**Overall:** This is a strong paper with a novel and well-supported approach to multiclass SVM optimization. While some aspects could be further refined, the technical contributions and experimental results justify acceptance.  I recommend acceptance with minor revisions addressing the points raised above.
