**Summary of the Paper**

This paper proposes a novel approach to improve event detection (ED) by exploiting argument information via supervised attention mechanisms. The authors argue that existing joint methods for ED and argument extraction (AE) do not effectively utilize argument information for ED, leading to insignificant improvements in ED performance. The proposed approach uses a neural network-based model with a supervised attention mechanism to focus on argument words, which are expected to provide significant clues for ED. The authors evaluate their approach on the ACE 2005 dataset and demonstrate its effectiveness in improving ED performance.

**Main Contributions**

1. The authors propose a novel approach to exploit argument information explicitly for ED via supervised attention mechanisms.
2. They introduce a neural network-based model with a supervised attention mechanism to focus on argument words.
3. They evaluate their approach on the ACE 2005 dataset and demonstrate its effectiveness in improving ED performance.

**Strengths**

1. The authors provide a clear and well-motivated argument for the importance of exploiting argument information for ED.
2. The proposed approach is novel and well-designed, and the authors provide a thorough evaluation of its effectiveness.
3. The authors provide a detailed analysis of the strengths and weaknesses of existing joint methods for ED and AE, which helps to contextualize their contribution.
4. The paper is well-written and easy to follow, with clear explanations of the proposed approach and its evaluation.
5. The authors provide a thorough comparison of their approach with state-of-the-art methods, which helps to demonstrate its effectiveness.

**Weaknesses**

1. The authors do not provide a detailed analysis of the computational complexity of their approach, which may be a concern for large-scale datasets.
2. The authors do not provide a detailed analysis of the impact of their approach on AE performance, which may be an important consideration for some applications.
3. The authors do not provide a clear explanation of how their approach can be extended to other datasets or domains, which may limit its generalizability.
4. The authors do not provide a detailed analysis of the robustness of their approach to different types of noise or errors in the input data, which may be an important consideration for some applications.
5. The authors do not provide a clear explanation of how their approach can be integrated with other NLP tasks or systems, which may be an important consideration for some applications.

**Questions to Authors**

1. Can you provide a detailed analysis of the computational complexity of your approach, and how it compares to existing joint methods for ED and AE?
2. Can you provide a detailed analysis of the impact of your approach on AE performance, and how it compares to existing joint methods for ED and AE?
3. Can you provide a clear explanation of how your approach can be extended to other datasets or domains, and what modifications may be necessary?
4. Can you provide a detailed analysis of the robustness of your approach to different types of noise or errors in the input data, and how it compares to existing joint methods for ED and AE?
5. Can you provide a clear explanation of how your approach can be integrated with other NLP tasks or systems, and what benefits or challenges may arise from such integration?
