This paper proposes a hierarchical reinforcement learning framework that leverages stochastic neural networks and an information-theoretic regularizer to learn a diverse set of skills in a pre-training environment. The skills are then used as basic building blocks to solve downstream tasks with sparse rewards. The authors demonstrate the effectiveness of their approach on several challenging tasks, including maze navigation and object gathering.

**Decision: Accept**

**Reasons for decision:**

1. The paper proposes a novel and well-motivated approach to hierarchical reinforcement learning, combining the strengths of stochastic neural networks and information-theoretic regularizers to learn diverse skills.
2. The authors provide strong empirical evidence for the effectiveness of their approach, demonstrating improved performance on several challenging tasks compared to baseline methods.

**Supporting arguments:**

1. The paper is well-written and clearly explains the proposed approach, including the architecture of the stochastic neural network and the information-theoretic regularizer.
2. The authors provide a thorough analysis of the related work, highlighting the limitations of existing approaches and the contributions of their proposed method.
3. The experimental results are impressive, demonstrating the ability of the proposed approach to learn a diverse set of skills and apply them to solve challenging tasks.
4. The authors provide a clear and concise explanation of the benefits of their approach, including improved exploration and reduced sample complexity.

**Additional feedback:**

1. While the paper is well-written, there are some minor errors in formatting and grammar that should be addressed in the final version.
2. The authors could provide more detail on the implementation of the stochastic neural network and the information-theoretic regularizer, including the specific architectures and hyperparameters used.
3. The paper could benefit from a more detailed analysis of the limitations of the proposed approach, including potential failure modes and areas for future improvement.
4. The authors could provide more context on the "multi-policy" approach mentioned in the paper, including how it differs from the proposed stochastic neural network approach.

**Questions for the authors:**

1. Can you provide more detail on the implementation of the stochastic neural network and the information-theoretic regularizer, including the specific architectures and hyperparameters used?
2. How do you plan to address the limitations of the proposed approach, including potential failure modes and areas for future improvement?
3. Can you provide more context on the "multi-policy" approach mentioned in the paper, including how it differs from the proposed stochastic neural network approach?
4. How do you plan to extend the proposed approach to more complex tasks and domains, including those with high-dimensional state and action spaces?
