## Review of Conditional Generative Moment-Matching Networks

This paper proposes Conditional Generative Moment-Matching Networks (CGMMN), an extension of existing Generative Moment-Matching Networks (GMMN) to the conditional setting. The core idea is to learn a conditional distribution p(y|x) by minimizing a conditional maximum mean discrepancy (CMMD) criterion. The authors evaluate CGMMN on predictive modeling, contextual generation, and Bayesian dark knowledge distillation tasks using standard benchmark datasets. 

The work builds upon the recent success of MMD-based generative models like GMMN, offering a compelling approach to conditional generation. The motivation for focusing on conditional distributions – improved predictive performance, contextual generation, and building blocks for larger models – is well-articulated and relevant to current research trends in deep generative modeling. The extension from GMMN to CGMMN appears conceptually sound, and the proposed CMMD criterion provides a theoretically grounded objective function. The experimental evaluation covers a reasonable range of tasks, demonstrating competitive performance compared to existing methods.

A key strength of this paper is its exploration of a relatively underexplored area – extending moment matching approaches to the conditional setting. The theoretical justification, leveraging kernel embeddings and Hilbert space properties, is solid. The experiments, while not extensive, provide initial evidence of the method’s effectiveness. The application to Bayesian dark knowledge distillation is particularly interesting.

However, the paper suffers from some weaknesses. The mathematical exposition, particularly surrounding the CMMD derivation and the use of kernel operators, can be difficult to follow. While the authors provide theorems, a more intuitive explanation of the key concepts would be beneficial. The experimental tasks, while comparable to recent work, are relatively small-scale. A more thorough evaluation on larger, more challenging datasets would strengthen the claims. A significant concern is the computational cost. The authors acknowledge this, but a direct runtime comparison with methods like DSN is crucial to assess the practical viability of CGMMN.  Furthermore, the model description lacks sufficient detail for exact reproduction. Specific hyperparameters, network architectures beyond the general descriptions, and training procedures are not fully specified. Finally, the lack of publicly available code hinders reproducibility and further investigation by the research community.

**Arguments for acceptance:**

*   Novel extension of MMD-based generative models to the conditional setting.
*   Solid theoretical foundation.
*   Competitive performance on a range of tasks.
*   Interesting application to Bayesian dark knowledge distillation.

**Arguments against acceptance:**

*   Mathematical exposition can be challenging.
*   Limited scale of experimental evaluation.
*   Lack of runtime comparison with competing methods.
*   Insufficient detail for reproduction and lack of code.



**Overall:** I believe this paper presents a valuable contribution to the field of deep generative modeling. However, the concerns regarding reproducibility, computational cost, and clarity of presentation need to be addressed. I recommend acceptance with minor revisions, contingent upon the authors providing a runtime comparison, clarifying the mathematical exposition, and releasing the code. Addressing the reproducibility concerns is paramount.
