This paper introduces a novel approach to spectral analysis of nonlinear dynamical systems by extending Dynamic Mode Decomposition (DMD) to operate within a Reproducing Kernel Hilbert Space (RKHS). The core idea is to leverage the Koopman operator, a linear representation of nonlinear dynamics, and approximate its eigenfunctions using kernel methods, offering a potentially richer basis than traditional linear monomial approaches. The authors present an algorithm based on calculating orthogonal bases for the Krylov matrix in RKHS and performing eigendecomposition, effectively providing a feature extraction procedure for nonlinear systems. Applications in state prediction, change-point detection, and dynamics recognition are demonstrated with synthetic and real-world data.

The paper builds upon a strong foundation of existing work in dynamical systems analysis. The connection to the Koopman operator and DMD [25, 26] is clearly established, and the motivation for extending these techniques using RKHS is well-articulated. The authors correctly position their work relative to related decomposition methods like Proper Orthogonal Decomposition (POD) [12] and spectral methods [15, 31, 17], highlighting the advantages of capturing dynamic information beyond simply identifying principal directions. The references to related work in kernel methods [28, 35, 36] are relevant and demonstrate an awareness of the broader literature. 

The strengths of this work lie in its theoretical soundness and the potential for capturing complex nonlinear dynamics. The extension of DMD to RKHS offers a principled way to incorporate nonlinear basis functions, which is a significant improvement over methods relying on linear approximations. The robustification technique using POD directions (Section 4) addresses a practical concern regarding ill-conditioning, enhancing the algorithm's applicability. The empirical examples, while relatively simple, demonstrate the feasibility of the approach and provide initial validation of the theoretical results. The applications section, though brief, showcases the potential of the extracted features.

However, the paper also has some weaknesses. The novelty of kernelizing DMD seems incremental, and the paper could benefit from a more thorough comparison to existing techniques like extended DMD [35] and kernelized variants of other spectral methods. While the authors acknowledge the relationship to subspace identification methods [23, 14], a deeper discussion of these connections would strengthen the work. The applications section feels somewhat superficial; the empirical results are not compellingly demonstrated to outperform existing approaches. The discussion of the pre-image calculation for prediction (Section 7) feels somewhat hand-wavy and could benefit from more detail and justification. The organization could also be improved: Section 5 ("Related Works") is quite lengthy and could be integrated more seamlessly into the introduction and discussion.  The notation is generally clear, but some equations could benefit from more context. Finally, the provided code link is broken as of the date of this review.

**Arguments for acceptance:**

*   The paper presents a theoretically sound extension of DMD using kernel methods.
*   The robustification technique addresses a practical concern and improves the algorithm’s stability.
*   The work demonstrates the potential for capturing complex nonlinear dynamics.
*   The paper is well-written and clearly explains the underlying concepts.

**Arguments against acceptance:**

*   The novelty of the approach is incremental.
*   The empirical results are not particularly compelling.
*   The applications section is somewhat superficial.
*   The related work section is extensive but could be more focused.



**Overall Assessment:**

This paper presents a solid contribution to the field of nonlinear dynamical systems analysis. While the novelty may be incremental, the extension of DMD to RKHS is a principled and potentially valuable extension. The authors have demonstrated the feasibility of their approach and provided a clear theoretical foundation. However, the lack of a compelling empirical demonstration and the somewhat superficial application section prevent me from strongly recommending acceptance.  I recommend **weak accept** contingent on the authors addressing the points raised above, particularly strengthening the empirical validation and providing a more convincing demonstration of the method's advantages over existing techniques.  Specifically, a comparison against extended DMD with relevant parameter tuning would be extremely beneficial.



