This paper proposes a supervised variant of the Word Mover’s Distance (WMD), termed S-WMD, aiming to learn a metric within the word embedding space alongside re-weighted word frequencies. The core idea is to minimize the leave-one-out classification error under the WMD metric, leveraging the efficiency gains from the Sinkhorn distance approximation. The approach learns a linear transformation of the word embeddings and adjusts word weights to better align distances with semantic similarity as defined by class labels. The paper presents comprehensive experimental results on eight datasets, demonstrating state-of-the-art or competitive performance compared to a wide range of baselines.

The paper builds upon the recent success of WMD [Kusner et al., 2015] and the broader field of metric learning [Weinberger & Saul, 2009; Davis et al., 2007]. It smartly addresses a key limitation of WMD—its unsupervised nature—by incorporating supervision into the distance learning process. The use of the Sinkhorn distance [Cuturi, 2013] to speed up WMD computation is a clever adaptation, making supervised learning feasible. The connection to Neighborhood Components Analysis (NCA) [Goldberger et al., 2005] provides a strong theoretical grounding and a suitable loss function. The extensive empirical evaluation is a significant strength, providing convincing evidence of the method’s effectiveness.  The authors appropriately acknowledge related work in both metric learning and optimal transport.

**Strengths:**

*   **Novelty:** The combination of supervised learning with the WMD is a novel contribution. Learning both a linear transformation of word embeddings *and* word weights simultaneously is a particularly insightful idea.
*   **Technical Soundness:** The proposed algorithm is well-motivated, and the use of the Sinkhorn distance and connections to NCA are theoretically sound. The gradient derivation appears correct.
*   **Empirical Performance:** The experimental results are compelling. S-WMD consistently achieves strong performance across a diverse set of datasets and baselines, demonstrating its robustness and effectiveness.
*   **Efficiency:** The authors address the computational challenges of supervised WMD with a clever approximation and demonstrate that the algorithm is practical, with comparable training times to existing methods.
*   **Clarity:** The paper is generally well-written and clearly explains the technical details of the proposed method.
*   **Completeness:** The paper provides a comprehensive evaluation, including ablation studies (S-WMD initialization) and comparisons with a large number of competitive baselines.

**Weaknesses:**

*   **Hyperparameter Sensitivity:** While the paper mentions Bayesian Optimization, the details of hyperparameter tuning are limited. The sensitivity of the performance to the choice of λ (regularization parameter for Sinkhorn distance) and learning rates could be explored in more detail.
*   **Scalability Discussion:** While the authors mention the complexity, a more in-depth discussion of the scalability limitations for very large datasets (e.g., with millions of documents) would be valuable. Could the batch size and nearest neighbor set size limit applicability in such settings?
*   **Word Weight Interpretation:** The learned word weights are intriguing, but the paper lacks a deeper analysis of *why* certain words receive higher weights. Are the weights consistently related to discriminatory features within each dataset?  A qualitative analysis of the learned weights could provide valuable insights.
*   **Limited Error Analysis:** A more detailed error analysis would be helpful. Which types of documents or classes does S-WMD struggle with, and why?
*   **WCD as a Baseline:** The comparison to WCD is helpful, but it's not clear why WCD performs so well in some cases. A more thorough justification for its inclusion as a strong baseline could strengthen the comparison.



**Arguments for Acceptance:**

*   The paper presents a novel and technically sound approach to supervised document distance learning.
*   The experimental results are compelling and demonstrate significant improvements over existing methods.
*   The authors effectively address the computational challenges associated with supervised WMD.
*   The paper is well-written, clearly explained, and provides a comprehensive evaluation.

**Arguments for Rejection:**

*   The paper could benefit from a more in-depth discussion of hyperparameter sensitivity and scalability limitations.
*   The analysis of learned word weights could be strengthened with a more qualitative and interpretative study.
*   A more thorough error analysis would provide further insights into the strengths and weaknesses of the approach.

**Overall Assessment:**

This is a strong paper that makes a valuable contribution to the field of document distance learning. The proposed S-WMD algorithm is novel, technically sound, and empirically effective. While there are some minor weaknesses, they do not significantly detract from the overall quality of the work.  I believe this paper is worthy of acceptance to NIPS.

**Recommendation:** Accept.

**Suggestions for Improvement:**

*   Provide more details on the hyperparameter tuning process and explore the sensitivity of the results to different parameter settings.
*   Discuss the scalability limitations of the algorithm for very large datasets.
*   Conduct a more in-depth analysis of the learned word weights to understand why certain words are assigned higher importance.
*   Perform a more detailed error analysis to identify the types of documents or classes where S-WMD struggles.
*   Expand the discussion of the WCD baseline and its performance relative to S-WMD.
