This paper addresses the important problem of robust submodular maximization in a streaming setting. The authors propose a two-stage approach, STAR-T, with a partitioned thresholding scheme, and provide theoretical guarantees. While the problem statement is well-motivated and the proposed solution is technically detailed, I find myself unconvinced of its overall significance and originality, given the existing body of work. My recommendation is a weak reject.

The core idea of partitioning the data stream and employing decreasing thresholds is not entirely novel. Similar partitioning strategies, as acknowledged by the authors, have appeared in prior work (specifically, [11]), and the application of greedy thresholding is a common technique in streaming submodular maximization (e.g., [8]). The primary contribution appears to be the specific adaptation of these ideas to the *robust* setting. However, the theoretical guarantees, while mathematically sound, are relatively weak – a constant factor approximation with a constant that approaches 0.149 as *k* grows. This low constant, combined with the relatively complex algorithm, raises questions about its practical utility.

A major concern is the reliance on knowing or approximating `f(OPT(k, V \ E))`. While the authors address this in Section 4.1, the suggested method (parallel instances) significantly increases the space complexity, diminishing the streaming advantage. The claim that the algorithm performs well even when *m* exceeds *k* (observed in the experiments) is interesting, but requires more rigorous explanation. The theoretical analysis doesn't readily explain this behavior, and feels somewhat disconnected from the experimental observations. 

The experimental evaluation, while thorough, does not demonstrate a substantial advantage over existing methods. The performance of STAR-T-GREEDY is comparable to SIEVE-STREAMING, even when SIEVE-STREAMING is given the benefit of knowing the removed elements.  The experiments on movie recommendation, while showcasing the ability to handle interactive removals, are not particularly compelling, as the gains over simpler baselines are modest. The space complexity claim of O((k + m log k) log2 k) is also concerning - while logarithmic in *k*, the dependence on *m* could be prohibitive for large robustness parameters.

**Strengths:**

*   Well-defined problem statement with clear motivation.
*   Technically sound algorithm with a theoretical guarantee (albeit a weak one).
*   Thorough experimental evaluation on multiple datasets and tasks.
*   Addresses a relevant and challenging problem.

**Weaknesses:**

*   Limited originality; builds upon existing techniques with incremental improvements.
*   Weak approximation guarantee (constant factor approaching 0.149).
*   Reliance on knowing or approximating `f(OPT(k, V \ E))`, which increases space complexity.
*   Experimental results do not demonstrate significant improvements over strong baselines like SIEVE-STREAMING.
*   The justification for good performance when m > k is unclear and not reflected in the theory.
*   Space complexity scales with m, which is not ideal.

**Arguments for acceptance:**

*   The paper addresses a challenging and relevant problem.
*   The technical analysis is sound.

**Arguments against acceptance:**

*   Limited originality and weak theoretical guarantees.
*   Marginal practical improvement over existing methods.
*   Complexity outweighs the benefits.
*   The dependence of memory on *m* is a significant drawback for large robustness values.



In summary, while the paper is technically correct and addresses an important problem, the limited originality, weak theoretical guarantee, and lack of compelling experimental results do not justify acceptance to NIPS at this time. I believe the paper requires substantial revision, focusing on strengthening the theoretical guarantees, demonstrating a more significant practical advantage, or exploring alternative approaches that mitigate the space complexity issues.
