This paper introduces Conditional Generative Moment-Matching Networks (CGMMN) as an extension of Generative Moment-Matching Networks (GMMN) to learn conditional distributions. The core idea is to leverage conditional maximum mean discrepancy (CMMD) as a training criterion, building upon the kernel mean embedding techniques introduced by Song et al. (2009) for embedding conditional distributions. The authors present a straightforward training procedure via backpropagation and evaluate CGMMN across diverse tasks: predictive modeling, contextual generation, and Bayesian dark knowledge distillation. 

The work builds upon a strong foundation in kernel methods and generative modeling. GMMNs, and consequently CGMMNs, offer a potentially simpler training alternative to the adversarial training procedure of Generative Adversarial Networks (GANs). The extension to conditional distributions is a natural and valuable step, broadening the applicability of moment-matching networks. The authors appropriately cite relevant works in the field, including recent advances in GANs (Goodfellow et al., 2014; Mirza & Osindero, 2014) and moment matching (Dziugaite et al., 2015; Li et al., 2016).

The strengths of this paper lie in its clear motivation, the novelty of applying MMD to conditional distributions in this manner, and the exploration of various applications. The theoretical grounding, particularly the connection to kernel embeddings of conditional distributions (Song et al., 2009), is well-articulated. The authors demonstrate a practical implementation of the method and perform a range of experiments to evaluate its performance.

However, the paper also has several weaknesses. A significant concern lies in the derivation of the empirical conditional operator estimator, \hat{C}_{Y|X}. The formulation appears to omit centering terms essential for unbiased estimation in RKHS. While centering is implicitly assumed, the authors do not provide a clear justification for omitting these terms or discuss their potential impact on gradient computation and experimental results. This omission raises questions about the accuracy and stability of the training process.

Furthermore, the experimental results, while extensive, are somewhat disappointing. On the predictive modeling tasks (MNIST and SVHN), CGMMN consistently exhibits higher error rates compared to state-of-the-art methods like CMMVA (Li et al., 2016). The generative performance is also difficult to assess due to the lack of comparison with established conditional generative models such as conditional GANs (Mirza & Osindero, 2014). Without such comparisons, it is hard to gauge the relative quality of the generated samples. The qualitative results presented are somewhat limited in scope and lack sufficient detail.

The writing quality could be improved; the paper contains several minor typos ("Frobeniu norm," "an universal," "which the") that detract from its professionalism. 

**Arguments for acceptance:**

*   Novel approach to conditional generative modeling using moment matching.
*   Well-motivated and grounded in existing kernel methods literature.
*   Exploration of diverse applications, demonstrating versatility.

**Arguments against acceptance:**

*   Omission of centering terms in the empirical operator estimator raises theoretical concerns.
*   Subpar performance on predictive modeling tasks compared to existing methods.
*   Lack of comparative evaluation with other conditional generative models.
*   Minor writing quality issues.

**Overall Assessment:**

The paper presents an interesting idea but falls short of demonstrating compelling results. The theoretical omission of centering terms is a significant concern. While the approach is novel, the experimental results do not clearly establish its superiority over existing methods.  I recommend **rejection** pending substantial revisions addressing the theoretical concerns and more comprehensive experimental validation. The authors should provide a rigorous justification for omitting centering terms, conduct a thorough comparison with other conditional generative models, and improve the overall clarity and polish of the manuscript.



**Update (Post-Rebuttal):**

The authors have responded to my concerns with detailed explanations and supplementary material. They provide a clearer justification for the choice to omit centering terms, citing practical considerations regarding computational cost and empirical performance. They have also added a comparison with conditional GANs on the MNIST dataset, which, while not dramatically superior, shows more competitive results. Furthermore, they have corrected the typos identified in the original review. These revisions have addressed my primary concerns and significantly strengthened the paper.  I now recommend **acceptance** with minor revisions (e.g. refining the GAN comparison to provide more quantitative metrics). The work now represents a valuable contribution to the field of generative modeling.



