This paper introduces Population Matching Discrepancy (PMD), a novel and theoretically grounded method for estimating the distance between two probability distributions based on samples. The core idea – minimizing the cost of matching samples between distributions – offers a compelling alternative to Maximum Mean Discrepancy (MMD), a widely used approach in deep learning. The authors demonstrate that PMD is a strongly consistent estimator of the first Wasserstein metric and provide a differentiable objective suitable for training deep neural networks. The paper is well-structured, clearly written, and contains a thorough review of related work, demonstrating a good understanding of the field.

The primary strength of this work lies in its theoretical foundation. The proof that PMD is a consistent estimator of the Wasserstein metric is a significant contribution. The authors effectively address limitations of MMD – namely, its sensitivity to kernel bandwidth, vanishing gradients, and the need for large mini-batches – and position PMD as a potential solution to these issues. The proposed algorithm for parameter learning using PMD as an objective appears sound and efficiently leverages stochastic gradient descent. Furthermore, the empirical evaluation on both domain adaptation and generative modeling tasks provides strong evidence of PMD’s effectiveness, demonstrating performance comparable to, and in some cases exceeding, that of MMD. The analysis of convergence speed and time consumption provides valuable practical insights.

However, some aspects could be strengthened. While the authors address the computational cost of the optimal matching with a quadratic approximation, a more detailed analysis of the trade-off between computational efficiency and accuracy of this approximation would be beneficial. The discussion of the impact of the choice of distance metric *d* (e.g., L1 distance) on the results is somewhat limited. The choice of L1 distance may be suitable for the tested scenarios, but its suitability for more complex data distributions warrants further investigation. 

Regarding the experiments, the generative modeling results, while promising, primarily focus on simpler datasets like MNIST and SVHN. A more challenging evaluation on datasets with more complex and multi-modal distributions (e.g., CelebA, ImageNet) would further solidify the claims about PMD's performance. The authors acknowledge that the generated images on SVHN and LFW are blurry and attribute this to the use of the L1 distance. Expanding the experiments to explore other distance metrics, or incorporating PMD into a more sophisticated generative model architecture capable of capturing higher-order correlations, could improve image quality. The reviewer’s request for investigation into PMD’s behavior when the sample size N is smaller than the number of modes is pertinent and should be addressed, as this is a common scenario in many applications.  A theoretical or empirical analysis of this case would add significant value.

**Arguments for acceptance:**

*   Strong theoretical justification and proof of consistency.
*   Addresses key limitations of MMD, a widely used method.
*   Demonstrated performance improvements on relevant tasks (domain adaptation, generative modeling).
*   Clear writing and thorough literature review.
*   Provides a potentially valuable new tool for comparing distributions and training deep learning models.

**Arguments against acceptance:**

*   Generative modeling experiments lack evaluation on highly complex, multi-modal datasets.
*   Limited discussion of the impact of the distance metric *d* on the results.
*   Further analysis of the approximate matching algorithm’s accuracy and computational trade-offs would be valuable.
*   The behavior of PMD with N < number of modes requires further investigation.



**Overall:** This is a strong paper that proposes a novel and well-motivated method for estimating distribution divergence. While some aspects could benefit from further exploration, the theoretical contributions, compelling empirical results, and clear presentation make it a valuable addition to the NIPS conference. I recommend acceptance with minor revisions to address the points raised above, particularly expanding the experimental evaluation to more challenging generative modeling tasks and providing a more detailed analysis of PMD’s behavior in low-sample-size regimes.
