LSDA: Large Scale Detection through Adaptation presents a compelling approach to scaling object detection to a large number of categories by leveraging the abundance of image-level classification data. The core idea – adapting classifiers to detectors via domain adaptation – is intuitively appealing and addresses a critical bottleneck in current detection pipelines: the need for extensive bounding box annotations. The paper builds upon the R-CNN paradigm and extends it to a semi-supervised setting, requiring annotations only for a subset of categories.

The paper is clearly written and well-organized, making the proposed method accessible. The motivation is well-defined, and the problem statement is clearly articulated. The authors provide a good overview of related work, including MIL-based methods and domain adaptation techniques, and appropriately position their contribution within the existing literature. The experimental setup is detailed, and the results on the ImageNet detection task demonstrate a significant improvement over a baseline. The inclusion of ablation studies and error analysis further strengthens the evaluation. Releasing the model and code is a very positive aspect, facilitating reproducibility and further research.

However, several aspects could be improved. While the core idea is novel, the adaptation technique itself relies heavily on existing methods, such as fine-tuning CNNs and adapting output layers. The ‘novelty’ lies in the combination and application to this specific semi-supervised detection problem, which is well-motivated but not a radical departure from existing techniques. The presentation of the adaptation process (Fig. 2) is somewhat complex and could benefit from simplification. More intuitive diagrams or a step-by-step explanation would improve clarity.

The paper lacks a more thorough comparison with other relevant techniques, particularly MIL-based methods. While the authors mention MIL, a direct quantitative comparison on the ImageNet dataset would be crucial to demonstrate the superiority of LSDA. The claim that MIL methods haven’t been evaluated on the large-scale ImageNet detection challenge requires verification; several recent works (e.g., those leveraging weakly-supervised learning with MIL) *have* performed evaluations on this dataset. 

The analysis of the "nearest neighbor" selection for category-specific adaptation (Equation 1) is limited. The effect of *k* is briefly discussed, but a more extensive evaluation of different *k* values and alternative similarity metrics (beyond Euclidean distance on fc8 weights) would be valuable.  Furthermore, the choice of the fc8 layer for nearest neighbor search seems somewhat arbitrary; justification or exploration of alternative layers could be beneficial. 

The error analysis is insightful, but it primarily focuses on qualitative observations. Quantifying the types of errors (localization, background confusion, misclassification) would provide a more rigorous understanding of the system’s limitations. While the authors acknowledge performance limitations due to not using SVMs and bounding box regression, these components are standard in modern detectors and including them, even with increased computational cost, would offer a more comprehensive comparison.

**Arguments for acceptance:**

*   Addresses a critical problem in scaling object detection: the scarcity of bounding box annotations.
*   Demonstrates significant improvement (+50% mAP) over a strong baseline.
*   Clear and well-organized presentation.
*   Code and models released for reproducibility.
*   Good experimental validation with ablation studies.

**Arguments against acceptance:**

*   The core adaptation technique builds heavily on existing methods.
*   Lack of direct quantitative comparison with competing approaches, specifically MIL-based methods.
*   Limited analysis of the nearest neighbor selection process.
*   Qualitative error analysis could be strengthened with quantitative metrics.
*   Exclusion of standard detector components (SVMs, bounding box regression) may underestimate the true potential.



**Overall Assessment:**

I believe this paper represents a solid contribution to the field of object detection. The proposed LSDA algorithm offers a practical and effective solution to the problem of scaling detection to a large number of categories with limited annotation resources. While the paper has some weaknesses, particularly in the comparative analysis and depth of certain experimental explorations, the strengths outweigh these concerns. I recommend acceptance with minor revisions, specifically addressing the points raised regarding comparisons to MIL methods, the nearest neighbor selection process, and quantitative error analysis.  The release of the code is a major asset.
