This paper proposes the Expectation Loss SVM (e-SVM), a modification to the standard Support Vector Machine to handle weakly supervised learning scenarios where training data is labeled with a continuous “positiveness” value rather than a binary label. The core idea is to weight each example in the SVM loss function by its positiveness score, effectively treating the positiveness as a confidence measure. The authors extend this to a latent variable setting where the positiveness is unobserved and must be inferred during training. Experiments demonstrate improvements in segment proposal classification, semantic segmentation, and object detection, achieving state-of-the-art object detection performance on PASCAL VOC 2007.

The paper addresses an important problem in computer vision – leveraging weakly supervised data to reduce the cost of annotation. The motivation for learning from “positiveness” values, rather than hard labels, is clearly articulated, especially in the context of bounding box annotations being readily available while pixel-level annotations remain expensive. The experimental validation across different tasks—segment classification, semantic segmentation, and object detection—is a significant strength, demonstrating the general applicability of the proposed method. The results reported are competitive, and the state-of-the-art object detection performance is particularly noteworthy. The paper is generally well-written and clearly explains the e-SVM formulation and its latent variable extension.

However, the paper suffers from a significant weakness regarding originality. While the proposed e-SVM modifies the standard SVM loss function, the concept of weighting examples based on their confidence or observed “costs” is not novel. This is a well-established area in machine learning, explored extensively in the literature on weighted SVMs (e.g., [23, 27]). The authors acknowledge related work on weighted SVMs but do not adequately distinguish e-SVM from these existing methods. The proposed weighting scheme appears fundamentally equivalent to assigning instance-dependent costs, a technique already present in libraries like SVMlight. The paper needs to more clearly articulate the specific contributions of e-SVM and how it differs from and improves upon existing approaches. 

The latent variable extension, while interesting, also lacks substantial novelty.  Inferring latent weights or confidence scores is a common technique, and the proposed optimization algorithm (iteratively updating u and w) is a fairly standard approach. Crucially, the optimization is non-convex, and the paper lacks any theoretical analysis regarding convergence or optimality. The use of a strong regularization term (KL divergence) is acknowledged as preventing the algorithm from collapsing to trivial solutions (u=0 or u=1), which suggests the learned weights remain heavily influenced by the initial values. The authors should discuss this observation in more detail and explore the sensitivity of the results to the regularization strength.

Furthermore, the claim that using a continuous value in [0,1] makes the problem non-standard for regression is incorrect. Logistic regression, a standard regression technique, naturally outputs values in this range.  The authors should revise this statement. Additionally, a minor typo exists in the abstract: “continues” should be “continuous.”

**Arguments for acceptance:**

*   Addresses an important problem of learning with weak supervision.
*   Demonstrates consistent improvements across multiple tasks.
*   Achieves state-of-the-art object detection performance.
*   Clear and well-written presentation.

**Arguments against acceptance:**

*   Limited novelty; the proposed method is closely related to existing weighted SVM techniques.
*   Latent variable extension lacks theoretical analysis.
*   Strong regularization suggests sensitivity to initialization.
*   Incorrect claim regarding regression problems.



**Overall Assessment:**

The paper presents a technically sound and reasonably well-executed study. However, the lack of clear novelty is a significant concern. While the method is effective, it is not clear that it represents a substantial advance over existing techniques. I currently rate this paper as **weak reject**.  If the authors can convincingly argue the novelty of their approach, or provide a more thorough theoretical analysis of the latent variable extension, I would be willing to reconsider. Addressing the minor issues raised (typo, incorrect claim) is also essential.



