**Paper Review: Morphological Inflection Generation with Hard Monotonic Attention**

**Summary:**
The paper presents a neural model for morphological inflection generation, employing a hard attention mechanism to capture the nearly-monotonic alignment between input and output character sequences. The model is evaluated on three morphological inflection generation datasets, achieving state-of-the-art results in various setups. The authors also analyze the learned alignments and representations of both hard and soft attention models, shedding light on the features extracted for the inflection generation task.

**Main Contributions:**

1. A hard attention model for morphological inflection generation, which captures the monotonic alignment between input and output character sequences.
2. Evaluation of the model on three previously studied morphological inflection generation datasets, achieving state-of-the-art results in various setups.
3. Analysis of the learned alignments and representations of both hard and soft attention models, providing insights into the features extracted for the inflection generation task.

**Strengths:**

1. **Improved performance**: The hard attention model outperforms previous neural and non-neural approaches on various morphological inflection generation datasets, especially in low-resource settings.
2. **Novel approach**: The use of hard attention mechanism is a new approach to capturing the monotonic alignment between input and output character sequences, which is commonly found in morphological inflection generation tasks.
3. **Comprehensive evaluation**: The authors evaluate their model on three previously studied datasets, providing a thorough comparison with previous approaches.

**Weaknesses:**

1. **Limited analysis**: While the authors analyze the learned alignments and representations of both hard and soft attention models, the analysis is limited to a small subset of the data.
2. **No comparison with other neural models**: The authors do not compare their hard attention model with other neural models, such as those using soft attention or other attention mechanisms.
3. **No discussion on limitations**: The authors do not discuss the limitations of their approach, such as the potential for overfitting in low-resource settings.

**Questions to Authors:**

1. How do the authors plan to extend their approach to other morphological inflection generation tasks, such as those involving non-monotonic alignments?
2. Can the authors provide more insights into the learned representations of the hard attention model, such as the features extracted for specific morphological transformations?
3. How do the authors plan to address the potential limitations of their approach, such as overfitting in low-resource settings?
