This paper proposes a method for evaluating the quality of samples from MCMC-based inference algorithms. The approach extends the Bidirectional Monte Carlo (BDMC) framework, which uses a pair of annealed importance sampling (AIS) runs—one from the prior to the posterior (forward) and one from the posterior to the prior (reverse)—to produce stochastic lower and upper bounds on the model's marginal likelihood. The central idea of this work is to use the gap between these two bounds as a quantitative measure of inference quality. The authors show that the expected value of this gap provides an upper bound on the Jeffreys divergence between the distribution of approximate samples and the true posterior. The method, termed BREAD, is implemented and tested within two probabilistic programming languages, Stan and WebPPL, and a protocol is proposed for applying it to real-world datasets where exact posterior samples are unavailable.

**Strengths:**

The primary strength of this paper is its core idea, which is both elegant and highly practical. Using the BDMC framework to assess MCMC operator performance is a simple and intuitive concept. The resulting method provides a general, automated, and easy-to-implement tool for diagnosing the reliability of posterior inference. This is particularly valuable in the context of probabilistic programming systems, where inference can be opaque to the user. The potential for this method to become a standard diagnostic tool in such systems is high, making the work potentially impactful.

**Weaknesses and Areas for Improvement:**

While the paper's core idea is compelling, the manuscript has several weaknesses in its current form, primarily concerning originality, clarity, and experimental detail.

1.  **Originality and Discussion of Related Work:**
    *   The main conceptual leap from the original BDMC paper [GGA15] is interpreting the gap between the bounds as an upper bound on the Jeffreys divergence. While this is a nice observation, the paper would benefit from a more thorough discussion of its novelty.
    *   A significant omission is the failure to cite or discuss Radford Neal's 1996 work on Tempered Transitions. The algorithm described is fundamentally the same as a single step of Tempered Transitions, which involves a "heating" sweep (analogous to the reverse AIS chain) followed by a "cooling" sweep (the forward AIS chain). The acceptance probability for the tempered transition move is determined by the ratio of the accumulated importance weights from both sweeps, which appears to be precisely the ratio between the stochastic upper and lower bounds discussed here. Neal's paper even interprets this in terms of thermodynamic integration providing bounds on the log partition function difference. Acknowledging and discussing this strong connection is crucial for properly situating the work.

2.  **Clarity and Technical Presentation:**
    *   The paper devotes considerable space to reviewing the BDMC method, which leaves the novel contributions in Section 3 feeling rushed. This leads to several points of confusion in the technical derivation.
    *   **Specific clarity issues:**
        *   The definition of `v` as "all of the variables sampled in AIS before the final stage" is ambiguous. It is not immediately clear which variables from which chain are included.
        *   The derivation in Equations (6-11) is hard to follow. It is not specified which estimator is being used inside the expectation (e.g., `E[log R̂]`).
        *   The KL divergence term in Equation (7) is confusing. It is written as `DKL(qfwd(xT) qfwd(v |xT) || pT(xT) qrev(v |xT))`. Since `qfwd(v, xT) = qfwd(xT) qfwd(v|xT)`, this is `DKL(qfwd(v, xT) || pT(xT) qrev(v|xT))`. The relationship between these joint distributions and the marginals in the subsequent Jeffreys divergence bound is not immediately obvious and could be explained more clearly.

3.  **Methodological and Experimental Detail:**
    *   The choice of the annealing schedule (i.e., the intermediate distributions or temperatures) is a critical hyperparameter that directly influences the tightness of the bounds and the reliability of the divergence estimate. However, this is given little attention. A discussion on how to choose this schedule, and how the resulting gap could inform this choice (e.g., a large gap implies the annealing steps are too large), would significantly strengthen the practical utility of the method.
    *   The experiments could be more thoroughly described. For instance:
        *   The method for choosing the number of annealing steps is not stated in the main text (it appears to be a fixed step size in the appendix code).
        *   The x-axis label "HMC / No-U-Turn steps" in Figures 1 and 2 is ambiguous. Does this refer to the number of AIS temperatures, or the number of leapfrog steps within the MCMC transition at each temperature?
        *   The acronyms in the Figure 2 caption (e.g., (u)c(R)AIS) are not defined.
        *   The axis and tick labels in the figures are too small to be easily legible.

**Conclusion:**

This paper introduces a simple and potentially very useful method for evaluating MCMC inference. However, the manuscript in its current form is weakened by a critical omission of related work and a lack of clarity in its technical derivations and experimental methodology. I believe the paper has the potential to be a strong contribution. I would be inclined to argue for acceptance if the authors can convincingly address the issues raised, particularly by incorporating a discussion of Tempered Transitions and by clarifying the technical details and experimental setup in a revised version.

**Minor Corrections:**

*   In the expression for Jeffreys divergence in Section 3.1, there appear to be missing parentheses.
*   The citation for the NUTS paper [HG14] should be Hoffman and Gelman, not Homan and Gelman.
