This paper proposes Deep Attention Selective Networks (dasNet), a CNN augmented with feedback connections and an attentional policy learned via reinforcement learning (specifically, Separable Natural Evolution Strategies). The core idea is to allow the network to iteratively refine its classification by modulating filter activations, potentially correcting initial misclassifications. While the motivation – mimicking the deliberate, iterative processing observed in human vision – is understandable, the presented work falls short of convincing me of its necessity or effectiveness, particularly given the substantial complexity introduced.

The paper is clearly written and well-organized, presenting a logical progression from motivation to method to experiments. However, clarity is somewhat hampered by the sheer number of equations and details related to the Maxout network (Section 2), which feels excessively thorough for a NIPS submission. A reader familiar with CNNs doesn't need this level of detail, and it detracts from the focus on the novel contribution. Related work is reasonably well covered, acknowledging prior attempts to incorporate attention and recurrent processing, but could benefit from a more critical assessment of *why* those approaches haven’t fully solved the problem dasNet aims to address.

The primary weakness lies in the lack of compelling evidence for the benefits of dasNet. A 6% relative improvement on CIFAR-10/100 is modest, and the authors acknowledge this is achieved on "difficult" instances. It’s not clear how representative these instances are of a typical test set. More importantly, the comparison to a “vanilla CNN” lacks sufficient detail. What is the architecture of this baseline? Are the two networks equally optimized in terms of hyperparameters? The claim of establishing a “new state-of-the-art result” is weak without a more rigorous comparison to more recent, well-established architectures (e.g., ResNets, DenseNets, EfficientNets) and/or strong data augmentation techniques. The experiments section focuses heavily on visualization of filter activations, which while interesting, are largely qualitative and don’t provide strong quantitative support for the proposed mechanism. The information content analysis of the gates is a positive attempt, but the results (40-45% accuracy using the gates alone) aren’t particularly impressive and don't convincingly demonstrate that the learned attention policy is truly effective.

The choice of SNES as the reinforcement learning algorithm is justified by the large number of parameters, but the reliance on a black-box optimization method raises concerns about interpretability and potential instability.  Standard RL methods, even with approximations, might offer more insight into the learned policy.  Furthermore, the significant training time (4 days on a GTX 560 Ti) suggests a substantial computational cost, limiting scalability.

The originality of the work is moderate. The combination of CNNs with attention mechanisms and reinforcement learning is not entirely novel, but the specific implementation of feedback connections modulating filter activations *is* a contribution. However, the significance of this contribution is questionable.  The paper doesn’t convincingly demonstrate that dasNet addresses a critical limitation of existing CNNs or opens up a fundamentally new direction in the field. The iterative refinement of classifications, while inspired by human vision, is computationally expensive and doesn’t necessarily translate to a substantial performance gain. 

**Arguments for Acceptance:**

*   Novel combination of CNNs, attention, and RL.
*   Clear writing and organization.
*   Demonstrated performance improvement on challenging instances.

**Arguments Against Acceptance:**

*   Modest performance gain compared to a vaguely defined baseline.
*   Lack of rigorous comparison to state-of-the-art architectures.
*   High computational cost.
*   Limited interpretability of the learned policy.
*   Qualitative rather than quantitative justification for the proposed mechanism.



**Overall Assessment:**

I lean towards **rejecting** this paper. While the ideas are interesting and the paper is well-written, the lack of substantial and rigorously validated performance gains, coupled with the computational complexity and limited interpretability, do not meet the standards for acceptance at NIPS. The paper feels more like a proof-of-concept than a significant contribution to the field. I encourage the authors to address the weaknesses outlined above, particularly by conducting more comprehensive experiments with stronger baselines and a more thorough analysis of the learned attentional policy, before resubmitting.
