## Review of "Learning brain regions via large-scale online structured sparse dictionary learning"

This paper proposes a multivariate online dictionary learning method for decomposing brain images, aiming to identify spatially coherent brain regions. The core idea is to combine sparsity-inducing L1 regularization with a Laplacian penalty to encourage smoothness and compactness of the learned dictionary atoms – effectively representing "blobs" corresponding to brain structures. The method builds upon existing online dictionary learning work (Mairal et al., 2010) and addresses the challenge of analyzing large-scale neuroimaging datasets while capturing inter-subject variability. This is a relevant problem, as traditional ROI-based analyses require principled definition of regions, and methods like ICA/PCA can struggle with large datasets.

The paper is well-motivated, clearly outlining the limitations of existing approaches and positioning the proposed method as a solution. The technical contribution – extending online dictionary learning with a Laplacian penalty – is a reasonable and potentially valuable extension. The authors demonstrate the scalability of their method, highlighting a relatively modest increase in runtime compared to the baseline online dictionary learning.  Experiments on the HCP dataset demonstrate qualitative improvements in dictionary interpretability and competitive performance in predicting behavioral scores, offering empirical support for the proposed approach. The detailed discussion of hyperparameter tuning and convergence considerations is commendable.

However, the paper has some weaknesses. While the authors claim to address limitations of ICA/PCA, the comparison to CanICA feels somewhat superficial, especially given its superior performance in predicting behavioral variables.  A more in-depth analysis of *why* the proposed method performs differently (e.g., are the learned representations fundamentally different?) would be beneficial.  Furthermore, the benefits of the Laplacian regularization are not always overwhelmingly clear from the visualizations; a quantitative evaluation of smoothness or compactness would strengthen the claims. The authors acknowledge that spatial regularization might be less crucial with abundant data, but don’t fully explore this trade-off, and the learning curves are somewhat limited in scope.  The related work section is comprehensive but feels like a list rather than a critical synthesis; deeper engagement with recent advances in sparse representation learning for neuroimaging would be valuable.

**Arguments for acceptance:**

*   Addresses a relevant and challenging problem in neuroimaging.
*   Presents a technically sound and scalable method.
*   Demonstrates promising empirical results on a large-scale dataset.
*   Provides a thorough discussion of practical considerations.

**Arguments against acceptance:**

*   Comparison to strong baselines (like CanICA) could be more insightful.
*   Quantitative evaluation of structural properties (smoothness, compactness) is lacking.
*   The benefit of spatial regularization in data-rich regimes is not fully explored.
*   Related work section could be more critical and synthetic.



**Overall, I would rate this paper as a weak accept.** The work is solid and addresses a relevant problem, but the empirical results and analysis, while positive, are not sufficiently compelling to warrant a strong recommendation. Addressing the points above would substantially improve the paper's impact.
