This paper addresses the computational bottleneck of the Covariance Matrix Adaptation Evolution Strategy (CMA-ES), a widely used algorithm for derivative-free optimization. The standard CMA-ES has a time complexity dominated by the decomposition of the d x d covariance matrix, which scales poorly with the problem dimension d. The authors propose a variant, the "Cholesky-CMA-ES," which avoids explicit matrix decomposition by directly maintaining and updating the triangular Cholesky factor of the covariance matrix. This reduces the time complexity of the update to O(µd^2) and the memory complexity to O(d^2), both of which are asymptotically optimal for a full covariance matrix.

The main technical challenge lies in adapting the cumulative step-size adaptation (CSA) mechanism, which relies on the inverse of the matrix square root (C^{-1/2}). The authors propose replacing this term with the inverse of the triangular Cholesky factor (A^{-1}). They provide a theoretical justification (Lemma 1) that this approximation is sound. The argument is that as the *shape* of the covariance matrix converges, the error introduced by this substitution—which corresponds to a small, changing rotation—becomes negligible due to the exponential weighting in the CSA path. The paper validates this approach through experiments on several benchmark functions, showing that the Cholesky-CMA-ES achieves the same performance as the standard algorithm in terms of function evaluations but with a significant reduction in wall-clock time, especially in higher dimensions.

**Strengths:**

1.  **Significance and Practical Impact:** The paper tackles a well-known and critical limitation of the CMA-ES. By substantially reducing the computational overhead per iteration, this work makes the CMA-ES more practical for higher-dimensional problems, which are common in machine learning applications like direct policy search and hyperparameter optimization. The empirical results, showing a speed-up of over 20x for d=64, strongly demonstrate the practical value of this contribution.

2.  **Technical Soundness:** The proposed algorithm is technically solid. It builds upon previous work on Cholesky updates and provides a principled way to integrate this efficient update into the standard CMA-ES framework. The theoretical argument in Lemma 1, while based on an assumption, provides a compelling justification for why the approximation in the CSA mechanism does not harm the algorithm's performance. The method is numerically stable and achieves optimal storage complexity.

3.  **Clarity and Presentation:** The paper is well-written, clearly motivated, and easy to follow. The authors effectively explain the problem, their proposed solution, and the underlying justification. The inclusion of pseudocode (Algorithms 1 and 2) makes the implementation details clear, and the experimental evaluation is well-designed and convincing.

**Weaknesses:**

1.  **Originality:** While the contribution is practically significant, its novelty is somewhat limited. The idea of updating a Cholesky factor directly to speed up CMA-ES variants has been explored before (e.g., Suttorp et al., 2009; Krause and Igel, 2015). Specifically, Krause and Igel (2015) already demonstrated an efficient rank-one update for a triangular Cholesky factor. This paper's main contribution is the generalization of this idea to the standard CMA-ES, which involves a rank-µ update (implemented as a sequence of rank-one updates) and, more importantly, a principled modification of the CSA mechanism. While this is a non-trivial and necessary step for the standard algorithm, it can be viewed as an incremental improvement over existing work.

2.  **Theoretical Justification:** The core theoretical argument in Lemma 1 hinges on the assumption that the normalized covariance matrix converges (C̄t → C̄). While this is a reasonable assumption and often observed in practice, the convergence of Ct is not strictly guaranteed for the stochastic CMA-ES algorithm. The authors could strengthen the confidence in their argument by referencing existing theoretical work that analyzes the convergence of the expected covariance matrix in simplified CMA-ES models (e.g., Beyer, 2014). This would provide additional support for the assumption that the matrix shape stabilizes over time.

**Detailed Comments and Suggestions:**

*   The authors correctly mention that theoretical work by Beyer (2014) has shown the convergence of the expected covariance matrix in simplified algorithms. Citing this earlier in Section 3, when introducing the convergence assumption for Lemma 1, would strengthen the paper's theoretical foundation.
*   The paper has a few minor typographical errors:
    *   In Equation (1) and the corresponding footnote 1 on page 3, the step-size in the denominator should be σt for consistency with the notation used elsewhere.
    *   On page 3, line 94, the sentence begins "Combining rank-1 and rank-µ update gives the final update rule for Ct, which can by be motivated by...". The word "by" should be deleted.

In summary, this is a strong paper that presents a valuable and practical improvement to a cornerstone algorithm in derivative-free optimization. The proposed Cholesky-CMA-ES is faster, more memory-efficient, and achieves the same optimization performance as the standard implementation. Despite the originality being somewhat incremental, the work is well-executed, clearly presented, and the resulting algorithm is a significant contribution that will likely be adopted by practitioners. The paper is a clear candidate for acceptance.
