This paper investigates the challenges of training very deep feedforward neural networks and proposes “highway networks,” inspired by LSTM architectures, to mitigate these difficulties. The core idea is to introduce adaptive gating mechanisms – transform and carry gates – allowing information to flow more easily across many layers. The authors demonstrate that these highway networks can be trained directly with SGD to depths exceeding 100 layers, outperforming plain networks of similar depth. The paper includes empirical results on MNIST, CIFAR-10, and CIFAR-100.

While the problem addressed – the difficulty of training deep networks – is certainly relevant and significant, and the experimental results are compelling, I find myself unconvinced by the novelty and overall contribution. The LSTM inspiration, while acknowledged, feels more like a borrowing of a successful architectural element rather than a truly novel theoretical insight. More importantly, the paper lacks a rigorous comparative analysis against well-established techniques for training deep networks that *don’t* rely on such architectural modifications. 

The authors mention several relevant approaches in the introduction – better optimizers, initialization strategies, skip connections, and FitNets – but the comparison to these methods is superficial. The comparison to FitNets (Section 3.3.1) is the most direct, but the authors only demonstrate comparable performance, not a clear improvement, and acknowledge that hyperparameter tuning could yield better FitNet results. A more thorough investigation comparing highway networks to networks employing modern initialization techniques (e.g., Xavier/He initialization with appropriate activation functions) alongside sophisticated optimizers (e.g., Adam, SGD with Nesterov momentum) is crucial. It's not enough to show that highway networks *can* be trained; they must demonstrate a tangible advantage over already-existing, well-tuned methods.

The analysis section (Section 4) provides some interesting insights into the behavior of the gating mechanisms, particularly the data-dependent routing and layer importance. However, this analysis feels somewhat exploratory and lacks the depth needed to truly understand *why* highway networks work.  The observation that many layers may remain unused, while potentially insightful, isn’t fully explored; is this a desirable property or an indication of redundancy?

The clarity of the paper is generally good, with a clear mathematical formulation of highway networks. However, the presentation of the experimental results could be improved. Tables are dense and lack sufficient context. The ablation studies (or lack thereof) are a significant weakness. For instance, the impact of different initial biases for the transform gates should be investigated more systematically. 

**Strengths:**

*   Addresses an important problem in deep learning.
*   Demonstrates the feasibility of training very deep networks with the proposed architecture.
*   Clear mathematical formulation of highway networks.
*   Interesting initial analysis of the gating mechanisms.

**Weaknesses:**

*   Limited novelty – heavily relies on LSTM inspiration without substantial theoretical advancement.
*   Insufficient comparative analysis against strong baselines (optimized standard networks).
*   Superficial comparison to FitNets.
*   Analysis section feels exploratory and lacks depth.
*   Limited ablation studies to understand the sensitivity of the approach.
*   The paper's claims of "ease of training" are not fully substantiated without comparison to other optimized training methodologies.



**Arguments for acceptance:**

*   Demonstrates a working solution to a long-standing problem in deep learning.
*   The results on CIFAR-10/100 are encouraging, particularly if hyperparameter tuning were more extensive.

**Arguments against acceptance:**

*   Lacks a rigorous comparison to state-of-the-art training techniques for deep networks.
*   The novelty is questionable, as the approach largely adapts LSTM concepts.
*   The analysis is not sufficiently deep to understand the underlying mechanisms.
*   The “ease of training” claim is not sufficiently supported.

**Overall Assessment:**

I lean towards rejection. While the paper presents a potentially useful architectural modification, it fails to convincingly demonstrate a significant advantage over existing, well-established methods. The lack of a thorough comparative analysis and the limited depth of the analysis section raise serious concerns about the overall contribution of this work. The authors need to provide a much more compelling case for why highway networks are superior to, or even competitive with, alternatives before this paper would be suitable for NIPS.  Further experiments comparing performance and training time against carefully optimized standard networks are essential.
