This paper proposes LSDA, an algorithm for large-scale object detection that leverages the abundance of image-level labels alongside a smaller set of bounding box annotations. The core idea is to learn a transformation from classifiers (trained on image-level data) to detectors (requiring bounding box data) and apply this transformation to categories lacking bounding box labels. The approach casts this as a domain adaptation problem. The paper demonstrates promising results on the ImageNet detection challenge, achieving a significant mAP improvement on held-out categories and showcasing a large-scale 7.6K detector.

The paper is well-motivated, addressing a critical bottleneck in scaling object detection – the scarcity of labeled bounding box data. The proposed approach is conceptually sound and builds upon recent advances in deep learning and domain adaptation. The connection to R-CNN [1] is appropriately highlighted, and the paper clearly articulates how LSDA extends existing methods. The experimental setup is rigorous, with ablation studies demonstrating the effectiveness of each component.  The inclusion of a fast detector variant (running at 2fps) adds practical value. Related work is reasonably covered, referencing key papers in deep learning, domain adaptation, and multiple instance learning. 

However, the paper has some weaknesses. While related work is mentioned, the discussion feels somewhat superficial. For example, the link to semi-supervised learning and transductive methods (beyond the brief mention of MIL) could be stronger. Specifically, the paper could benefit from contrasting its approach with other recent works in transfer learning for object detection, such as those utilizing generative adversarial networks or self-training methods.  The explanation of the nearest neighbor approach for adapting category-specific parameters (Eq. 1) feels a bit rushed and could benefit from a more detailed justification. Why is Euclidean distance in the fc8 layer a suitable metric for determining category similarity for transfer? Further exploration of alternative similarity measures or methods for selecting nearest neighbors could strengthen the claim.

The ablation study is generally well-presented, but the impact of individual components feels somewhat disconnected from the broader narrative. For example, the statement that adapting the feature representation is the most important step could be further substantiated with a more granular analysis of *why* this is the case.  The error analysis is useful, particularly the breakdown of false positives, but lacks quantitative data. Presenting numbers alongside the qualitative examples would provide a more compelling argument. The visualization in Figure 5 is helpful, but showing example misclassifications alongside the correct predictions might enhance understanding. 

Clarity is generally good, though some sections (e.g., Section 3.2) could be streamlined for better readability.  The paper adequately informs the reader, and the code release is a significant strength, enabling reproducibility. However, a clearer explanation of how the 7.6K detector was trained, specifically the process of combining models trained on labeled and unlabeled data, would be valuable.

**Strengths:**

*   Addresses a crucial problem in scaling object detection.
*   Conceptually sound and well-motivated approach.
*   Strong experimental results on ImageNet.
*   Code release promotes reproducibility.
*   Demonstration of a large-scale detector (7.6K categories).

**Weaknesses:**

*   Related work discussion is somewhat superficial.
*   Justification for the nearest neighbor approach (Eq. 1) could be stronger.
*   Ablation study results lack deeper analysis.
*   Error analysis would benefit from quantitative data.
*   Training details for the 7.6K detector could be more explicit.



**Arguments for Acceptance:**

*   The paper presents a novel and effective approach to a significant problem in computer vision.
*   The experimental results are compelling and demonstrate a clear improvement over existing methods.
*   The code release makes the work reproducible and facilitates future research.

**Arguments against Acceptance:**

*   The paper lacks a sufficiently thorough discussion of related work.
*   Some technical details could be further clarified and justified.
*   The analysis of the experimental results could be more in-depth.

**Overall Assessment:**

I believe this paper is a strong contribution and should be accepted. While there are areas for improvement, the core idea is novel, the experimental results are convincing, and the code release is a significant asset. The weaknesses are largely addressable with minor revisions. The potential impact of this work is substantial, as it could enable the development of detectors for a vast number of categories previously inaccessible due to the lack of labeled bounding box data.



