This paper addresses the problem of blind source separation, specifically in the context of energy disaggregation, by introducing signal aggregate constraints (SACs) into an additive factorial hidden Markov model (AFHMM). The core idea – leveraging prior knowledge about expected total energy consumption of appliances – is intuitively appealing and addresses a known weakness of BSS methods, namely identifiability. The authors formulate the problem as a convex quadratic program, allowing for efficient computation. They demonstrate improvements over existing AFHMM and state-of-the-art disaggregation approaches on a real-world dataset.

While the idea is sensible, and the technical implementation appears sound, I find the paper lacking in substantial novelty and rigorous validation. The presented method feels like a natural extension of existing work on constrained AFHMMs, rather than a fundamentally new approach. The leap from introducing SACs to a convex quadratic program, while mathematically correct, doesn't represent a significant algorithmic breakthrough. Moreover, the improvements shown, while statistically significant, are not overwhelmingly large. A 45% decrease in normalized disaggregation error compared to the original AFHMM, and 29% compared to a specific prior work [12], doesn't definitively establish SACs as a paradigm shift in energy disaggregation. 

A key concern is the limited exploration of alternative constraint formulations. The authors briefly mention the possibility of more complex, time-varying constraints (Section 4.2), but dismiss it for presentational simplicity. Exploring such extensions, and their impact on performance and computational cost, would have significantly strengthened the work. Similarly, the choice of λ (the complexity parameter) appears somewhat arbitrary. While cross-validation is mentioned as a potential tuning mechanism, results demonstrating the sensitivity of performance to λ are absent.

The connection to posterior regularization (Section 6) feels tacked on rather than integral. While mathematically correct, it doesn’t add substantial insight or justify the proposed method beyond its intuitive appeal. The paper relies heavily on the HES dataset, which, while valuable, has been extensively used. Comparison with other publicly available datasets, or even synthetic datasets with controlled characteristics, would help assess the generalizability of the proposed method.

Furthermore, the paper would benefit from a more thorough discussion of the limitations. What types of appliances/scenarios are likely to benefit most from SACs? When might these constraints be misleading or detrimental? A more nuanced analysis of these factors would enhance the paper’s credibility. The reliance on pre-existing knowledge about appliance consumption (µi0) also deserves more careful consideration.  How sensitive is the method to inaccuracies in these estimates?

**Arguments for acceptance:**

*   The idea of incorporating signal aggregate constraints is intuitively sound and addresses a relevant problem in BSS.
*   The formulation as a convex quadratic program allows for efficient computation.
*   Empirical results demonstrate statistically significant improvements over existing methods.
*   The paper is clearly written and well-organized.

**Arguments against acceptance:**

*   The novelty of the approach is limited; it feels like a straightforward extension of existing work.
*   The improvements over baseline methods are not dramatic.
*   The paper lacks a thorough exploration of alternative constraint formulations and parameter settings.
*   The validation is limited to a single dataset, and the generalizability of the method is unclear.
*   The connection to posterior regularization feels superficial.



**Overall Assessment:**

I rate this paper as a **weak accept**. While the technical aspects are sound and the empirical results are positive, the lack of substantial novelty and thorough validation prevent me from strongly recommending it for acceptance. I believe the paper would benefit from further experimentation, more in-depth analysis, and a more critical discussion of its limitations. I suggest the authors address these points before a final decision is made.
