This paper proposes Supervised Word Mover’s Distance (S-WMD), a method for learning a metric to improve the Word Mover’s Distance by learning a linear transformation of word representations and re-weighted word frequencies. The core idea is to minimize the leave-one-out classification error under the WMD metric, leveraging a smoothed version of the optimal transport problem (Sinkhorn distance) for computational efficiency. The authors demonstrate state-of-the-art results on 8 datasets, comparing against 26 baselines.

While the paper addresses a relevant problem—improving document distance for retrieval tasks—and presents a technically sound approach, I remain unconvinced of its overall significance and originality given the extensive experimental setup required to demonstrate even moderate improvements. My primary concern stems from the complexity added to a previously elegant method (WMD), and the comparatively small gains achieved relative to the computational overhead.

The motivation for learning a supervised WMD is reasonable: unsupervised methods like WMD may not be optimal for task-specific classification. However, the proposed solution introduces several new components: a linear transformation of word embeddings and re-weighted word frequencies. While the authors attempt to address the computational complexity of learning this metric using the Sinkhorn distance, the approach still feels complex and relies heavily on approximations. The claimed efficiency gains are not convincingly demonstrated; Table 3 shows training times, but doesn’t compare them directly to training the baseline metric learning methods *with* PCA, which is what is suggested in the method descriptions. A more thorough comparison of computational costs is crucial.

The empirical evaluation is extensive, which is commendable, but also feels slightly defensive. The sheer number of baselines suggests an attempt to demonstrate superiority by attrition rather than through a focused comparison with the most relevant existing work. Furthermore, while the results are generally positive, the improvements are often marginal. The claim of “superiority” across all 26 methods is misleading; the authors highlight the best results in bold, but the practical differences between S-WMD and several of the baselines may be negligible. The visualizations (Figure 1) are helpful but don’t provide strong evidence of a qualitatively superior distance metric. The analysis of the learned word weights (Figure 2) is interesting but lacks depth. It would be more impactful to connect these weights to specific linguistic features or domain knowledge.

The related work section is adequate but could be more critical. The authors briefly mention existing metric learning approaches but don't fully address how S-WMD differs fundamentally from these methods beyond operating within the word embedding space. This is a significant distinction, but the paper doesn't adequately explain *why* this approach is advantageous.  The connection to ITML [10] and the work of Wang et al. [35] should be discussed more thoroughly.

**Arguments for acceptance:**

*   Technically sound approach leveraging recent advances in optimal transport (Sinkhorn distance).
*   Extensive empirical evaluation demonstrating competitive performance on a variety of datasets.
*   Clear and well-organized presentation.

**Arguments against acceptance:**

*   Limited practical improvement over existing methods, given the added complexity.
*   The extensive baseline comparison feels exhaustive rather than focused.
*   Lack of a clear theoretical justification for the proposed method beyond empirical results.
*   Computational complexity, while addressed, is not convincingly demonstrated to be significantly lower than other metric learning approaches.
*   Originality is incremental; the core idea builds on established techniques (WMD, Sinkhorn distance, metric learning) without a truly novel contribution.



Overall, this paper presents a solid technical contribution but falls short of being truly significant. The improvements achieved by S-WMD are incremental and don't fully justify the added complexity. I believe the paper would benefit from a more focused evaluation, a more rigorous analysis of computational costs, and a deeper theoretical justification for the proposed approach.

**Recommendation:** Weak Reject. While the paper is not fundamentally flawed, the limited impact and lack of compelling novelty do not warrant acceptance to NIPS at this time. I encourage the authors to further refine their method, conduct a more targeted evaluation, and provide a stronger theoretical foundation for their work.
