## Review of "Parallel Direction Method of Multipliers"

This paper introduces the Parallel Direction Method of Multipliers (PDMM) for solving block-separable convex optimization problems with linear constraints, a common formulation in machine learning applications like robust PCA and overlapping group lasso. The authors address the challenges of generalizing the well-studied Alternating Direction Method of Multipliers (ADMM) to multi-block scenarios, where convergence isn’t guaranteed with naive approaches. PDMM employs a parallel randomized block coordinate descent strategy, coupled with a backward step on the dual update to promote stability.

The paper clearly articulates the problem and its relevance, building upon the limitations of existing multi-block ADMM variants (GSADMM, Jacobian variants). The core contribution lies in the proposed PDMM algorithm, which offers a potentially more robust and efficient approach through randomized block updates and a thoughtful treatment of the dual update.  The authors convincingly position PDMM as a generalization of existing methods like sADMM and PJADMM, offering a unifying perspective. Theoretical results establishing global convergence and iteration complexity (O(1/T)) are presented, which are a significant strength. 

The experimental evaluation on RPCA and overlapping group lasso demonstrates competitive performance against state-of-the-art methods, including ADMM, sADMM, and RBSUMM. The ablation study exploring the effect of the number of randomized blocks (K) is insightful, showing a non-monotonic relationship between K and runtime, highlighting the importance of parameter tuning.

However, the paper could benefit from a more in-depth discussion of practical considerations. While theoretical convergence is established, the sensitivity of performance to the choice of step sizes (τi, νi) isn't fully explored.  The experiments, while demonstrating good performance, could be expanded to include datasets of varying scales and structures. Further, the comparison with more recent and sophisticated solvers for these specific applications (RPCA and overlapping group lasso) would strengthen the claims of superiority. The notation is somewhat dense and could be improved for readability.

**Arguments for acceptance:**

*   Novel and theoretically sound approach to multi-block ADMM.
*   Clear connection to existing methods (sADMM, PJADMM).
*   Established convergence guarantees and iteration complexity.
*   Demonstrated competitive performance on relevant applications.

**Arguments against acceptance:**

*   Limited discussion of practical sensitivity to parameter choices.
*   Scope of experimental evaluation could be broadened.
*   Notation could be more accessible.

**Overall:** This is a solid contribution with a well-motivated problem, a novel algorithm, and promising experimental results. Despite some minor weaknesses, the paper's strengths outweigh its shortcomings. I recommend acceptance with minor revisions addressing the suggestions above. The authors should clarify the practical implications of their theoretical results and provide a more thorough discussion of parameter tuning strategies.
