## Review of LSDA: Large Scale Detection through Adaptation

This paper proposes LSDA, a method for scaling object detection to a large number of categories by leveraging readily available image-level labels alongside a smaller set of bounding box annotations. The core idea is to learn a transformation that adapts classifiers (trained on image-level data) into detectors, transferring knowledge from categories *with* bounding boxes to those *without*. This is a significant problem, as obtaining bounding box annotations is expensive and limits the scalability of detection systems. The approach builds on recent work using CNNs for both classification and detection (e.g., R-CNN [1]) but crucially addresses the scenario where bounding box data is scarce. It frames the problem as domain adaptation, learning to bridge the gap between classification and detection tasks. 

The paper is well-structured and clearly explains the motivation, method, and experimental setup. The authors convincingly demonstrate the effectiveness of LSDA on the ImageNet LSVRC-2013 detection challenge, showing a substantial improvement over a baseline that simply uses pre-trained classification weights. The ablation studies in Section 4 effectively highlight the contribution of each component of the LSDA algorithm.  The authors also thoughtfully analyze the types of errors the system makes and demonstrate the ability to scale the detector to over 7,000 categories, with a fast detection option presented. The code and models being publicly available is a strong positive.

However, the paper's originality, while substantial, could be more clearly positioned within the broader context of weakly-supervised detection. Related work discusses Multiple Instance Learning (MIL) approaches [6, 7], but the connection to other relevant techniques like contrastive learning or self-supervised learning for domain adaptation feels somewhat limited. The experimental setup relies heavily on ImageNet, and demonstrating performance on other datasets or real-world scenarios would strengthen the results. The discussion of the limitations of the approach, beyond the error analysis, is also relatively brief. Specifically, the paper doesn't delve deeply into potential failure cases or biases introduced by the reliance on potentially noisy image-level labels.

**Arguments for Acceptance:**

*   Addresses a critical bottleneck in scaling object detection: limited bounding box annotations.
*   Demonstrates significant performance improvement on a challenging benchmark (ImageNet).
*   Clear and well-written paper with thorough experimental evaluation and ablation studies.
*   Publicly available code and models facilitate reproducibility and further research.

**Arguments Against Acceptance:**

*   Limited discussion of related work in weakly-supervised and self-supervised learning.
*   Experimentation primarily focuses on ImageNet; generalization to other datasets is unclear.
*   Limited exploration of potential failure cases and biases in the approach.



**Overall:** This is a strong paper with a clear contribution to the field. The method is technically sound, well-evaluated, and addresses an important practical problem. Despite some minor weaknesses in positioning the work within the broader literature, the benefits significantly outweigh the drawbacks.  I recommend **acceptance**.
