This paper presents a policy gradient approach for reinforcement learning with coherent risk objectives, aiming for generality across the class of coherent risk measures. While the motivation – bridging risk sensitivity and coherence in RL – is sound, and the attempt to unify existing approaches is appreciated, I find the presentation and validation insufficient to warrant acceptance at NIPS. My primary concern stems from a lack of compelling evidence demonstrating a substantial advantage over existing, well-established methods.

The paper’s strength lies in its theoretical framework, specifically the derivation of gradient formulas for both static and dynamic coherent risk. The connection to robust MDPs and the leveraging of existing convex optimization techniques are positive aspects. However, the theoretical contributions feel incremental. The core idea of applying the envelope theorem and utilizing Lagrangian duality is well-established, and the extensions to coherent risk, while mathematically correct, don’t fundamentally alter the landscape of risk-sensitive RL. The claim of unifying previous approaches feels overstated; many existing methods can be seen as special cases, but the presented framework doesn't offer a significantly simpler or more elegant way to *derive* those methods.

My major criticism centers on the empirical validation. A single numerical example (trading with Pareto-distributed returns) is inadequate. This example, while illustrating a difference in policy selection compared to mean-variance optimization, doesn’t convincingly demonstrate the benefits of the general coherent risk framework. The superiority of one risk measure over another is highly problem-dependent, as the authors acknowledge, and a single scenario doesn't justify the generality of the proposed approach. The paper lacks comparisons against strong baselines – standard policy gradient methods with well-tuned risk-sensitive reward shaping (e.g., using penalty terms based on variance or CVaR) would be essential.  Furthermore, the algorithm's scalability is not adequately addressed. The reliance on solving convex programs at each iteration is computationally expensive, and the authors only briefly mention function approximation as a potential remedy without detailed analysis or empirical results. 

The writing quality is acceptable, but could be improved. The paper is dense and relies heavily on mathematical notation, which might hinder accessibility for readers less familiar with coherent risk theory. More intuitive explanations and a clearer connection between the theoretical derivations and practical implications would be beneficial. 

**Arguments for acceptance:**

*   Theoretically sound and mathematically rigorous.
*   Attempts to provide a general framework for risk-sensitive RL.
*   Connects coherent risk measures to robust MDPs.

**Arguments against acceptance:**

*   Limited empirical validation with only one illustrative example.
*   Lack of comparisons to strong baselines and existing risk-sensitive RL methods.
*   Scalability concerns due to convex optimization requirements.
*   Theoretical contributions are incremental and lack significant novelty.
*   The generalization claim is not convincingly supported.

**Overall:**

I believe this paper, in its current form, falls short of the NIPS acceptance criteria. While the theoretical work is solid, the lack of comprehensive experimental validation and the limited novelty of the proposed approach prevent me from recommending acceptance.  The paper needs significantly more empirical support, comparisons to established methods, and a more compelling demonstration of its practical benefits before it can be considered a significant contribution to the field. I recommend rejection.
