This paper introduces the Expectation Loss SVM (e-SVM), a learning algorithm designed for weakly supervised data, particularly in computer vision tasks like semantic segmentation and object detection. The core idea is to treat segment proposals as having a 'positiveness' score indicating their likelihood of containing the target object, and to model this positiveness as a latent variable when ground truth is only weakly available (e.g., bounding boxes instead of pixel-level annotations). The authors compare e-SVM to standard SVC and SVR methods, and demonstrate improved performance on both simulated segment proposal confidence prediction and real-world computer vision tasks.

The paper is well-motivated, addressing a relevant problem in computer vision – leveraging weakly supervised data to reduce annotation costs. The proposed e-SVM builds logically upon existing SVM formulations by incorporating the concept of ‘expectation’ over potential labels, representing the uncertainty inherent in weakly supervised scenarios. The extensions to handle latent variables are clearly described. The experiments are thorough, comparing against relevant baselines (SVC and SVR) and demonstrating improvements on semantic segmentation and object detection benchmarks (PASCAL VOC). The introduction of TAPC and NDCG as evaluation metrics for segment proposal confidence prediction is a positive contribution.

However, the paper suffers from some weaknesses. While the novelty of the approach is present, it’s incremental. The idea of weighting samples in SVMs based on confidence or “positiveness” is not entirely new (see weighted SVMs referenced in the paper), and the presented contribution focuses on adapting this concept specifically to segment proposal evaluations and its application to weakly supervised scenarios. The paper would benefit from a more detailed discussion of the connections and differences between e-SVM and existing weighted SVM approaches. While references to weighted SVMs are provided, the specific nuances of *how* e-SVM differs are not elaborated enough. 

The experimental section, while comprehensive, lacks detailed ablation studies. It would be valuable to analyze the impact of different regularization parameters (lambdaR) in the latent e-SVM model, and a more in-depth examination of the effects of different feature types used for segment representation. The justification for choosing a cross-entropy based regularization for the latent variable 'u' feels somewhat arbitrary – a discussion of alternative regularization choices and their potential impact would strengthen the work. 

The writing, while generally clear, occasionally suffers from redundancy. For example, the explanation of IoU as a measure of ‘positiveness’ is repeated several times.  More concise phrasing and a tighter focus on the key contributions would improve readability.

**Arguments for acceptance:**

*   Addresses a relevant and challenging problem in computer vision.
*   Presents a technically sound algorithm (e-SVM) that extends existing SVM formulations.
*   Demonstrates empirical improvements over strong baselines on standard benchmarks.
*   Introduces new evaluation metrics for segment proposal confidence prediction.
*   The latent variable extension is a valuable contribution for weakly supervised learning.

**Arguments against acceptance:**

*   Incremental novelty – the core idea builds on existing weighted SVM concepts.
*   Limited ablation studies to analyze the impact of different design choices.
*   Discussion of the connection to existing weighted SVM methods is insufficient.
*   Some redundancy in the writing.




**Overall Assessment:**

The paper presents a solid contribution to the field of weakly supervised learning. While the novelty is incremental, the proposed algorithm is technically sound, well-motivated, and supported by strong experimental results. The clarity and organization are good overall. Given the relevance of the problem and the empirical validation, I recommend **acceptance** with minor revisions addressing the points raised above, particularly regarding the clarification of the connections to weighted SVMs and the inclusion of more detailed ablation studies.



