## Review of "Convergence of Monte Carlo Tree Search in Simultaneous Move Games"

This paper tackles the important problem of analyzing the convergence properties of Monte Carlo Tree Search (MCTS) in zero-sum extensive-form games with simultaneous moves, a setting where theoretical guarantees are lacking. The authors present a general MCTS template and prove that, under the condition of using a -Hannan consistent selection method and satisfying certain exploration requirements, the algorithm converges to an approximate Nash equilibrium. The results are empirically validated using Regret Matching and Exp3, along with several MCTS variants, on both randomly generated and worst-case games.

The paper is well-motivated, situating the work within the broader context of game theory and algorithmic game playing, referencing key prior work like Goofspiel solvers and general game-playing competitions (e.g., [3, 6]).  The connection to existing bandit algorithms and regret minimization is clearly articulated, drawing on works like [15, 16]. The authors correctly identify the gap in theoretical understanding regarding MCTS in simultaneous-move games, contrasting it with existing analyses of sequential games. The formal analysis, while dense, appears rigorous and logically sound, building on concepts of Hannan consistency and providing a clear inductive proof structure.  

A key strength is the generality of the proposed template, allowing instantiation with various selection methods. The empirical evaluation is well-designed, comparing different selection methods and demonstrating convergence in challenging scenarios. The inclusion of worst-case game tests is commendable. However, the experimental section could benefit from a more thorough comparison with existing state-of-the-art algorithms specifically designed for simultaneous-move games, beyond demonstrating convergence.  The analysis focuses heavily on empirical convergence rate, but a discussion of computational cost (e.g., iterations to reach a given approximation ratio) would be valuable. While the paper acknowledges limitations in extending the formal analysis to all MCTS variants, a more detailed discussion of potential challenges in doing so would strengthen the contribution.

**Arguments for Acceptance:**

*   Strong theoretical foundation and rigorous proof of convergence.
*   Addresses a significant gap in the literature regarding MCTS analysis in simultaneous-move games.
*   General MCTS template with applicability to various selection methods.
*   Solid empirical validation confirming the theoretical results.

**Arguments against Acceptance:**

*   Limited comparison to other specialized algorithms for simultaneous-move games.
*   Lack of discussion on computational complexity and practical scalability.
*   Further exploration of challenges in extending the theoretical analysis would be beneficial.



**Overall:** This paper represents a significant contribution to the theoretical understanding of MCTS in simultaneous-move games.  The rigor of the proof, combined with the empirical validation, makes a compelling case for the acceptance of this work despite the minor areas for improvement.  I recommend acceptance.
