This paper presents a Bayesian approach to learning in Gaussian Process State-Space Models (GP-SSMs) using Particle Markov Chain Monte Carlo (PMCMC), with a key contribution being marginalization of the state transition function. While the problem addressed – learning nonlinear SSMs – is undoubtedly important and falls within the scope of NIPS, and the authors demonstrate a strong grasp of existing literature in GP-SSMs and sequential Monte Carlo methods, I find the presentation and validation insufficient to warrant acceptance at this time.

The core idea of marginalizing out the state transition function *f* to preserve the nonparametric nature of the model is conceptually appealing. However, the extensive reliance on PMCMC, a notoriously difficult method to get right, raises immediate concerns. The authors claim “very good mixing” enabled by recent PMCMC samplers, but provide limited empirical evidence to support this assertion. Assessing convergence and mixing in PMCMC, especially in high-dimensional spaces as likely encountered here, requires careful diagnostic analysis (e.g., trace plots, autocorrelation plots, Gelman-Rubin statistics) which are absent from the paper. Without such analysis, the reported results could be significantly affected by sampling error.

The experimental validation, while showcasing a nontrivial application to a nonlinear system benchmark and a cart-pole system, lacks sufficient comparison to established baselines. While comparisons to parametric models and a sparse GP-SSM are included, they don’t sufficiently address the question of whether the added complexity of the full Bayesian PMCMC approach is justified. Specifically, a comparison to existing filtering/smoothing algorithms for GPs (e.g., those by Deisenroth et al. [5, 6], referenced in the paper) applied *after* parameter estimation via, say, maximum likelihood estimation, would be crucial. If the proposed method doesn’t consistently outperform such approaches, the benefit of full Bayesian inference becomes questionable given its computational cost and sampling challenges. The RMSE reported in Table 1 appears reasonable, but lacks context without comparisons against simpler, readily available methods. 

Furthermore, the paper contains significant notational density, making it challenging to follow the derivations. While mathematical rigor is appreciated, clarity suffers. The implementation details are presented towards the end, and while an attempt is made to discuss computational complexity, a more detailed breakdown of the actual runtime for the experiments would be highly valuable.  The discussion of the FIC prior and its computational advantages is promising, but the choice of 40 inducing points feels arbitrary and its impact on performance is not thoroughly investigated.

**Strengths:**

*   Addresses an important problem in nonlinear state-space modeling.
*   Conceptually appealing approach of marginalizing out the state transition function.
*   Leverages recent advances in PMCMC methods.
*   Demonstrates application to a benchmark problem and a reinforcement learning scenario.

**Weaknesses:**

*   Insufficient evidence of PMCMC convergence and mixing.
*   Limited comparison to established baselines and simpler alternatives.
*   Notational density and lack of clarity in some derivations.
*   Arbitrary choice of hyperparameters (e.g., number of inducing points) without thorough justification.
*   Limited discussion of computational cost beyond theoretical complexity analysis.



**Arguments for acceptance:**

*   The paper tackles a challenging problem with a novel approach.
*   The theoretical framework is well-defined and potentially impactful.

**Arguments against acceptance:**

*   The empirical validation is insufficient to demonstrate a clear advantage over existing methods.
*   The reliance on PMCMC without adequate convergence analysis is a major concern.
*   The lack of clarity and detailed implementation information hinders reproducibility.



**Overall Assessment:**

I rate this paper as **reject** at this time. While the ideas presented are interesting and potentially valuable, the lack of rigorous validation, insufficient comparison to baselines, and concerns regarding PMCMC convergence outweigh the strengths. I encourage the authors to address these issues through more comprehensive experiments, thorough convergence diagnostics, and improved clarity in presentation before resubmitting. A more convincing demonstration of the practical benefits of this approach is essential for acceptance at NIPS.
