This paper introduces a low-rank time-frequency synthesis (LRTFS) model for signal representation, addressing limitations of existing methods like traditional Non-negative Matrix Factorization (NMF) and the Gaussian Composite Model (GCM). The core idea is to model the raw signal directly as a sum of time-frequency atoms with low-rank structure on the synthesis coefficients, enabling multi-resolution representations. The paper presents maximum likelihood estimation approaches via Expectation-Maximization (EM) algorithms, including both joint and marginal likelihood estimation. Experimental results on music decomposition and speech enhancement demonstrate the effectiveness of the proposed method.

The paper is well-structured and clearly written. The introduction effectively motivates the work by outlining the shortcomings of existing techniques and positioning LRTFS as a solution. The mathematical derivations are generally easy to follow, and the connection to related work, particularly sparse Bayesian learning (SBL), is well-explained. The organization into sections focusing on model definition, estimation, multi-resolution extensions, and experiments is logical. The inclusion of supplementary materials with sound examples is a good practice.

A significant strength of the paper lies in its novelty. While NMF and GCM are established techniques, the direct synthesis approach with low-rank constraints on the synthesis coefficients is a novel contribution.  The extension to multi-resolution representations is also a valuable addition, offering flexibility in adapting to different signal characteristics. The derivation relating LRTFS to SBL helps contextualize the approach within a broader theoretical framework.

However, the paper has several weaknesses.  Firstly, the scalability of the marginal likelihood estimation (MMLE) approach is acknowledged as a limitation. The paper states it does not scale to the dimensions involved in audio signal processing, which reduces the practical impact of presenting it. While presenting the methodology is valuable, the lack of scalable implementation is a substantial drawback. Secondly, the experimental evaluation is somewhat limited. While the results on music decomposition and speech enhancement are promising, the comparisons are primarily against baseline methods and the performance gains are moderate (e.g., 6.6 dB SNR improvement in speech enhancement). A more comprehensive evaluation against state-of-the-art techniques would strengthen the claims. Thirdly, the hyperparameter selection (specifically λ) is not fully addressed.  The authors mention gradually decreasing λ but lack a principled method for choosing its initial value or stopping criterion. This lack of clarity detracts from the reproducibility of the results.  The justification for choosing the particular Gabor window sizes for the tonal and transient layers in the music decomposition experiment is also weak. Finally, while the connection to SBL is highlighted, the crucial difference—the lack of sparsity-inducing variance parameters—is stated but not thoroughly discussed in terms of its impact on performance. A more in-depth analysis of this difference would be beneficial.

**Arguments for acceptance:**

*   Novel approach to time-frequency synthesis with a direct synthesis model.
*   Clear and well-structured presentation.
*   Potential for multi-resolution representation, expanding the capabilities of traditional NMF.
*   Demonstrated effectiveness on relevant audio applications.
*   Connection to established techniques like SBL provides theoretical grounding.

**Arguments against acceptance:**

*   Limited scalability of the MMLE approach.
*   Moderate performance gains compared to baseline methods.
*   Lack of a principled approach to hyperparameter selection.
*   Insufficient justification for specific experimental settings.
*   Limited discussion on the implications of lacking sparsity-inducing variances compared to SBL.



**Overall Assessment:**

The paper presents a novel and technically sound approach to time-frequency synthesis. While the scalability issue with MMLE and the limited experimental evaluation are drawbacks, the core idea and the potential for multi-resolution representations are significant contributions.  The paper is a good addition to the NIPS workshop, but further work is needed to address the scalability concerns and strengthen the experimental validation. A rating of **weak accept** is appropriate. It provides a solid theoretical foundation and opens interesting avenues for future research, but requires further refinement and validation to reach its full potential.
