This paper introduces Population Matching Discrepancy (PMD) as a sample-based estimator for the Wasserstein metric, aiming to address limitations of Maximum Mean Discrepancy (MMD) in deep learning applications like domain adaptation and generative modeling. PMD is defined as the cost of the minimum weight matching between samples from two distributions. The authors demonstrate its strong consistency and propose a stochastic gradient descent algorithm for parameter learning, highlighting advantages over MMD such as the absence of a bandwidth parameter, stronger gradients, and the ability to use normal mini-batch sizes.  Experimental results on domain adaptation and generative modeling show PMD outperforms MMD.

**Quality:** The paper is technically sound and presents a clear derivation of PMD and its theoretical properties, including its strong consistency. The connection to the Wasserstein metric is well-established. The proposed stochastic gradient descent algorithm appears reasonable, and the explanation of why PMD avoids gradient saturation issues is convincing.  The experiments, while not extensive, provide evidence supporting the claims of improved performance and convergence speed. However, a more in-depth theoretical analysis of the gradient properties, beyond the intuition provided, would strengthen the paper. The ablation studies could also be more detailed, for example, comparing different matching algorithms with various population sizes more systematically.  The paper does address potential weaknesses, like the computational cost of matching, and explores approximations.  It’s a complete piece of work for a conference submission, though more extensive experiments would be desirable.

**Clarity:** The paper is generally well-written and organized. The introduction clearly motivates the problem and positions PMD relative to existing methods like MMD. The definitions and mathematical notation are generally clear. Figure 1 is helpful in illustrating the parameter learning process. The explanation of the Hungarian algorithm and its approximation is concise and understandable. However, the connection between the theory in section 3.1 and the practical implications for gradient descent could be more explicitly elaborated.  The description of the experimental setup is reasonable, but providing more details about the hyperparameter tuning process would be beneficial.

**Originality:**  The proposed PMD metric itself is a novel adaptation of the Wasserstein distance estimation, framing it as a minimum-weight matching problem. While the underlying concepts (Wasserstein distance, minimum-weight matching) are known, applying this specific formulation to deep learning and rigorously analyzing its properties represents a new contribution. The identified advantages over MMD (bandwidth-free, stronger gradients, smaller mini-batch size) are also novel insights.  The related work section is adequate, citing relevant papers on MMD, Wasserstein distance, and domain adaptation. However, the discussion of related work on efficient Wasserstein distance estimation could be more thorough.

**Significance:**  The results suggest that PMD offers a promising alternative to MMD, particularly in scenarios where gradient stability and mini-batch size are critical concerns.  Outperforming MMD on domain adaptation and generative modeling tasks demonstrates practical relevance.  The simplicity of PMD, eliminating the need for bandwidth tuning, makes it potentially easier to implement and use. If the observed performance gains are consistent across a broader range of datasets and architectures, PMD could become a valuable tool for researchers and practitioners in deep learning. The theoretical guarantees and the insight into gradient behavior are also valuable contributions. The focus on a gradient-based approach directly relevant to deep learning sets this work apart from other Wasserstein distance estimators.



**Arguments for Acceptance:**

*   Novel formulation of Wasserstein distance estimation as a minimum-weight matching problem.
*   Strong theoretical guarantees regarding consistency.
*   Demonstrated empirical improvements over MMD in domain adaptation and generative modeling.
*   Addresses key limitations of MMD, such as bandwidth tuning and gradient issues.
*   Clear and well-organized presentation.

**Arguments against Acceptance:**

*   Experiments are limited in scope and could be expanded to more datasets and architectures.
*   The theoretical analysis of gradient properties could be more rigorous.
*   The related work section could be more comprehensive, particularly regarding other efficient Wasserstein distance estimators.
*   Ablation studies on matching algorithm and population size could be more systematic.



