This paper introduces the Deep Dynamic Poisson Factorization (DDPF) model, an extension of Poisson Factorization designed to capture temporal dependencies in count data. Unlike previous dynamic PF models, DDPF employs a structure inspired by recurrent neural networks (RNNs) to model long-term temporal patterns. The authors develop a variational inference algorithm to learn the model parameters, which incorporates a maximization step for the weights of the neural network component. The model's performance is evaluated on five real-world datasets.

The core idea of incorporating deep, recurrent-like structures into dynamic models for count data is promising. However, the current manuscript requires significant improvements in its formulation, experimental validation, and overall presentation to meet the standards of a top-tier conference like NIPS. My detailed comments are provided below.

**Major Comments:**

1.  **Model Formulation and Clarity:**
    *   The formulation for the hidden states h_t^{(n)} in Equation 4 deviates from a standard Recurrent Neural Network (RNN) architecture. Specifically, h_t^{(n)} appears to depend only on the top-layer memory vectors and not on its own previous state, h_{t-1}^{(n)}. This simplification warrants clarification. The authors should justify this design choice and discuss its implications compared to a conventional RNN structure.
    *   The model specification in Section 2 is incomplete. For instance, the paper does not specify how the Gamma distribution in Equation 4 is parameterized. Furthermore, the generative process for the topic proportions θ_t (referenced in Equation 3) is not explicitly defined. These details are crucial for understanding and reproducing the model.
    *   The characterization of "implicit distributions" (lines 110-118) appears to be inaccurate. The distributions for θ_tk (Eq. 9) and h (Eq. 10) are presented as explicit Gamma distributions with specified shape and rate parameters. Since the distribution of θ_tk is analytically tractable conditioned on h^(0), it is not implicit. The authors should revise this section to more accurately describe the properties of their variational distributions.
    *   The description of the neural network optimization (lines 133-155) is confusing. It is not clear what the "loss function" L(W, b) in Equation 15 represents. The relationship between this optimization step and the overall variational inference procedure needs to be clarified.

2.  **Experimental Evaluation:**
    *   The choice of Mean Squared Error (MSE) and Per-word Mean Squared Error (PMSE) as evaluation metrics is questionable for Poisson Factorization models, which are designed for count data. A more appropriate and standard metric for this model class is the predictive log-likelihood on held-out data. Including this metric is essential for a meaningful comparison with other probabilistic models.
    *   The number of latent factors (K=20, line 207) used in the experiments appears small for the complexity of the datasets. This choice may limit the model's capacity. The authors should justify this setting or, preferably, report results for a wider and larger range of K values (e.g., K=50, 100) to demonstrate the model's robustness.

**Minor Comments:**

*   The claim in lines 30-31 regarding the weak points of competing methods on "fanatical data and disaster data" is unclear. The authors should elaborate on what specific patterns of long-term dependence they are referring to and why existing methods fail to capture them. The term "fanatical data" requires definition.
*   The discussion accompanying Figure 3 (lines 224-232) is difficult to follow. The text does not clearly explain how the visual patterns in the figure support the claims being made about the model's ability to capture temporal dynamics.
*   To improve the readability of the main paper, the detailed variational update equations (Eqs. 11-14) could be moved to the supplementary material.
*   The caption for Figure 4 is illegible, likely due to a formatting or resolution issue.

**Writing and Presentation:**

The overall writing quality of the manuscript is below the expected standard for publication and requires substantial revision. There are numerous grammatical errors, typos, and awkward phrasings that impede clarity. The authors should avoid excessive use of the passive voice, particularly in the abstract. The entire manuscript would benefit from a thorough proofreading.

Specific examples include:
*   Line 15: "high-dimensional"
*   Line 22: "factorize"
*   Line 24: "property of the"
*   Lines 29, 34: "Dirichlet"
*   Line 34: "nested"
*   Line 49: Incomplete sentence.
*   General: Many missing articles (e.g., "Although the Dirichlet distribution is often used as a prior...").
*   Figure 1: "visual representation"; the term "transmission" may not be appropriate in this context.
