This paper addresses a crucial problem in neuromorphic computing: reconciling the efficiency of spiking neural networks with the training efficacy of backpropagation. The authors present a novel learning rule and network topology that allows for training with continuous values, which are then mapped to the low-precision, constrained connectivity of hardware like the TrueNorth chip. The core idea of “constrain-then-train” is compelling and well-motivated. The results are impressive, achieving state-of-the-art accuracy on MNIST while demonstrating substantial power efficiency on TrueNorth.

The paper is well-structured and generally clearly written. The motivation is clearly established, and the proposed approach is explained in a logical manner. The inclusion of hardware details and a thorough experimental evaluation, including a comparison to other approaches on TrueNorth, strengthens the contribution. The mathematical formulation of the training process, while dense, appears sound, and the approximation made for computational efficiency is justified. The detailed explanation of network initialization, aiming to maximize information transfer given hardware constraints, is a significant strength. The discussion section appropriately frames the work within the broader context of neuromorphic computing and suggests promising avenues for future research.

However, several weaknesses require attention. While the authors claim novelty in simultaneously achieving spiking neurons, low synaptic precision, and constrained connectivity with backpropagation, the references to prior work ([9-15]) suggest that subsets of these elements *have* been explored before. The paper would benefit from a more nuanced discussion acknowledging the incremental contribution, clearly delineating how this work goes beyond existing methods, rather than simply stating it's the “first time” these elements are combined. A more detailed comparison to existing approaches, specifically highlighting the tradeoffs of their method versus alternatives, would strengthen the claims of superiority.

The choice of a progressive mixing topology is presented as a solution for constrained connectivity. However, the rationale behind *this specific* topology is not fully convincing. A more comprehensive exploration of different connectivity patterns, potentially with an ablation study to demonstrate the contribution of the progressive mixing approach, would be valuable. The reliance on Gaussian approximations in the training network forward pass is also a potential concern. While justified, the impact of this approximation on the accuracy and convergence of training should be more thoroughly investigated, perhaps with a comparison to a more accurate, but computationally expensive, approach.

Furthermore, while the power efficiency results on TrueNorth are impressive, the energy measurements reported are somewhat ambiguous (active + fraction of leakage). A more detailed breakdown of power consumption components would be helpful for understanding the true energy savings. The limited scope of the experiments (MNIST) is also a limitation. While MNIST is a standard benchmark, the generalizability of the approach to more complex datasets should be discussed, and ideally demonstrated with preliminary results.  The explanation of the sampling method used for the 64-member ensemble is slightly unclear and could benefit from more detail.

**Arguments for acceptance:**

*   Novel combination of techniques enabling backpropagation for spiking neuromorphic hardware.
*   State-of-the-art accuracy on MNIST compared to other spiking networks.
*   Demonstrated significant power efficiency on TrueNorth, representing a substantial advancement in neuromorphic computing.
*   Thorough experimental evaluation and clear presentation of results.
*   Well-written and logically structured paper.

**Arguments against acceptance:**

*   Incremental novelty; existing work explores subsets of the proposed combination.
*   Limited justification for the chosen network topology.
*   Potential concerns regarding the accuracy of Gaussian approximations used in training.
*   Limited scope of experiments (MNIST only).
*   Ambiguity in power consumption measurements.



**Overall Assessment:**

Despite the weaknesses, this paper presents a significant contribution to the field of neuromorphic computing. The authors successfully bridge the gap between the algorithmic power of backpropagation and the energy efficiency of spiking neural networks. The empirical results are compelling, and the work has the potential to inspire further research in this area. While I recommend rejection in its current form, I believe that with substantial revisions addressing the points outlined above, this paper could be suitable for publication at NeurIPS. Specifically, a more nuanced discussion of novelty, justification of the chosen topology, analysis of the Gaussian approximation, and expanded experimental evaluation are crucial.
