This paper introduces a novel algorithm, STAR-T, for robust streaming submodular maximization. The authors address a challenging problem where elements arrive sequentially and a subset of the selected elements may be removed, requiring the algorithm to maintain a robust summary. The core idea is to partition the stream and use an exponentially decreasing thresholding rule to select elements, ensuring a constant-factor approximation guarantee after element removal.

The work builds upon existing research in submodular maximization, particularly streaming algorithms like SIEVE-STREAMING [8] and robust selection methods [9, 10, 11]. The authors effectively position their contribution within this landscape, highlighting the limitations of existing approaches and the novelty of their two-stage procedure. The connection to related work is well-established, referencing relevant papers throughout the introduction.

The strengths of this paper lie in its technical depth and the non-trivial analysis. The partitioning structure and exponentially decreasing thresholding rule demonstrate a thoughtful approach to achieving robustness in a streaming setting. The theoretical bounds, particularly Theorem 4.1, provide a solid foundation for understanding the algorithm’s performance.  The extension allowing for approximation of f(OPT(k, V\E)) without prior knowledge (Theorem 4.5) adds practical value. The experimental evaluation, while limited to two applications, provides empirical support for the theoretical results, demonstrating comparable or improved performance against SIEVE-STREAMING, even when the latter is given prior knowledge of the removed elements.  The ability to reuse the precomputed summary for multiple removal scenarios (Section 5.2) is a notable advantage.

However, the paper also has several weaknesses. The primary concern is the limited motivation and somewhat narrow scope of the problem. While the authors mention applications like data summarization and recommendation systems, the justification for focusing on *robustness against arbitrary removal* feels somewhat contrived. The scenario where a precise number of elements will be removed *after* selection is less common than situations where selection is made under uncertainty about the quality or availability of elements *during* the selection process.  The example applications (dominating set and movie recommendation) feel somewhat forced to fit the problem formulation.  A stronger case for the practical relevance of this specific robustness requirement would significantly strengthen the paper. 

The writing, while generally clear, could be improved.  The algorithm descriptions (Algorithms 1 & 2) could benefit from more intuitive explanations. For instance, the rationale behind the partition sizes and thresholding scheme isn't fully elucidated in the text – it relies heavily on the subsequent analysis.  Similarly, the connection between the parameter 'w' and the theoretical bounds could be made more explicit.

The originality of the work is good, particularly in the combination of streaming, partitioning, and decreasing thresholds for achieving robustness. However, it's incremental rather than groundbreaking. The algorithm builds on established techniques, and the novelty resides primarily in the specific integration of these ideas.

Regarding significance, the results are important *within the defined problem setting*.  However, the limited applicability of the setting raises concerns about the broader impact of the work. While the constant-factor approximation guarantee is a valuable theoretical result, its practical utility depends on the frequency with which the specific robustness requirement arises.

**Arguments for acceptance:**

*   Technically sound and well-analyzed.
*   Novel combination of techniques for a challenging problem.
*   Empirically validated with competitive results.
*   Clear connection to relevant prior work.

**Arguments against acceptance:**

*   Questionable relevance to NIPS – the problem formulation feels contrived and the applications are not fully convincing.
*   Limited motivation and scope.
*   Incremental originality.
*   Writing could be clearer and more intuitive.



**Overall Assessment:**

I rate this paper as **weak accept**. The technical quality is high, and the analysis is rigorous. However, the limited motivation, narrow scope, and questionable relevance to the broader NIPS audience weigh heavily against acceptance. If the authors could strengthen the justification for the problem formulation and demonstrate broader applicability, the paper would be significantly more compelling. As it stands, it’s a solid technical contribution but falls short of making a substantial impact. I encourage the authors to consider refining the problem statement or expanding the application scenarios to broaden the appeal of their work.
