This paper introduces a nonlinear spectral method for globally optimal training of generalized polynomial neural networks. The authors claim to achieve linear convergence to a global optimum under relatively weak assumptions (nonnegativity of data and weights) and demonstrate competitive performance on UCI datasets. This is a significant contribution, as globally optimal training of even simple neural networks is a challenging problem.

The paper is well-structured and clearly written. The motivation is well-explained, placing the work in the context of recent advances in neural network optimization, acknowledging limitations of existing approaches like those of Haeffele & Vidal [8] and Janzamin et al. [11]. The mathematical development is rigorous, and the authors provide a detailed proof strategy, albeit with some parts deferred to the supplementary material. The experimental setup is reasonable, and the comparison to standard methods like SVM and ReLU networks is valuable.

However, there are several weaknesses. First, the nonnegativity constraint on weights is a significant restriction, severely limiting the expressiveness of the networks. While the authors acknowledge this and show that complex decision boundaries *can* be modeled (Figure 1), the impact on practical applications is not fully explored. A more thorough comparison against unconstrained networks, potentially with regularization techniques to address stability, would be beneficial.

Second, the derived bounds on parameters (pu, pw, etc.) guaranteeing convergence (Equations 4 & 9) appear conservative. The authors themselves admit this, and a tighter analysis of these bounds would be valuable. The scalability of the method is also a concern.  The computational complexity of the spectral radius calculation and the overall algorithm, particularly for larger networks and datasets, is not discussed in detail. While the authors mention the experiments are limited to low-dimensional UCI datasets due to the increasing matrix size, this is a significant limitation.  The practical applicability of this method to more realistic, high-dimensional problems remains unclear.

Third, while the authors establish global optimality under their assumptions, the impact of the modified objective function (including the sum of outputs) is not sufficiently justified.  A more intuitive explanation of why this modification is necessary for the spectral method to work, beyond the connection to Perron-Frobenius theory, would strengthen the paper.

Fourth, the connection between the choice of α (the powers in the generalized polynomial) and the resulting expressiveness of the network is somewhat hand-wavy. The authors state that different α values are required to avoid trivial solutions, but a more detailed analysis or discussion of how to select appropriate α values for different datasets would be helpful.

Finally, the experimental section, while providing a proof of concept, is limited. The table showing test accuracy lacks statistical significance testing (e.g., p-values) to demonstrate whether the differences in performance are meaningful.  A more comprehensive evaluation on a wider range of datasets, and perhaps with larger network sizes (within the limitations of the method), would be desirable.

**Strengths:**

*   Novel approach to globally optimal training.
*   Rigorous mathematical analysis and proof of convergence.
*   Clear and well-organized presentation.
*   Demonstrated feasibility on UCI datasets.

**Weaknesses:**

*   Strong nonnegativity constraint on weights.
*   Conservative parameter bounds.
*   Scalability concerns.
*   Justification for the modified objective function is weak.
*   Limited experimental evaluation.



**Arguments for acceptance:**

*   The paper presents a novel and theoretically sound approach to a fundamental problem in deep learning – global optimization.
*   The proof of linear convergence is a significant achievement.
*   The initial experimental results demonstrate the feasibility of the method.

**Arguments against acceptance:**

*   The strong nonnegativity constraint significantly limits the applicability of the method.
*   The scalability concerns and lack of detailed complexity analysis raise doubts about its practical utility.
*   The parameter bounds appear conservative, potentially hindering performance.



**Overall Assessment:**

This paper presents a promising, albeit limited, contribution to the field of neural network optimization. The theoretical results are strong, but the practical limitations are significant.  I recommend **weak accept** with the expectation that the authors address the concerns raised above, particularly regarding scalability, parameter bounds, and the impact of the nonnegativity constraint. A more thorough experimental evaluation, including statistical significance testing, is also crucial.
