This paper introduces a novel framework, on-the-job learning, for building AI systems without extensive pre-training data or upfront crowdsourcing costs. The core idea is to strategically query a crowd for labels only when the system is uncertain, iteratively improving its prediction model during the testing phase. This is formally modeled as a stochastic game using Bayesian decision theory, allowing for principled trade-offs between accuracy, cost, and latency. The authors address the intractability of finding an optimal policy with a Monte Carlo tree search-based approximation. They demonstrate the effectiveness of their approach, dubbed LENSE, on three tasks—NER, sentiment classification, and image classification—showing significant cost reductions and accuracy improvements compared to existing methods.

The paper is well-motivated, addressing a practical challenge in deploying AI systems in resource-constrained scenarios. The connection to existing work is thoroughly discussed, acknowledging related areas like online learning, active learning, and crowdsourcing, while clearly differentiating their approach. The formulation of on-the-job learning as a stochastic game is a strong point, enabling a rigorous framework for optimization. The experimental results are compelling, demonstrating substantial gains in cost-effectiveness and performance across diverse tasks. The provision of an open-source implementation (LENSE) is highly valuable for reproducibility and further research.

However, the paper also has some weaknesses. While the MCTS approximation is a reasonable approach to tackle the intractability, the details of the progressive widening strategy and the UCT implementation within Algorithm 1 could benefit from greater clarity and explanation. The choice of hyperparameters (e.g., the exploration constant ‘c’ in UCT) and their impact on performance are not thoroughly discussed. The experiments, while showcasing strong results, are somewhat limited in scope. The comparison to other active learning baselines beyond the threshold method could strengthen the analysis. Specifically, comparing against more recent and sophisticated active learning algorithms would be beneficial. The statement that worker quality was controlled by freezing a pool of worker responses is a strong choice, but the method of collecting this initial pool and ensuring its representativeness should be explained in greater detail. Furthermore, while the authors mention worker accuracy (70% for NER), it’s unclear if this accuracy varies significantly across the other tasks, and how this impacts the overall performance. The discussion of the utility function's weighting factors (wM and wT) is brief; exploring the sensitivity of the results to different weighting schemes would be valuable.  Finally, the authors mention a dominant class in NER that allows the model to learn quickly; this suggests the method might be less effective in scenarios with more balanced class distributions.

**Arguments for acceptance:**

*   Novel and well-motivated approach to on-the-job learning.
*   Strong theoretical foundation based on Bayesian decision theory and stochastic games.
*   Compelling experimental results demonstrating significant cost reductions and accuracy improvements.
*   Open-source implementation for reproducibility and further research.
*   Thorough connection to related work.

**Arguments against acceptance:**

*   Limited discussion of hyperparameter tuning and sensitivity analysis.
*   Scope of experiments could be expanded with more sophisticated baselines.
*   Details of the MCTS approximation and progressive widening strategy could be clarified.
*   Potential limitations in scenarios with imbalanced class distributions are not fully addressed.
*   Further detail on the worker pool collection is needed.



**Overall Assessment:**

The paper presents a significant contribution to the field of active learning and crowdsourcing. While there are some areas for improvement, the novelty, theoretical soundness, and compelling experimental results make it a strong candidate for acceptance. The clarity of the writing could be improved, but the core ideas are well-conveyed.  I recommend acceptance with minor revisions addressing the points mentioned above, particularly clarifying the algorithmic details and providing a more comprehensive experimental analysis.



