This paper tackles the challenging problem of learning Mixture of Hidden Markov Models (MHMMs) using a Method of Moments (MoM) approach. The core idea – leveraging the block-diagonal structure of the MHMM transition matrix – is clever and, if successful, would represent a significant step forward, bypassing the computational bottlenecks of traditional EM-based learning, particularly for large datasets. The connection to spectral learning for HMMs and the attempt to address the permutation ambiguity are commendable.

The paper is reasonably well-written and the mathematical derivations, while dense, appear correct. The authors clearly articulate the problem and their proposed solution. The experiments, while not extensive, provide some initial evidence of the method's efficacy, especially highlighting its speed advantage.

However, the paper feels somewhat incomplete and relies heavily on conjectures. The central claim – recovering individual HMM parameters after the initial MoM estimation – hinges on Lemma 2 and the subsequent spectral properties discussion. While the intuition is appealing, the conditions for successful de-permutation (Conjecture 1 and Definition 3) are presented as conjectures without rigorous proof. The dependence on noise levels and the spectral gap being large enough feels brittle.  The experiment demonstrating this relies on a simplified Gaussian observation model, and the real-data experiment showcases the method as an *initializer* for EM rather than a standalone solution, diminishing the impact of the proposed approach.  The connection to [1] for the sample complexity result is asserted but lacks detailed justification regarding the applicability to the MHMM scenario. The experimental results, while showing a speedup, don't unequivocally demonstrate superior clustering accuracy over EM, particularly with more data.

**Strengths:**

*   **Novelty:** The application of MoM to MHMMs is a novel idea with the potential to overcome significant computational challenges.  The realization of the MHMM as a special case of an HMM with a block diagonal transition matrix is a nice observation.
*   **Potential Significance:**  A scalable learning algorithm for MHMMs would be valuable in various applications.
*   **Clear Problem Statement:** The authors clearly identify the limitations of existing EM-based approaches.
*   **Interesting Spectral Approach:** The attempt to leverage spectral properties for de-permutation is creative.

**Weaknesses:**

*   **Lack of Rigorous Proofs:** Critical claims regarding de-permutation and the impact of noise are presented as conjectures.
*   **Brittle Conditions:** The success of the algorithm appears highly sensitive to the spectral gap and noise levels.
*   **Limited Experimental Validation:** The experiments are somewhat limited in scope and do not convincingly demonstrate superior performance to EM. Real-data experiment showcases the approach as an initializer instead of a standalone method.
*   **Incomplete Justification:** The connection to existing results (e.g., [1]) requires more detailed explanation.
*   **Dependence on Feature Engineering**: Real data experiment required a feature transformation to make the problem amenable to the proposed method, limiting its applicability.



**Arguments for Acceptance:**

*   The paper introduces a genuinely novel approach to learning MHMMs.
*   The potential computational benefits are significant.
*   The paper opens up a new research direction.
*   Even if incomplete, the ideas presented are thought-provoking.

**Arguments against Acceptance:**

*   The lack of rigorous proofs and the reliance on conjectures weaken the technical soundness.
*   The experimental validation is not compelling enough.
*   The conditions for success appear restrictive.
*   The algorithm is currently more of a proof-of-concept than a practical solution.



**Overall Assessment:**

I lean towards **accepting** this paper despite its limitations. The novelty and potential impact of the work are significant. The reliance on conjectures is a concern, but the authors have identified a promising direction for future research.  I believe the program committee will find the ideas presented to be valuable, and the paper could stimulate further investigation in this area. I would encourage the authors to address the weaknesses identified in the review – particularly by attempting to prove or disprove their conjectures – in a future iteration of this work.  Minor revisions addressing clarity and justification would be beneficial.
