This paper proposes a high-order attention mechanism for visual question answering (VQA) aiming to capture correlations between multiple modalities (image, question, and answer). The core idea is to move beyond pairwise attention by introducing potentials of higher order and utilizing mean-field inference for probabilistic reasoning. While the concept of leveraging higher-order correlations is potentially valuable, the paper suffers from a multitude of implementation details, presentation issues, and a lack of thoroughness that, despite the novelty of the idea, lead me to recommend rejection.

The introduction establishes the motivation well, but quickly becomes somewhat verbose. The claim of addressing issues with “ad-hoc and entangled” representations feels unsubstantiated without concrete examples. The authors highlight the applicability of their method to multiple modalities, a key strength, but the subsequent sections do not consistently deliver on this promise, often reverting to the VQA setting specifically. 

The related work section is extensive, but disorganized. It lists a large number of papers without a clear narrative arc or critical analysis of how the proposed work differs fundamentally. Simply stating that “all these approaches model attention as a single network” feels dismissive of the nuanced contributions within those papers. The comparison to Kim et al. [14], Nam et al. [19], and Kim et al. [13] is superficial; the authors claim ease of extension to multiple modalities but do not adequately address the computational complexity introduced by higher-order potentials, a concern directly tackled by those cited works with techniques like bilinear pooling. 

Section 3, detailing the higher-order attention models, is where the paper begins to unravel. The notation is inconsistent (e.g., using both *i<sub>q</sub>* and *iv* to index different dimensions). The descriptions of unary, pairwise, and ternary potentials are convoluted and lack clarity. The justification for using tanh activations and 1x1 convolutions is weak. While these choices aren't inherently wrong, the authors fail to provide any rationale or experimentation demonstrating their suitability. The equations (1) are poorly presented and difficult to parse. The parameters α<sub>i</sub>, β<sub>i</sub>, and γ<sub>i</sub> are described as “learnable,” but there’s no discussion of initialization strategies or regularization. 

The description of the tensor sketch algorithm in Section 3.3 is equally problematic. The explanation of MCB and MCT is brief and assumes a level of familiarity with Pham & Pagh [21] that is unrealistic for many NIPS reviewers. The justification for choosing specific hyperparameters (e.g., the MCB feature dimension of 8192) is missing.

Section 4, dedicated to VQA, suffers from similar deficiencies. The data embedding section provides insufficient detail. The choice of VGG-19 or ResNet is mentioned, but the specific pre-training dataset and parameters are not specified. The description of the LSTM layer is similarly vague. The statement that "questions with more than *nq* words are cut" is a blunt and potentially detrimental preprocessing step without discussion of its impact on performance.  The quantitative results (Tab. 1) are presented without sufficient context. The comparison to baselines is limited, and the authors do not adequately address the computational cost of their approach compared to existing methods. The qualitative evaluation (Figs. 5-8) is unconvincing. The attention maps appear noisy and lack clear interpretability. The failure case in Fig. 8 is a glaring example of the model's limitations.

**Specific Issues & Minor Flaws (Numerous):**

*   Typographical errors throughout (e.g., "st Conference" in the introduction).
*   Inconsistent use of mathematical notation.
*   Lack of detail in experimental setup (e.g., optimizer settings, regularization).
*   Insufficient justification for design choices.
*   Vague descriptions of data preprocessing steps.
*   Missing ablation studies to assess the contribution of different components.
*   Poorly formatted figures and captions.
*   Reference formatting inconsistencies.
*   The claim of state-of-the-art performance is weak given the limited comparison.

**Arguments for Acceptance:**

*   The concept of high-order attention is novel and potentially promising.
*   The authors attempt to address a challenging problem in VQA.

**Arguments Against Acceptance (Strong):**

*   The paper is riddled with implementation details and lacks rigor.
*   The presentation is unclear and disorganized.
*   The experimental evaluation is insufficient.
*   The authors fail to adequately address the computational complexity of their approach.
*   The qualitative results are unconvincing.
*   The paper reads as incomplete and prematurely submitted.



**Overall Assessment:**

Despite the potentially interesting idea of high-order attention, the numerous flaws in this paper outweigh its strengths. The lack of detail, clarity, and thoroughness makes it difficult to assess the true contribution of this work. I recommend rejection and encourage the authors to address the aforementioned issues before resubmitting to a future conference. This paper needs significant revision to reach the standard expected for NIPS publication.
