This paper develops a neural network approach based on a conditional maximum mean discrepancy (CMMD) criterion. The proposed technique is evaluated on standard benchmark tasks to assess its discriminative and generative capabilities. Overall, this is an interesting extension to the sub-area of deep learning research focused on building generative models. The paper is reasonably clear, although, as with many papers in this area, the mathematical details can be challenging to follow at times. The tasks used in the experiments are relatively small, but not unreasonable compared to other recent work. As the algorithm for training the model involves some computationally expensive steps, I would appreciate comments in the experimental section regarding training time compared to existing approaches like DSN. The paper would be significantly strengthened by the release of reference code, as a practitioner may have difficulty reproducing the exact models evaluated.

The paper introduces Conditional Generative Moment-Matching Networks (CGMMN) to learn flexible conditional distributions. Building upon previous work on Generative Moment Matching Networks (GMMN) [19, 3], which utilize Maximum Mean Discrepancy (MMD) [7] to avoid distributional assumptions, CGMMN extends this framework to conditional distributions using a Conditional MMD (CMMD) criterion. The core idea involves a deep neural network that takes both input variables and auxiliary random variables as input, generating samples from the target conditional distribution. The authors demonstrate competitive performance across a range of tasks – predictive modeling, contextual generation, and Bayesian dark knowledge distillation [15]. 

The strengths of this work lie in its principled approach to conditional generative modeling. The use of MMD and CMMD offers a theoretically sound alternative to more common methods like GANs [5], which can be difficult to train due to their min-max optimization. The extension of GMMN to the conditional setting is a natural and valuable contribution, unlocking its potential for applications beyond joint distribution estimation. The experimental evaluation on MNIST, SVHN, and a regression task demonstrates the practical viability of the approach and competitive performance with existing methods. The inclusion of Bayesian dark knowledge distillation provides a compelling application, showcasing the model’s ability to learn from complex teacher networks.

However, there are areas where the paper could be improved. While the authors acknowledge the potential need for smoothness assumptions for the CMMD objective to be well-defined, a more detailed discussion of these assumptions and their practical implications would be beneficial. The experimental section, while comprehensive, lacks detailed computational cost analysis. Reporting training times alongside performance metrics would provide a more complete picture of the method’s practicality.  The hyperparameter sensitivity of the model and the impact of different network architectures are not thoroughly investigated. Finally, the lack of publicly available code hinders reproducibility and further exploration of the proposed approach.

**Arguments for acceptance:**

*   Novel extension of GMMN to the conditional setting, broadening its applicability.
*   Principled approach based on MMD and CMMD, providing a theoretically sound alternative to GANs.
*   Competitive performance across multiple tasks, demonstrating practical viability.
*   Clear and well-organized presentation of the method and experiments.

**Arguments against acceptance:**

*   Limited discussion of the theoretical assumptions underlying the CMMD objective.
*   Lack of computational cost analysis and hyperparameter sensitivity study.
*   Absence of publicly available code, hindering reproducibility.
*   Experimental tasks are relatively small-scale compared to some recent work.



