This paper proposes Stochastic Multiple Choice Learning (sMCL), a novel method for training diverse deep ensembles by minimizing oracle loss. The core idea is to apply a “winner-take-gradient” approach during stochastic gradient descent, backpropagating loss only to the ensemble member with the lowest error for each example. The authors demonstrate the effectiveness of sMCL across image classification, semantic segmentation, and image captioning tasks, showing improvements over existing methods and providing qualitative evidence of interpretable specialization among ensemble members.

The paper builds on previous work in ensemble learning (e.g., [27, 21, 19, 26, 2, 12]) and multiple-choice learning ([8, 9]). It distinguishes itself from earlier MCL approaches by avoiding costly retraining steps through the use of a stochastic gradient descent based approach applicable to modern deep networks. The authors correctly position sMCL as offering a practical solution to training diverse ensembles, addressing a key shortcoming of existing methods. The problem framing – casting diverse prediction as crucial for real-world applications involving oracles or human-in-the-loop systems – is well-motivated and presented clearly.  Related work is adequately covered, citing relevant papers from NIPS and other venues.

**Strengths:**

*   **Novelty:** The sMCL approach is a clever and practical adaptation of multiple-choice learning to deep networks. The “winner-take-gradient” strategy is simple yet effective.
*   **Generality:** The method is architecture-agnostic and applies to various loss functions, making it broadly applicable.
*   **Empirical Results:** The experiments demonstrate significant improvements over baselines on diverse tasks and architectures, showcasing the effectiveness of sMCL. The gains observed on semantic segmentation and captioning are particularly compelling given the complexity of these tasks.
*   **Interpretability:** The analysis showing emergence of specialization among ensemble members adds insight and supports the claim that the learned ensembles are not merely averaging predictions but developing distinct expertise.
*   **Clarity:** The paper is generally well-written and clearly explains the motivation, methodology, and results. The algorithms are presented concisely and are easy to understand.
*   **Parameter-Free:** The lack of hyperparameters beyond those inherent in standard SGD makes the method easy to adopt.

**Weaknesses:**

*   **Limited Comparison to Modern Diversity Techniques:** While comparisons to classical ensembles and the original MCL are valuable, the paper could benefit from a more thorough comparison to more recent diversity-inducing techniques, such as those based on adversarial training or information-maximizing objectives. Specifically, methods that aim to decorrelate the features learned by different network components.
*   **Hyperparameter Sensitivity (Implicit):** While the authors claim parameter-free nature, the standard SGD hyperparameters (learning rate, momentum, weight decay) undoubtedly impact performance. A brief discussion of their sensitivity would be beneficial.
*   **Ties in Oracle Selection:** The paper mentions breaking ties arbitrarily during oracle selection. A more detailed discussion of the impact of tie-breaking strategies on the results would strengthen the analysis. Could a more sophisticated tie-breaking rule lead to better results or introduce bias?
*   **Scaling to Very Large Ensembles:** The experiments top out at M=6.  While larger ensembles might be computationally prohibitive, exploring the scalability of sMCL to larger M would be worthwhile, and could indicate if diminishing returns are observed.
*   **Detailed Ablation Studies:** While an interpretable expertise section is present, a more thorough ablation study detailing the contribution of each component of sMCL is missing.




**Arguments for Acceptance:**

*   The paper presents a novel and effective method for training diverse deep ensembles, addressing a practical challenge in many real-world applications.
*   The empirical results are strong and demonstrate significant improvements over existing methods.
*   The paper is well-written, clearly explains the methodology, and provides insightful analysis of the results.
*   The work has the potential to be influential in the field of ensemble learning and multiple-choice learning.

**Arguments Against Acceptance:**

*   The comparison to modern diversity-inducing techniques is limited.
*   The discussion of hyperparameter sensitivity and tie-breaking strategies is somewhat lacking.
*   The scalability of the method to very large ensembles is not explored.



**Overall Assessment:**

I believe this is a strong paper with significant contributions to the field. The proposed sMCL method is both novel and practical, and the empirical results are compelling. While there are some minor weaknesses, they do not detract significantly from the overall quality of the work. I recommend **acceptance** with minor revisions. Specifically, I would suggest the authors expand the related work section to include more recent diversity techniques, add a discussion of hyperparameter sensitivity, and elaborate on the impact of tie-breaking strategies.



