## Review of "Low-rank matrix reconstruction and clustering via approximate message passing"

This paper proposes an approximate message passing (AMP) algorithm for Bayesian low-rank matrix reconstruction, extending prior work by enabling MAP estimation and applying it to a novel clustering approach. The core idea is leveraging AMP’s efficiency and flexibility for incorporating prior knowledge about matrix factors. The work relates to a substantial body of research on low-rank matrix completion, Bayesian methods for matrix factorization (e.g., [3, 4, 5]), and recent advancements in AMP algorithms for related problems ([6, 7, 8, 9]). The authors correctly position their work within this context, acknowledging connections to dictionary learning [13] and generalized observation models [14].

The strengths of the paper lie in its theoretical grounding and the proposed algorithm’s potential for efficiency. Extending the existing AMP framework to enable MAP estimation is a valuable contribution.  The application to clustering, framed as a constrained low-rank reconstruction, is a sensible and potentially impactful direction. The numerical results demonstrate performance gains over Lloyd’s K-means, particularly in high-dimensional settings, and the authors provide a detailed comparison with related algorithms. The proposition regarding optimality of the algorithm’s fixed points is a strong theoretical result. 

However, the paper suffers from some weaknesses. While the mathematical formulation is thorough, the presentation is dense and could benefit from more intuitive explanations.  The experimental section, though extensive, lacks detail regarding parameter tuning and the specific datasets used beyond the ORL database. The claim of faster convergence for AMP-MA compared to variational Bayes requires stronger justification. A more thorough comparison with state-of-the-art clustering algorithms beyond K-means would strengthen the conclusions. Furthermore, the discussion regarding the state evolution analysis (mentioned but not included) feels incomplete. The justification of the parameter τ seems somewhat ad-hoc, and its impact on performance warrants further investigation.

**Arguments for Acceptance:**

*   Novel extension of AMP for MAP estimation in low-rank matrix reconstruction.
*   Effective application of the algorithm to clustering with demonstrated improvement over K-means.
*   Solid theoretical foundation and a proposition ensuring optimality.
*   Clear connection to relevant prior work.

**Arguments against Acceptance:**

*   Dense and occasionally opaque mathematical presentation.
*   Limited detail in the experimental setup and parameter tuning.
*   Incomplete discussion of the state evolution analysis.
*   Comparison to only one alternative clustering algorithm.



**Overall:** This paper presents a technically sound and potentially impactful contribution to the field. While clarity and experimental detail could be improved, the originality and significance of the work justify acceptance, contingent on minor revisions to address the weaknesses outlined above. I rate this as a **weak accept**.
