## Review of Low-Rank Time-Frequency Synthesis

This paper proposes a novel time-frequency synthesis model extending low-rank spectrogram factorization to arbitrary (potentially overcomplete) bases, enabling multi-resolution decompositions. The core idea builds upon Fevotte et al.’s Gaussian Composite Model (GCM), deriving a time-domain interpretation that facilitates the use of non-orthogonal bases. The authors present an EM-based estimation procedure and demonstrate its application to music decomposition and speech enhancement.

The paper addresses a relevant problem in audio processing – signal decomposition – by moving beyond the traditional magnitude spectrogram approach of NMF to a generative model of the raw signal. The extension to overcomplete bases and the resulting multi-resolution capabilities are potentially impactful, allowing for more flexible and accurate representations tailored to different signal characteristics (e.g., transients vs. tonal components). The derivation of a time-domain interpretation of the GCM is a clever step, opening up new possibilities for basis selection.  This work aligns with a strong trend in signal processing towards generative models and learned representations, building on established techniques like NMF and sparse coding (e.g., Tipping, Wipf).

However, the paper suffers from several weaknesses. While the idea is promising, the implications of using overcomplete bases are not fully explored. The authors acknowledge this but don’t provide sufficient discussion on potential challenges, such as increased ambiguity or computational cost. The EM algorithm’s derivation is difficult to follow, hindering a complete understanding of the method. Crucially, the empirical evaluation is very thin. A single illustrative result and one SNR measurement are insufficient to support the strong claims made about the benefits of the proposed method. 

The evaluation raises concerns about fair comparison. The audio lengths used for different methods aren’t clearly stated, potentially skewing the SNR results. The baseline (OMLSA) appeared to provide higher speech quality in perceived listening tests, contradicting the reported SNR improvement. Moreover, the music denoising results exhibited significant artifacts compared to conventional methods.  The reliance on Fevotte et al. is substantial, limiting the originality of the core idea, though the time-domain reformulation is a valuable contribution.

**Arguments for acceptance:**

*   Novel extension of low-rank factorization to overcomplete bases.
*   Time-domain interpretation of GCM offers a fresh perspective.
*   Potential for multi-resolution representations.

**Arguments against acceptance:**

*   Weak empirical validation with limited results.
*   Lack of thorough discussion on challenges of overcomplete bases.
*   Difficult-to-follow derivation of the EM algorithm.
*   Questionable experimental setup and baseline comparison.



**Overall:** While the paper presents an interesting and potentially significant idea, the weak empirical validation and lack of detailed analysis of the method's limitations prevent a strong recommendation for acceptance. I suggest rejection with encouragement to expand the experimental evaluation, address the concerns regarding overcomplete bases, and improve the clarity of the algorithm derivation. A more robust demonstration of practical importance is needed to justify its inclusion in NIPS.
