**Summary of the Paper**

This paper proposes an end-to-end optimized image compression method based on nonlinear transform coding. The method consists of a nonlinear analysis transformation, a uniform quantizer, and a nonlinear synthesis transformation. The transforms are constructed in three successive stages of convolutional linear filters and nonlinear activation functions, inspired by models of biological neurons. The entire model is jointly optimized for rate-distortion performance over a database of training images using stochastic gradient descent. The paper shows that the proposed method generally exhibits better rate-distortion performance than standard JPEG and JPEG 2000 compression methods, and more importantly, a dramatic improvement in visual quality for all images at all bit rates.

**Decision**

Based on the paper's contributions, clarity, and impact, I decide to **Accept** this paper.

**Reasons for the Decision**

1. The paper tackles a specific and well-defined problem in image compression, and provides a clear and well-motivated approach to solve it.
2. The proposed method is well-placed in the literature, and the authors provide a thorough discussion of the differences between their approach and previous work.
3. The paper provides strong empirical evidence to support the claims, including a comprehensive evaluation of the method's performance on a variety of images and bit rates.

**Supporting Arguments**

* The paper provides a clear and concise introduction to the problem of image compression, and motivates the need for a new approach.
* The proposed method is well-described, and the authors provide a thorough explanation of the nonlinear transforms and the optimization procedure.
* The evaluation of the method's performance is comprehensive and well-designed, including a comparison to standard JPEG and JPEG 2000 compression methods.
* The paper provides a thorough discussion of the results, including an analysis of the visual quality of the compressed images.

**Additional Feedback**

* The paper could benefit from a more detailed discussion of the computational complexity of the proposed method, and its potential applications in practice.
* The authors could provide more insight into the choice of the nonlinear activation functions, and how they affect the performance of the method.
* The paper could benefit from a more detailed comparison to other recent work in image compression, such as the method proposed by Toderici et al.

**Questions for the Authors**

* Can you provide more details on the computational complexity of the proposed method, and how it compares to standard JPEG and JPEG 2000 compression methods?
* How did you choose the nonlinear activation functions, and how do they affect the performance of the method?
* Can you provide more insight into the visual quality of the compressed images, and how it relates to the rate-distortion performance of the method?
