This paper proposes the “Cholesky-CMA-ES,” a variant of the covariance matrix adaptation evolution strategy (CMA-ES) designed to reduce computational complexity associated with covariance matrix updates. The core idea is to work directly with the Cholesky factorization of the covariance matrix, avoiding explicit computation of the matrix square root. The authors argue this leads to quadratic time complexity and reduced memory usage, especially advantageous when dealing with large dimensional problems. They provide theoretical justification for the modification, claiming it doesn’t alter the algorithm's fundamental behavior, and empirically demonstrate improved runtime compared to a standard CMA-ES implementation with delayed updates.

The CMA-ES [Hansen and Ostermeier, 2001] is a powerful derivative-free optimization algorithm frequently used in machine learning for tasks like reinforcement learning and hyperparameter tuning [Gomez et al., 2008; Igel, 2010]. A key bottleneck in the standard algorithm is the frequent computation and manipulation of the covariance matrix, typically involving eigenvalue decompositions which scale poorly with dimensionality. Previous work has addressed this through delayed updates [Hansen and Ostermeier, 2001], restricted model complexity [Poland and Zell, 2001; Ros and Hansen, 2008], and updating the Cholesky factor directly [Suttorp et al., 2009; Krause and Igel, 2015]. The authors build upon these approaches, specifically aiming to enable efficient full covariance adaptation.

The paper's strength lies in its clear motivation and theoretical justification for the proposed modification. By leveraging the Cholesky decomposition, the authors offer a plausible route to improved computational efficiency. The empirical results on standard benchmark functions demonstrate a significant runtime reduction, particularly as dimensionality increases, supporting their claims.  The analysis connecting the coordinate system rotation and the acceptable error introduced by the approximation is also a valuable contribution.

However, several weaknesses detract from the paper’s impact. Firstly, the naming choice “Cholesky-CMA-ES” is unfortunate. It directly conflicts with established terminology used by Suttorp et al. [2009] for a different approach involving Cholesky factor updates, creating potential confusion. This should be addressed by adopting a more distinctive name. Secondly, the paper notably lacks a comprehensive comparison with prior work, specifically the Cholesky-CMA-ES of Suttorp et al. [2009] and the work of Krause and Igel [2015]. While the authors mention these works, they don't provide a direct empirical comparison, hindering a complete evaluation of the proposed method's advantages.  The algorithmic contribution feels incremental; the core change appears to be simply iterating a rank-one update across all individuals within a "for" loop in Algorithm 1. The paper needs to more clearly articulate *why* this is a significant improvement beyond a straightforward application of existing techniques. 

The experimental evaluation, while extensive, could be improved.  Including a direct comparison against Suttorp's method and Krause's variant is crucial. The current figures should be expanded and moved to the supplementary material if necessary to accommodate this.  The observation regarding the plateau on the Cigar function requires further clarification; the way median results are visualized might be obscuring relevant information.  Furthermore, the claim of "optimal" complexity is overstated. While asymptotically efficient for full covariance adaptation, it isn’t optimal for problems where simpler covariance structures (e.g., diagonal) suffice. It also only achieves roughly a 2x speedup over Suttorp’s method in the experiments presented.  The assertion that Suttorp's method is numerically unstable appears to contradict the original publication, and the authors should provide a more nuanced discussion, or supporting evidence. Finally, while the method reduces runtime and memory usage, the fundamental quadratic complexity remains, meaning it doesn't fundamentally resolve scalability challenges for extremely high-dimensional problems.

**Arguments for acceptance:**

*   Provides a practical improvement to CMA-ES runtime, especially in higher dimensions.
*   Offers a clear theoretical justification for the proposed modification.
*   Demonstrates the method's performance on standard benchmark functions.

**Arguments against acceptance:**

*   Misleading naming creates confusion with existing literature.
*   Lacks a direct empirical comparison with relevant prior work (Suttorp et al., Krause et al.).
*   Algorithmic contribution feels incremental and needs more justification.
*   Claims of “optimality” are overstated.
*   Potentially inaccurate claim regarding the numerical stability of Suttorp’s method.



**Overall:** This paper presents a potentially valuable improvement to the CMA-ES algorithm. However, the lack of a comprehensive comparison with existing Cholesky-CMA-ES variants and the somewhat overstated claims detract from its impact. I recommend **weak accept** pending the authors addressing the concerns outlined above, specifically by renaming the algorithm, including a thorough comparison with Suttorp’s and Krause’s methods, and clarifying the novelty of their algorithmic contribution.
