## Review of "Measuring the reliability of MCMC inference with bidirectional Monte Carlo"

This paper presents a method, BREAD (Bounding Divergences with REverse Annealing), for upper-bounding the Jeffreys divergence between the true posterior and the approximate posterior obtained via MCMC, specifically within the context of algorithms amenable to bidirectional Monte Carlo like AIS and SMC. The core contribution lies in extending the BDMC framework [GGA15] to provide a quantifiable measure of MCMC sample quality, addressing a persistent challenge in probabilistic inference. The authors integrate BREAD into WebPPL and Stan, demonstrating its applicability and using it to provide insights into model representation choices.

The paper is well-motivated, clearly articulating the difficulty of validating MCMC convergence and the need for quantitative measures beyond traditional diagnostics. The theoretical derivation building on [GGA15] is sound, providing a rigorous basis for the proposed method. The validation experiments, particularly those demonstrating consistency between real and simulated data, are convincing and address a crucial concern regarding the practical utility of the approach. Integrating BREAD into two popular probabilistic programming languages is a significant achievement, increasing accessibility and impact.  The discovery of a bug in WebPPL while utilizing BREAD further highlights the potential of the method for code verification.

However, the paper suffers from some limitations. While the theoretical foundation is strong, the practical applicability hinges on the ability to generate exact posterior samples for simulated data – a requirement that might be challenging in complex models. The extension to real-world data through hyperparameter fitting relies on a heuristic and could be sensitive to the choice of prior and the effectiveness of the hyperparameter optimization.  Furthermore, the experiments are somewhat limited in scope. While the matrix factorization example is insightful, a broader exploration of different model types and complexities would strengthen the claims about the general utility of BREAD.

**Arguments for acceptance:**

*   Novel and theoretically sound approach to quantifying MCMC sample quality.
*   Practical implementation and validation in two widely used probabilistic programming languages.
*   Demonstrated utility in informing model design choices.
*   Potential for identifying bugs in probabilistic programming implementations.

**Arguments against acceptance:**

*   Reliance on exact posterior samples for simulated data.
*   Heuristic for extending the method to real-world data.
*   Limited scope of experimental evaluation.

**Overall:**

Despite the limitations, this paper presents a valuable contribution to the field. The proposed method offers a rigorous and potentially powerful tool for assessing the reliability of MCMC inference. I recommend **acceptance**, with a request for the authors to address the limitations mentioned above, particularly by exploring techniques to mitigate the reliance on exact posterior samples and expanding the experimental evaluation to a wider range of models. A discussion of computational cost would also be beneficial.
