## Review of “Safe Adaptive Importance Sampling”

This paper proposes a novel and efficient adaptive importance sampling scheme for coordinate descent (CD) and stochastic gradient descent (SGD), utilizing lower and upper bounds on the gradients. The core idea is to formulate optimal sampling as a convex optimization problem with an efficient solver, ensuring the method outperforms uniform or fixed importance sampling with negligible computational overhead. 

The paper builds upon the existing literature of adaptive importance sampling, recognizing the trade-offs between theoretical guarantees and computational feasibility of gradient-based approaches. It positions itself as a practical solution that bridges this gap, offering a provably better sampling strategy that can be readily integrated into existing algorithms. The theoretical analysis demonstrating the optimality relative to provided bounds is a significant strength. The authors clearly articulate the advantages of their method, especially highlighting potential speed-ups in CD, and convincingly demonstrate the method’s generic applicability to both CD and SGD.

The paper is well-written and logically organized, making it easy to follow the main concepts and contributions. The inclusion of detailed algorithms and clear explanations enhances its clarity. The extensive numerical experiments provide strong empirical support for the theoretical claims, demonstrating performance gains on real datasets.

However, the paper has some weaknesses. The example 3.1, illustrating the pitfalls of naive bound-setting, is initially confusing and requires careful reading. Algorithm 4, line 4, contains a potential logic error where the condition `m = max(l^{sort})` might never be satisfied. Additionally, line 7 likely contains a typo, needing `u^{sort}` instead of `c^{sort}`. While the numerical results are promising, they lack comparison to other adaptive sampling methods like [2, 5, 21] and non-uniform fixed importance sampling, limiting the scope of the empirical evaluation.  Furthermore, the SGD experiments lack timing results, hindering a complete assessment of the computational cost. Finally, there are minor reference errors (incorrect title for [14]) and omissions (Csiba & Richtarik, 2016).

**Arguments for Acceptance:**

*   Novel and well-motivated approach to adaptive importance sampling.
*   Strong theoretical guarantees and a provably optimal solution.
*   Efficiently computable with negligible overhead.
*   Demonstrated empirical performance gains.
*   Clear writing and logical organization.

**Arguments against Acceptance:**

*   Minor technical issues with Algorithm 4.
*   Limited comparison to existing adaptive sampling methods.
*   Missing timing results for SGD experiments.
*   Reference errors and omissions.



**Overall:**

Despite the minor issues, the paper presents a valuable contribution to the field of importance sampling. The proposed method is theoretically sound, practically efficient, and empirically validated.  Addressing the issues raised during review (specifically, comparisons to other adaptive methods, timing results for SGD, and correcting the algorithm/references) will further strengthen the paper.  **I recommend acceptance after authors’ rebuttal addressing these points.**
