This paper introduces novel synchronous and asynchronous gossip algorithms for computing U-statistics in distributed networks. U-statistics, requiring averaging over pairs of observations, are less studied than simple averages but crucial for various applications like AUC, variance, and Gini mean difference. The authors establish convergence rate bounds of O(1/t) and O(log t/t) for the synchronous and asynchronous cases, respectively, and demonstrate superior performance compared to a previous approach [17] both theoretically and empirically.

The paper is well-structured and clearly written. The introduction effectively motivates the problem, highlighting the limitations of existing gossip algorithms for U-statistics and outlining the contributions of this work. The notation is generally clear, although some symbols (like the use of both `H` for the U-statistic function and the graph) could potentially cause confusion.  The problem setup and notation are well-defined. The related work section adequately covers existing gossip algorithms and their limitations, properly citing relevant work.  The introduction of "phantom nodes" is a clever technique for proving convergence and the explanation is generally understandable, though perhaps a bit dense.  The presentation of the algorithms (Algorithms 1 & 2) is straightforward.

The strengths of the paper lie in its theoretical contributions, particularly the convergence rate analysis for both synchronous and asynchronous settings.  The bounds are explicitly stated with data and network dependencies, providing useful insights into performance. The comparison with the previous approach [17] is also a strength, demonstrating both improved convergence and lower computational cost. The numerical experiments with AUC and within-cluster point scatter are well-designed and support the theoretical findings.  The varying network topologies tested (complete graph, grid, Watts-Strogatz) provide a more robust evaluation.  The comparison to U2-gossip reveals a significant performance gain, particularly as the network size increases, validating the theoretical advantage. The authors acknowledge limitations and clearly outline directions for future work. 

However, there are some weaknesses. While the phantom node approach is interesting, its complexity makes it somewhat hard to follow. A simpler, more intuitive explanation would be beneficial. The proofs, though likely correct, are relegated to the supplementary material which limits accessibility. A sketch of the main ideas in the proofs within the main text would greatly improve understanding. The discussion of the asynchronous algorithm's performance feels somewhat rushed. The claim that performance is comparable to the synchronous version despite a slightly worse theoretical rate is interesting, but lacks detailed explanation; further investigation or justification is needed. The constant factors in the convergence rates aren’t thoroughly discussed, and their practical implications are not fully explored. While the paper mentions the spectral gap's influence, a more in-depth analysis of how network properties affect convergence speed would be valuable. The experiments, while well-executed, are limited to two applications. Exploring additional U-statistics or datasets would broaden the impact.  The comparisons to baseline methods beyond U2-gossip are limited.

**Arguments for acceptance:**

*   Novel algorithms for a challenging distributed computation problem (U-statistics).
*   Solid theoretical guarantees with provable convergence rates.
*   Empirical validation demonstrating superior performance compared to a state-of-the-art approach.
*   Clear and well-organized presentation of the ideas.
*   Addresses a practically relevant problem with potential applications in various domains.

**Arguments against acceptance:**

*   The phantom node technique is complex and might be difficult for some readers to grasp without studying the supplement.
*   Limited exploration of the constant factors influencing convergence.
*   The asynchronous algorithm section feels less developed compared to the synchronous one.
*   The scope of experimental evaluation could be broader.



Overall, this is a strong paper that makes a valuable contribution to the field of distributed estimation. The theoretical and empirical results are compelling, and the algorithms presented have the potential to be widely used. Addressing the minor weaknesses outlined above would further enhance the quality of the paper. I recommend acceptance.
