## Review of “Backpropagation for Energy-Efficient Neuromorphic Computing”

This paper addresses the critical challenge of bridging the gap between the algorithmic success of backpropagation and the energy efficiency of neuromorphic computing. The authors propose a novel approach of treating spikes and discrete synapses as continuous probabilities, enabling the application of standard backpropagation for training networks designed for deployment on neuromorphic hardware like the TrueNorth chip. This is a significant problem, as directly applying backpropagation to spiking networks is difficult due to the non-differentiable nature of spikes.

The core contribution lies in demonstrating this “constrain-then-train” methodology, achieving state-of-the-art accuracy on MNIST (99.42% with an ensemble of 64) and impressive energy efficiency (0.268 μJ per image with an ensemble of 1) when deployed on TrueNorth. The authors provide a detailed description of the training process, network topology, and mapping to the hardware, including a clever initialization scheme to optimize synapse strength values.  The results are convincingly demonstrated with experiments on the TrueNorth chip, showcasing a substantial improvement in power efficiency compared to existing approaches.

The paper is well-written and clearly organized. The authors effectively contextualize their work within the broader fields of deep learning and neuromorphic computing, referencing relevant literature. The explanation of the probabilistic backpropagation approach is thorough, and the rationale behind design choices (e.g., the network topology, initialization scheme) is well-articulated.  The discussion section appropriately acknowledges the limitations and outlines potential future research directions, such as extending the approach to convolutional networks and exploring biologically inspired mappings.

However, the paper could benefit from a more in-depth analysis of the limitations of the probabilistic approximation. While the authors acknowledge the approximation in the backward pass, a more rigorous examination of its impact on gradient accuracy and training convergence would be valuable.  Furthermore, the sensitivity of the results to hyperparameters (learning rate, momentum, dropout) could be explored more thoroughly.  The choice of specific network parameters (R, S, F) seems somewhat arbitrary and a justification for these values beyond what is provided would be helpful.

**Arguments for Acceptance:**

*   Novel and effective approach to training spiking networks with backpropagation.
*   State-of-the-art results on MNIST in terms of both accuracy and energy efficiency.
*   Clear and well-written presentation with thorough experimental validation on TrueNorth.
*   Addresses a significant challenge in the field of neuromorphic computing.

**Arguments against Acceptance:**

*   Limited analysis of the impact of the probabilistic approximation.
*   Lack of detailed hyperparameter sensitivity analysis.
*   Justification for network parameter choices could be strengthened.

**Overall:** This is a strong paper that presents a significant contribution to the field. Despite some minor weaknesses, the novelty, strong experimental results, and clear presentation make it worthy of acceptance. I recommend acceptance with minor revisions addressing the points mentioned above.
