This paper proposes Supervised Word Mover’s Distance (S-WMD), an extension to the recently introduced Word Mover’s Distance (WMD) that incorporates supervision by learning a linear transformation of the word embedding space and word-importance weights. The authors address the computational challenge of incorporating supervision into the WMD framework by leveraging the Sinkhorn distance as a fast approximation to the optimal transport problem. The method is evaluated on eight real-world text classification tasks, demonstrating strong performance against a comprehensive set of 26 baselines.

The core idea of adapting WMD to a supervised setting is a logical and valuable extension. WMD, while powerful, inherently lacks a mechanism to tailor distances to specific tasks. This paper directly addresses this limitation. The proposed approach of learning both a transformation of the word embeddings and word-specific weights is well-motivated and provides flexibility in adapting the distance metric. The use of the Sinkhorn distance to address the computational complexity is also a clever and crucial contribution, making the supervised learning process practical. The mathematical exposition is exceptionally clear and detailed, enhancing the understanding of the proposed method and its theoretical underpinnings. The comprehensive experimental evaluation, including a large number of strong baselines, further strengthens the paper’s credibility. 

The paper's strengths lie in its technical soundness, clarity, and thorough evaluation. The authors demonstrate a strong understanding of related work in metric learning and optimal transport. The proposed algorithm appears to be a well-engineered solution to a challenging problem, and the reported results are compelling. The inclusion of ablation studies (initialization vs. full training) is helpful in understanding the contributions of each component. The publicly available code is a valuable asset for reproducibility and further research.

However, the paper has several weaknesses. While the extension to WMD is valuable, the novelty relative to the original WMD work is somewhat limited. The core innovation resides in the supervised adaptation, but the foundational WMD concept remains central. The discussion regarding the choice of the entropic regularization parameter, λ, is insufficient. The authors briefly mention its impact but do not provide sufficient guidance on selecting an appropriate value or a detailed analysis of its influence on performance. Given that λ controls the approximation quality and can significantly impact the behavior of the Sinkhorn distance (ranging from resembling the pure Wasserstein distance to a highly entropic approximation), a more thorough exploration of its effects is crucial. It is unclear whether the reported results are more representative of behavior under a large λ (approaching Wasserstein) or a small λ (prioritizing speed). Most users opt for small lambda for speed, so the paper would benefit from discussion of its effects. 

The inclusion of the Word Centroid Distance (WCD) as a baseline feels somewhat tangential and occasionally confusing. The authors emphasize WCD as a lower bound for WMD, but its relevance to the *supervised* learning aspect is not clearly articulated. Furthermore, the reference to WCD throughout the paper distracts from the central contribution of S-WMD.  A more focused comparison against methods directly related to supervised metric learning would be more insightful.

**Arguments for acceptance:**

*   Strong empirical performance across a diverse set of datasets.
*   Clear and detailed technical exposition, making the method accessible.
*   Addresses a practical limitation of WMD by incorporating supervision.
*   Efficient implementation leveraging the Sinkhorn distance approximation.
*   Comprehensive comparison against a large number of baselines.

**Arguments against acceptance:**

*   Incremental novelty compared to the foundational WMD work.
*   Insufficient discussion and analysis of the entropic regularization parameter (λ).
*   The inclusion of WCD feels somewhat irrelevant and detracts from the core contribution.



**Overall Assessment:**

This is a solid paper that presents a valuable extension to the Word Mover’s Distance. While the novelty may not be groundbreaking, the technical soundness, clarity, and strong empirical results make it a worthwhile contribution. The primary concern lies with the insufficient discussion of the λ parameter and the somewhat distracting inclusion of WCD. I recommend acceptance with minor revisions addressing these points. Specifically, the authors should provide a more in-depth analysis of the impact of λ on performance and clarify its role in the approximation process. A more focused comparison against directly related supervised metric learning methods would also strengthen the paper.



**Confidence:** 7/10
