This paper proposes novel randomized gossip algorithms for computing U-statistics in a distributed environment, a problem receiving less attention than distributed mean estimation despite its relevance to various data analysis tasks. The core idea of propagating data and averaging local estimates is intuitive, and the theoretical convergence analysis is comprehensive, providing bounds for both synchronous and asynchronous settings. The problem addressed is interesting and relevant to distributed machine learning and data analysis.

However, a significant weakness lies in the complete lack of comparison to baseline methods beyond a brief mention of a prior work [17] which is then only compared to in the experiments. The paper would significantly benefit from including comparisons to intuitive or randomized baselines, such as simply propagating observations without the sophisticated averaging scheme, or a naive averaging approach that ignores the U-statistic structure. This would better establish the value of the proposed algorithms.  Furthermore, the experimental evaluation, while demonstrating improvements over [17], feels somewhat limited.

**Quality:** The paper is technically sound. The theoretical analysis appears rigorous, with convergence rate bounds explicitly stated and seemingly well-motivated by the "phantom node" reformulation. The mathematical notation is generally clear, although the introduction of the phantom nodes does increase complexity.  It’s a complete piece of work in terms of providing both algorithmic proposals *and* analysis, rather than a position paper. The authors are reasonably careful about pointing out the data and network dependencies in the convergence rates.  However, the absence of baselines casts some doubt on the practical significance of the observed improvements.

**Clarity:** The paper is generally well-written and organized. The introduction clearly motivates the problem and situates it within the existing literature on gossip algorithms. The algorithm descriptions are concise, and the notation is consistent. The use of Algorithm 1 and 2 enhances readability.  However, the connection between the phantom node reformulation and the actual algorithm could be more explicitly explained.  While the mathematics are sound, some sections could benefit from more intuitive explanations alongside the formal proofs.  Reproducing the results would require implementing the algorithms and setting up the network topologies described, which is feasible given the detail provided, but is a significant undertaking.

**Originality:** While the core idea of combining data propagation and averaging is intuitive, the specific algorithms and the corresponding convergence analysis represent a contribution. The extension to the asynchronous setting adds further novelty. However, the degree of novelty is somewhat obscured by the lack of comparison to more basic approaches. It's not immediately clear how much of the performance gain comes from the U-statistic specific formulation versus general improvements in gossip-based averaging. The paper adequately references related work, acknowledging the existing literature on gossip algorithms and U-statistics.  Checking recent NIPS proceedings confirms this area hasn’t been heavily explored, but the closely related field of distributed optimization *has* seen considerable attention.

**Significance:** The problem of distributed U-statistic computation is important, as highlighted by the examples provided (AUC, within-cluster point scatter). If the proposed algorithms demonstrably outperform existing methods (including simple baselines), they could be valuable tools for practitioners working with distributed data. The theoretical convergence bounds, relating performance to network topology and data characteristics, are a noteworthy contribution. However, the lack of broader comparison limits the demonstrable impact. The results *suggest* an advance in the state of the art, but stronger evidence is needed. The paper provides unique theoretical analysis and some unique empirical results, but the lack of comparative evaluation reduces its overall significance.



**Arguments for Acceptance:**

*   Addresses an interesting and relevant problem in distributed computation.
*   Provides a technically sound and comprehensive theoretical analysis.
*   Demonstrates improvements over a single existing work in the experimental evaluation.
*   Presents novel algorithms for U-statistic computation.

**Arguments against Acceptance:**

*   Lacks comparison to fundamental baseline methods.
*   Experimental evaluation is somewhat limited, focusing on only one comparison point.
*   The degree of novelty is difficult to assess without baseline comparisons.
*   The practical significance of the observed improvements is unclear without strong baseline results.



**Recommendation:**

I recommend **weak reject**. The paper presents a solid theoretical contribution to a relevant problem. However, the lack of comparison to baseline methods is a critical weakness. Addressing this by including more comprehensive experimental evaluation—specifically, incorporating intuitive baselines—would substantially strengthen the paper and make a stronger case for acceptance. I believe the authors have the potential to produce a strong paper with these revisions.
